**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	29	33	36
2	1	2	0	0	0	-29	36	38
3	1	2.5	0	0	0	-29	36	38
4	1	3	0	0	0	33	35	37
4.5	1	3.25	0	0	0	-33	-35	36
5	1	3.5	0	0	0	-33	-35	37
5.5	1	3.75	0	0	0	-33	-35	38
6	1	4	0	0	0	32	36	39
7	1	4.5	0	0	0	-32	37	39
8	2	1	0	0	0	34	-37	38
8.5	2	1.25	0	0	0	-34	36	-38
9	2	1.5	0	0	0	34	36	37
9.5	2	1.75	0	0	0	-34	-36	36
10	2	2	0	0	26	33	-36	37
11	2	2.5	0	0	-26	-33	35	-37
12	2	3	0	0	29	33	36	38
13	2	3.5	0	0	-29	31	33	-38
14	2	4	0	0	28	32	35	37
15	2	4.5	0	0	-28	33	35	-37
16	3	1	0	0	30	-33	34	-37
17	3	1.5	0	0	30	32	33	35
17.5	3	1.75	0	0	-30	-32	32	-35
18	3	2	22	0	29	-32	33	36
19	3	2.5	-22	0	-29	31	33	-36
20	3	3	25	0	29	32	34	36
21	3	3.5	-25	0	-29	32	-34	36
22	3	4	24	26	0	33	35	38
23	3	4.5	-24	-26	0	33	38	-38
24	4	1	27	29	0	34	38	36
25	4	1.5	-27	25	0	-34	36	-36
26	4	2	25	-25	0	34	39	37
27	4	2.5	-25	32	0	-34	-39	36
27.5	4	2.75	-25	-32	0	-34	38	-36
28	4	3	26	-32	0	33	37	35
29	4	3.5	-26	31	0	-33	36	36
30	4	4	-26	30	0	-33	37	-36
31	4	4.5	-26	-30	26	-33	-37	35
32	5	1	22	29	-26	33	38	36
33	5	1.5	-22	31	29	-33	-38	-36
34	5	2	26	30	-29	-33	0	0
35	5	2.5	-26	30	28	-33	0	33
36	5	3	29	31	29	0	0	-33
37	5	3.5	-29	29	31	0	0	36
38	5	4	26	33	30	0	0	-36
39	5	4.5	-26	-33	-30	0	33	35
40	6	1	24	-33	26	0	-33	38
41	6	1.5	22	-33	-26	0	36	-38
42	6	2	26	33	0	0	-36	37
43	6	2.5	-26	26	0	30	35	-37
44	6	3	22	26	29	33	38	36
45	6	3.5	-22	26	-29	31	-38	-36
45.5	6	3.75	-22	-26	-29	-31	37	35
46	6	4	25	27	25	32	36	34
47	6	4.5	21	25	28	32	37	35
47.5	6	4.75	-21	-25	-28	-32	-37	34
48	7	1	22	29	-28	31	36	33
49	7	1.5	-22	-29	27	32	-36	32
50	7	2	-22	-29	26	33	-36	-32
51	7	2.5	-22	-29	-26	-33	-36	31
52	7	3	25	29	25	0	34	32
54	7	4	-25	-29	32	34	0	0
55	7	4.5	-25	-29	-32	-34	36	0
56	8	1	0	0	31	33	-36	0
57	8	1.5	0	0	-31	-33	35	0
59	8	2.5	0	0	32	32	34	0
60	8	3	0	0	29	31	33	0
61	8	3.5	0	0	30	32	32	0
62	8	4	0	0	29	-32	33	0
63	8	4.5	0	0	-29	31	-33	0
64	9	1	0	0	25	32	34	0
65	9	1.5	0	0	-25	-32	-34	39
66	9	2	0	29	0	33	0	-39
67	9	2.5	0	-29	0	-33	0	38
68	9	3	0	28	0	-33	35	-38
69	9	3.5	0	-28	0	32	-35	37
69.5	9	3.75	0	-28	0	-32	-35	36
70	9	4	0	-28	0	-32	35	37
71	9	4.5	0	29	0	31	33	36
72	10	1	0	26	0	30	33	35
73	10	1.5	0	27	0	29	32	36
74	10	2	0	26	0	30	33	-36
75	10	2.5	0	-26	0	-30	-33	35
76	10	3	0	29	0	31	33	36
77	10	3.5	0	-29	0	-31	-33	36
78	10	4	0	-29	0	0	-33	36
79	10	4.5	0	-29	29	0	-33	36
80	11	1	0	0	29	0	0	38
81	11	1.5	0	0	29	0	33	-38
82	11	2	0	0	31	0	33	35
83	11	2.5	0	0	-31	0	33	-35
84	11	3	0	0	28	0	35	37
85	11	3.5	0	0	-28	32	-35	-37
86	11	4	0	0	30	32	34	-37
87	11	4.5	0	0	-30	32	-34	-37
88	12	1	0	0	27	31	34	36
89	12	1.5	0	0	-27	29	-34	-36
89.5	12	1.75	0	0	-27	-29	33	-36
90	12	2	0	0	28	30	32	35
91	12	2.5	0	0	29	31	31	34
92	12	3	0	0	28	32	30	35
93	12	3.5	0	0	-28	31	31	-35
94	12	4	0	0	-28	-31	32	-35
95	12	4.5	0	28	-28	30	-32	-35
96	13	1	0	-28	24	31	33	35
97	13	1.5	24	28	-24	-31	-33	-35
98	13	2	-24	31	0	0	-33	-35
99	13	2.5	24	-31	31	0	-33	-35
100	13	3	27	29	-31	0	0	0
101	13	3.5	-27	29	31	0	0	0
102	13	4	25	30	32	0	0	0
102.5	13	4.25	-25	31	-32	0	0	0
103	13	4.5	25	32	-32	0	0	0
103.5	13	4.75	-25	30	-32	0	0	0
104	14	1	26	31	28	0	0	0
104.5	14	1.25	27	-31	-28	0	0	0
105	14	1.5	28	30	28	0	0	0
105.5	14	1.75	26	-30	-28	0	0	0
106	14	2	27	29	29	0	0	0
107	14	2.5	28	28	30	0	0	0
108	14	3	25	27	29	0	0	0
109	14	3.5	26	28	28	0	0	0
110	14	4	25	29	-28	32	0	0
111	14	4.5	-25	-29	27	-32	0	0
112	15	1	21	30	28	-32	0	0
113	15	1.5	-21	-30	-28	-32	35	0
114	15	2	0	0	0	31	33	36
116	15	3	0	0	0	-31	-33	35
117	15	3.5	0	0	0	30	32	-35
117.5	15	3.75	0	0	0	-30	-32	35
118	15	4	0	0	0	31	33	35
119	15	4.5	0	0	0	32	32	34
120	16	1	0	0	0	29	31	33
122	16	2	0	0	0	25	32	32
123	16	2.5	0	0	0	-25	34	39
124	16	3	0	0	29	0	34	-39
125	16	3.5	0	0	-29	29	33	38
126	16	4	0	0	28	32	35	-38
127	16	4.5	0	0	-28	-32	-35	37
128	17	1	0	0	-28	-32	-35	39
129	17	1.5	0	0	27	29	36	-39
129.5	17	1.75	0	0	-27	-29	-36	38
130	17	2	0	0	28	33	37	37
131	17	2.5	0	0	29	-33	38	36
131.5	17	2.75	0	0	-29	33	-38	-36
132	17	3	0	0	26	33	37	35
134	17	4	0	0	29	31	33	36
136	18	1	25	27	0	32	34	-36
138	18	2	24	26	0	33	35	0
139	18	2.5	-24	-26	0	-33	-35	38
139.5	18	2.75	-24	27	0	-33	-35	-38
140	18	3	-24	28	0	31	-35	38
141	18	3.5	23	-28	0	35	32	39
142	18	4	24	-28	0	-35	33	38
143	18	4.5	25	25	0	34	34	36
144	19	1	22	26	0	33	31	36
145	19	1.5	-22	27	0	32	32	-36
146	19	2	-22	26	0	-32	33	-36
147	19	2.5	-22	-26	0	31	-33	-36
148	19	3	25	25	0	32	34	36
149	19	3.5	25	-25	29	-32	34	36
150	19	4	21	0	28	-32	35	37
151	19	4.5	25	0	27	-32	36	36
152	20	1	21	0	28	-32	37	35
154	20	2	25	0	29	0	36	34
155	20	2.5	-25	29	-29	32	34	36
156	20	3	0	25	0	34	32	36
157	20	3.5	0	29	0	33	33	36
158	20	4	0	25	0	32	34	36
160	21	1	0	29	0	31	33	36
161	21	1.5	0	28	0	32	35	37
163	21	2.5	0	24	0	33	35	38
164	21	3	0	28	0	32	35	37
165	21	3.5	0	29	0	31	33	36
166	21	4	0	26	0	30	33	35
168	22	1	0	29	0	31	33	36
169	22	1.5	22	-29	29	31	36	33
170	22	2	25	0	29	32	36	34
171	22	2.5	25	25	29	32	36	34
172	22	3	21	25	28	32	37	35
173	22	3.5	-21	28	-28	-32	-37	-35
174	22	4	24	26	-28	33	38	35
175	22	4.5	24	-26	28	33	38	35
176	23	1	-24	24	31	-33	-38	-35
177	23	1.5	20	27	31	34	38	36
178	23	2	23	-27	27	32	39	37
178.5	23	2.25	-23	-27	-27	33	-39	-37
179	23	2.5	23	30	27	34	39	-37
179.5	23	2.75	-23	-30	-27	32	-39	36
180	23	3	24	30	31	33	38	35
181	23	3.5	-24	29	-31	34	-38	34
182	23	4	-24	28	-31	-34	-38	35
183	23	4.5	-24	-28	-31	33	-38	-35
184	24	1	20	27	31	34	38	36
185	24	1.5	27	29	31	-34	-38	36
186	24	2	26	30	28	0	0	35
187	24	2.5	26	31	28	0	0	33
188	24	3	25	32	29	0	0	34
189	24	3.5	-25	32	30	0	0	34
189.5	24	3.75	25	-32	-30	0	0	-34
190	24	4	24	28	31	0	0	33
191	24	4.5	22	29	-31	0	36	-33
191.5	24	4.75	-22	-29	31	0	-36	-33
192	25	1	26	30	30	0	35	0
193	25	1.5	26	31	28	0	33	0
194	25	2	25	32	29	0	34	39
195	25	2.5	-25	25	30	0	34	-39
196	25	3	22	0	31	0	33	38
197	25	3.5	-22	29	-31	0	34	36
197.5	25	3.75	-22	-29	29	0	-34	-36
198	25	4	0	28	33	0	35	37
199	25	4.5	0	26	-33	33	35	38
200	26	1	0	27	0	32	34	39
201	26	1.5	0	28	0	30	32	-39
201.5	26	1.75	0	-28	0	-30	-32	39
202	26	2	0	29	0	31	0	38
203	26	2.5	0	25	0	34	39	36
204	26	3	0	29	0	33	38	36
205	26	3.5	0	27	0	29	-38	-36
205.5	26	3.75	0	-27	0	-29	36	-36
206	26	4	0	26	0	33	37	35
207	26	4.5	0	-26	28	33	38	-35
208	27	1	0	25	27	34	39	0
209	27	1.5	25	-25	25	-34	36	0
210	27	2	24	0	26	33	38	0
211	27	2.5	22	0	27	-33	-38	36
212	27	3	23	0	28	0	37	35
213	27	3.5	24	0	29	0	36	33
214	27	4	25	0	29	0	-36	34
215	27	4.5	21	28	30	0	35	35
216	28	1	25	27	29	0	0	36
217	28	1.5	23	25	28	32	0	37
218	28	2	22	26	29	31	0	38
