**absq	**bar	**beat	**b7
0	1	1	29
4	1	2	30
6	1	2.5	30
9	2	1.25	30
10	2	1.5	29
12	2	2	29
16	3	1	29
20	3	2	0
24	4	1	0
32	5	1	0
34	5	1.5	27
36	5	2	26
40	6	1	27
44	6	2	30
48	7	1	26
50	7	1.5	30
52	7	2	0
54	7	2.5	30
56	8	1	31
57	8	1.25	29
58	8	1.5	28
60	8	2	29
62	8	2.5	0
64	9	1	0
66	9	1.5	0
67	9	1.75	29
68	9	2	29
69	9	2.25	27
70	9	2.5	29
72	10	1	25
74	10	1.5	0
76	10	2	0
78	10	2.5	27
80	11	1	27
81	11	1.25	30
82	11	1.5	29
84	11	2	30
88	12	1	0
96	13	1	0
97	13	1.25	24
98	13	1.5	25
99.5	13	1.875	25
100	13	2	26
101	13	2.25	29
102	13	2.5	28
104	14	1	29
105	14	1.25	26
106	14	1.5	28
107.5	14	1.875	28
108	14	2	28
109	14	2.25	25
110	14	2.5	26
112	15	1	26
116	15	2	25
118	15	2.5	25
119.5	15	2.875	25
120	16	1	25
121	16	1.25	25
122	16	1.5	26
124	16	2	25
125	16	2.25	29
126	16	2.5	29
127	16	2.75	27
128	17	1	29
129	17	1.25	30
130	17	1.5	29
131.5	17	1.875	28
132	17	2	27
133	17	2.25	28
135	17	2.75	27
136	18	1	28
140	18	2	0
144	19	1	0
148	19	2	0
150	19	2.5	28
152	20	1	31
153.5	20	1.375	31
154	20	1.5	31
155	20	1.75	30
156	20	2	29
159	20	2.75	30
160	21	1	29
161	21	1.25	27
162	21	1.5	29
163	21	1.75	25
164	21	2	0
168	22	1	0
170	22	1.5	0
171	22	1.75	26
172	22	2	27
176	23	1	0
177	23	1.25	30
178.5	23	1.625	30
179	23	1.75	29
180	23	2	28
181	23	2.25	29
182	23	2.5	27
184	24	1	26
186	24	1.5	0
188	24	2	0
192	25	1	0
193	25	1.25	25
193.5	25	1.375	26
194	25	1.5	27
195	25	1.75	25
196	25	2	28
197	25	2.25	30
198	25	2.5	29
201	26	1.25	27
202	26	1.5	27
204	26	2	26
208	27	1	0
209	27	1.25	26
209.5	27	1.375	25
210	27	1.5	24
211	27	1.75	22
212	27	2	26
216	28	1	0
218	28	1.5	0
219	28	1.75	29
220	28	2	28
221	28	2.25	28
222	28	2.5	29
224	29	1	26
226	29	1.5	0
227	29	1.75	29
228	29	2	30
229	29	2.25	30
230	29	2.5	31
232	30	1	30
234	30	1.5	26
236	30	2	29
237	30	2.25	27
238	30	2.5	28
240	31	1	25
242	31	1.5	26
244	31	2	27
245	31	2.25	28
246	31	2.5	26
248	32	1	28
250	32	1.5	0
251	32	1.75	28
252	32	2	27
253.5	32	2.375	27
254	32	2.5	30
255	32	2.75	23
256	33	1	25
258	33	1.5	21
259	33	1.75	28
260	33	2	27
261.5	33	2.375	27
262	33	2.5	30
263	33	2.75	23
264	34	1	25
265	34	1.25	25
266	34	1.5	0
267	34	1.75	23
268	34	2	22
272	35	1	22
276	35	2	0
280	36	1	0
282	36	1.5	29
284	36	2	29
285	36	2.25	30
286	36	2.5	28
288	37	1	28
292	37	2	0
294	37	2.5	28
296	38	1	27
297.5	38	1.375	27
298	38	1.5	30
299	38	1.75	23
300	38	2	25
302	38	2.5	21
304	39	1	0
305	39	1.25	25
306	39	1.5	28
307.5	39	1.875	28
308	39	2	26
309	39	2.25	25
310	39	2.5	26
312	40	1	25
*-	*-	*-	*-
