**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	32	34
2	1	1.5	0	0	0	32	34
3	1	1.75	0	0	0	31	33
4	1	2	0	0	0	30	32
5	1	2.25	0	0	0	29	33
6	1	2.5	0	0	0	28	35
8	2	1	25	29	32	29	34
10	2	1.5	25	29	32	-29	-34
11	2	1.75	25	29	32	-29	-34
12	2	2	29	31	33	0	0
13	2	2.25	27	29	32	0	0
14	2	2.5	26	28	31	0	0
16	3	1	25	29	32	0	0
17	3	1.25	27	-29	31	0	34
18.5	3	1.625	27	-29	31	0	34
19	3	1.75	27	-29	31	0	34
20	3	2	24	0	31	0	33
21	3	2.25	24	0	31	0	33
22	3	2.5	25	0	29	0	32
24	4	1	22	0	29	0	31
28	4	2	0	25	-29	0	32
30	4	2.5	0	27	-29	29	31
31	4	2.75	0	-27	-29	-29	34
31.5	4	2.875	0	27	-29	-29	-34
32	5	1	0	29	0	31	33
33	5	1.25	0	29	0	-31	33
33.5	5	1.375	0	-29	0	31	-33
34	5	1.5	0	25	0	32	34
34.5	5	1.625	0	26	0	-32	-34
35	5	1.75	0	27	0	32	-34
35.5	5	1.875	0	28	0	-32	-34
36	5	2	0	29	0	31	33
38	5	2.5	0	25	0	32	34
40	6	1	0	27	0	31	-34
41	6	1.25	0	27	0	31	34
42	6	1.5	0	28	0	30	32
44	6	2	0	24	0	31	33
45	6	2.25	0	27	0	31	34
46.5	6	2.625	0	27	0	31	34
47	6	2.75	0	27	0	31	34
48	7	1	0	24	0	31	33
49	7	1.25	0	24	0	31	33
50	7	1.5	0	25	0	29	32
51	7	1.75	29	-25	0	-29	-32
52	7	2	-29	22	0	-29	-32
52.5	7	2.125	29	-22	0	-29	-32
53	7	2.25	29	-22	0	28	-32
53.5	7	2.375	-29	-22	0	27	-32
54	7	2.5	29	-22	0	26	31
55	7	2.75	29	-22	0	-26	-31
56	8	1	27	0	25	27	32
58	8	1.5	25	0	27	-27	29
59.5	8	1.875	-25	0	27	-27	-29
60	8	2	22	0	29	26	31
61	8	2.25	-22	0	29	-26	-31
61.5	8	2.375	-22	0	-29	-26	31
62	8	2.5	23	0	25	28	32
63	8	2.75	-23	0	-25	-28	32
63.5	8	2.875	23	0	-25	-28	-32
64	9	1	22	24	29	31	33
65	9	1.25	22	-24	-29	-31	-33
65.5	9	1.375	-22	-24	-29	31	-33
66	9	1.5	25	27	-29	29	32
67	9	1.75	-25	-27	-29	29	-32
67.5	9	1.875	-25	27	-29	-29	-32
68	9	2	24	26	0	31	33
69	9	2.25	-24	26	0	-31	33
70	9	2.5	-24	24	0	-31	35
72	10	1	0	27	25	29	34
73	10	1.25	0	-27	-25	-29	36
74	10	1.5	0	-27	27	-29	-36
74.5	10	1.625	0	-27	-27	-29	36
