**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	0	0	0	0	0	39
2	1	1.5	0	21	30	0	0	0	32	0	37	-39
4	1	2	0	21	30	0	0	0	-32	0	-37	37
6	1	2.5	0	-21	-30	0	0	0	35	0	39	-37
7	1	2.75	0	21	28	0	0	0	-35	0	-39	37
8	2	1	0	25	29	0	0	0	-35	0	-39	36
10	2	1.5	0	-25	25	0	0	0	34	0	36	-36
12	2	2	0	0	28	0	0	0	35	0	37	0
14	2	2.5	0	21	-28	0	0	0	32	0	37	35
16	3	1	0	24	-28	0	0	0	33	0	38	35
18	3	1.5	0	-24	28	0	0	0	-33	0	-38	-35
19	3	1.75	0	21	-28	0	0	0	30	0	39	35
20	3	2	0	25	27	0	0	0	32	0	39	36
22	3	2.5	0	21	28	0	0	0	32	0	39	37
24	4	1	0	24	28	0	0	0	33	0	35	38
28	4	2	0	21	28	0	0	0	32	0	35	37
30	4	2.5	0	21	26	0	0	0	33	0	-35	37
32	5	1	0	22	-26	0	0	0	-33	0	-35	36
34	5	1.5	0	-22	29	0	0	0	32	0	34	-36
36	5	2	0	-22	-29	0	0	0	-32	0	33	-36
38	5	2.5	0	-22	-29	0	0	0	31	0	-33	-36
40	6	1	0	25	29	0	0	0	32	0	34	36
42	6	1.5	25	-25	-29	29	0	32	-32	34	-34	-36
43	6	1.75	-25	-25	-29	-29	32	-32	-32	-34	-34	-36
44	6	2	22	0	0	29	-32	33	0	36	0	0
45	6	2.25	-22	0	0	-29	31	-33	0	-36	0	0
46	6	2.5	-22	0	0	26	-31	-33	0	-36	0	0
47	6	2.75	24	0	0	-26	31	33	0	35	0	0
48	7	1	21	0	0	28	30	32	0	35	0	0
50	7	1.5	28	0	0	-28	-30	-32	0	35	0	0
51	7	1.75	-28	0	0	27	31	-32	0	-35	0	0
51.5	7	1.875	-28	0	0	26	-31	-32	0	-35	0	0
52	7	2	29	0	0	25	32	0	0	34	0	0
54	7	2.5	30	0	0	32	30	32	0	-34	0	0
55	7	2.75	-30	0	0	-32	-30	-32	0	35	0	0
56	8	1	29	0	0	31	33	33	0	36	0	0
58	8	1.5	-29	0	0	32	32	34	0	-36	0	0
60	8	2	-29	0	0	33	-32	33	0	-36	0	0
62	8	2.5	-29	0	0	29	31	-33	0	-36	0	0
64	9	1	25	0	0	29	32	34	0	36	0	0
66	9	1.5	-25	25	27	-29	-32	-34	32	-36	39	36
68	9	2	0	21	28	0	0	0	30	0	39	37
71	9	2.75	0	21	28	0	0	0	30	0	32	37
72	10	1	0	21	28	0	0	0	30	0	32	37
74	10	1.5	0	22	26	0	0	0	31	0	31	36
76	10	2	0	20	29	0	0	0	31	0	34	38
80	11	1	0	-20	-29	0	0	0	29	0	-34	-38
82	11	1.5	0	21	28	0	0	0	30	0	32	37
84	11	2	0	21	28	0	0	0	-30	0	32	37
85	11	2.25	0	-21	-28	0	0	0	29	0	-32	-37
86	11	2.5	0	-21	32	0	0	0	28	0	35	-37
87	11	2.75	0	-21	-32	0	0	0	29	0	-35	38
88	12	1	0	28	-32	0	0	0	30	0	35	39
89	12	1.25	0	-28	-32	0	0	0	-30	0	34	-39
90	12	1.5	0	-28	33	0	0	0	30	0	33	38
91	12	1.75	0	-28	-33	0	0	0	-30	0	32	37
92	12	2	0	29	-33	0	0	0	31	0	31	36
93	12	2.25	0	-29	32	0	0	0	-31	0	32	-36
94	12	2.5	0	-29	31	0	0	0	-31	0	33	-36
95	12	2.75	0	28	30	0	0	0	-31	0	-33	-36
96	13	1	0	27	29	0	0	0	-31	0	-33	36
98	13	1.5	0	-27	-29	0	0	0	29	0	32	36
100	13	2	0	26	30	0	0	0	0	0	33	-36
102	13	2.5	26	-26	-30	30	0	33	0	0	-33	35
103	13	2.75	-26	-26	-30	-30	0	-33	0	37	-33	-35
104	14	1	24	0	0	29	0	33	0	33	0	0
106	14	1.5	25	0	0	29	0	32	0	34	0	0
108	14	2	21	0	0	30	0	32	0	35	0	0
110	14	2.5	-21	0	0	30	30	32	0	37	0	0
112	15	1	0	0	0	-30	28	33	0	37	0	0
114	15	1.5	0	0	0	31	29	-33	0	36	0	0
116	15	2	0	0	0	32	25	34	0	36	0	0
118	15	2.5	25	0	0	32	32	-34	0	-36	0	0
120	16	1	28	0	0	-32	33	35	0	0	0	0
122	16	1.5	29	0	0	31	-33	33	0	0	0	0
124	16	2	25	0	0	30	34	32	0	0	0	0
126	16	2.5	-25	0	0	-30	35	-32	0	0	0	0
128	17	1	-25	0	0	29	-35	-32	0	0	0	0
130	17	1.5	-25	0	0	-29	34	-32	0	36	0	0
132	17	2	0	0	0	0	33	35	0	37	0	0
134	17	2.5	26	0	0	28	-33	-35	0	38	0	0
136	18	1	27	0	0	29	32	0	0	39	0	0
137.5	18	1.375	-27	0	0	-29	-32	0	0	38	0	0
138	18	1.5	28	0	0	30	-32	35	0	37	0	0
140	18	2	29	0	0	31	0	33	0	-37	0	0
141	18	2.25	-29	0	0	-31	0	-33	0	36	0	0
142	18	2.5	27	0	0	29	0	32	0	36	0	0
144	19	1	26	0	0	30	0	33	0	-36	0	0
146	19	1.5	-26	0	0	-30	0	-33	0	35	0	0
148	19	2	22	0	0	29	0	31	0	36	0	0
149	19	2.25	-22	0	0	-29	0	-31	29	-36	0	0
150	19	2.5	-22	22	0	-29	0	-31	29	-36	33	36
151.5	19	2.875	-22	-22	0	-29	0	-31	28	-36	-33	-36
152	20	1	0	25	0	0	0	0	27	0	34	36
154	20	1.5	0	24	0	0	0	0	29	0	33	-36
155	20	1.75	0	-24	0	0	0	0	-29	0	-33	35
156	20	2	0	25	0	0	0	0	29	0	36	34
157	20	2.25	0	-25	0	0	0	0	-29	0	36	-34
158	20	2.5	0	-25	29	0	0	0	-29	0	36	34
159	20	2.75	0	26	-29	0	0	0	-29	0	-36	-34
159.5	20	2.875	0	-26	-29	0	0	0	-29	0	35	-34
160	21	1	0	27	32	0	0	0	-29	0	34	36
161	21	1.25	0	28	-32	0	0	0	-29	0	-34	-36
162	21	1.5	0	29	31	0	0	0	-29	0	33	-36
164	21	2	0	25	32	0	0	0	0	0	34	36
166	21	2.5	0	28	-32	0	0	0	0	0	35	37
167	21	2.75	0	-28	31	0	0	0	0	0	-35	-37
