**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	36
2	1	2	0	0	0	0	35
3	1	2.5	0	0	32	0	34
4	1	3	0	0	31	0	33
5	1	3.5	0	0	30	39	32
6	1	4	0	0	29	38	33
6.5	1	4.25	0	0	-29	-38	34
7	1	4.5	0	0	28	37	35
7.5	1	4.75	0	0	-28	-37	33
8	2	1	0	0	32	36	34
9	2	1.5	0	0	-32	35	35
10	2	2	0	0	-32	36	-35
11	2	2.5	0	0	-32	-36	34
12	2	3	0	0	28	37	35
13	2	3.5	0	28	35	39	37
14	2	4	0	28	35	39	37
15.5	2	4.75	0	30	32	37	34
16	3	1	0	29	33	38	36
17	3	1.5	0	28	35	39	37
18	3	2	0	32	34	39	36
20	3	3	0	32	34	39	36
21	3	3.5	0	32	-34	-39	-36
22	3	4	0	31	0	0	0
23	3	4.5	28	30	0	0	0
24	4	1	27	29	0	0	0
25	4	1.5	26	28	35	0	0
26	4	2	25	29	34	0	0
26.5	4	2.25	-25	30	-34	0	0
27	4	2.5	24	31	33	0	0
27.5	4	2.75	-24	29	-33	0	0
28	4	3	28	30	32	0	0
29	4	3.5	-28	31	31	0	0
30	4	4	-28	-31	32	0	0
31	4	4.5	-28	30	-32	0	0
32	5	1	24	31	33	0	0
33	5	1.5	24	-31	31	0	33
34	5	2	24	0	31	0	33
35.5	5	2.75	26	0	28	0	35
36	5	3	25	0	29	0	34
36.5	5	3.25	-25	0	30	0	-34
37	5	3.5	24	0	31	0	33
38	5	4	28	0	-31	0	32
39	5	4.5	-28	0	30	0	-32
40	6	1	24	0	31	0	33
42	6	2	31	33	0	0	-33
43	6	2.5	-31	-33	0	35	-33
44	6	3	30	32	0	-35	0
45	6	3.5	-30	-32	0	34	0
46	6	4	29	31	0	-34	0
47	6	4.5	28	30	0	33	0
48	7	1	-28	-30	0	32	0
49	7	1.5	27	29	0	32	0
50	7	2	26	30	0	35	0
51	7	2.5	25	30	0	34	0
52	7	3	24	31	0	33	0
52.5	7	3.25	25	-31	0	-33	0
53	7	3.5	26	30	0	-33	0
53.5	7	3.75	27	29	0	-33	0
54	7	4	28	30	0	32	0
55	7	4.5	28	-30	0	32	0
56	8	1	21	30	0	-32	0
56.5	8	1.25	22	-30	0	-32	0
57	8	1.5	23	28	0	31	0
57.5	8	1.75	24	-28	0	30	0
58	8	2	25	-28	0	29	0
59	8	2.5	-25	27	0	-29	0
60	8	3	21	28	0	30	0
61	8	3.5	-21	-28	35	37	0
62	8	4	0	0	35	37	39
63	8	4.5	0	0	32	34	-39
64	9	1	0	0	33	35	38
65	9	1.5	0	0	34	36	-38
65.5	9	1.75	0	0	-34	-36	38
66	9	2	0	0	35	37	37
66.5	9	2.25	0	0	-35	38	-37
67	9	2.5	0	0	28	39	37
67.5	9	2.75	0	0	-28	37	-37
68	9	3	0	0	29	38	36
68.5	9	3.25	0	0	30	-38	-36
69	9	3.5	0	0	31	38	-36
69.5	9	3.75	0	0	32	-38	36
70	9	4	0	0	33	37	35
71	9	4.5	0	0	30	-37	34
71.5	9	4.75	0	0	-30	36	-34
72	10	1	0	0	31	35	33
73	10	1.5	0	0	32	34	32
74	10	2	0	0	29	33	-32
75	10	2.5	0	0	-29	-33	31
76	10	3	0	0	25	32	32
77	10	3.5	25	29	32	-32	34
78	10	4	21	30	32	0	35
79.5	10	4.75	23	32	32	0	34
80	11	1	22	31	33	0	36
81	11	1.5	21	30	35	0	37
82	11	2	25	29	34	0	36
84	11	3	25	29	34	0	36
85	11	3.5	-25	25	-34	36	-36
86	11	4	0	26	0	35	0
87	11	4.5	25	27	0	34	0
88	12	1	24	28	0	33	0
89	12	1.5	23	-28	32	32	0
89.5	12	1.75	-23	27	-32	-32	0
90	12	2	22	29	31	33	0
90.5	12	2.25	-22	-29	-31	34	0
91	12	2.5	21	30	30	35	0
92	12	3	22	29	31	-35	0
92.5	12	3.25	-22	-29	-31	34	0
93	12	3.5	-22	-29	32	34	0
93.5	12	3.75	-22	-29	-32	33	0
93.75	12	3.875	-22	-29	-32	32	0
94	12	4	-22	-29	-32	33	0
95	12	4.5	-22	-29	31	-33	0
96	13	1	25	29	32	34	0
98	13	2	28	30	32	35	37
101	13	3.5	28	30	32	35	37
102	13	4	28	30	32	35	37
103	13	4.5	-28	-30	35	-35	-37
104	14	1	25	29	-35	36	39
105	14	1.5	-25	-29	34	-36	-39
105.5	14	1.75	-25	-29	33	-36	-39
106	14	2	25	29	34	36	39
107	14	2.5	-25	-29	34	-36	-39
108	14	3	21	28	35	37	39
109	14	3.5	22	-28	-35	-37	-39
110	14	4	23	25	-35	-37	-39
111	14	4.5	24	-25	-35	-37	-39
112	15	1	25	25	-35	36	-39
113	15	1.5	-25	26	-35	-36	-39
114	15	2	25	27	34	-36	39
115	15	2.5	-25	28	-34	-36	-39
116	15	3	22	29	33	36	38
117	15	3.5	-22	30	-33	-36	-38
118	15	4	22	31	33	36	38
119	15	4.5	-22	29	-33	36	-38
120	16	1	23	32	32	-36	37
120.5	16	1.25	-23	-32	-32	35	38
121	16	1.5	-23	30	-32	35	39
121.5	16	1.75	24	-30	-32	-35	-39
122	16	2	25	29	-32	-35	-39
122.5	16	2.25	-25	-29	-32	-35	38
122.75	16	2.375	-25	-29	-32	-35	37
123	16	2.5	-25	-29	-32	34	36
124	16	3	21	28	32	35	37
125	16	3.5	-21	-28	-32	-35	35
126	16	4	0	0	0	0	34
127	16	4.5	0	32	0	36	-34
128	17	1	0	28	0	37	35
129	17	1.5	0	-28	35	-37	-35
130	17	2	0	32	34	36	0
131	17	2.5	0	-32	-34	-36	39
132	17	3	0	0	35	0	37
133	17	3.5	28	0	-35	35	-37
134	17	4	25	0	0	34	36
135	17	4.5	-25	32	0	-34	-36
136	18	1	28	30	0	32	0
137	18	1.5	-28	-30	32	-32	32
138	18	2	0	29	31	0	33
139	18	2.5	0	-29	-31	36	-33
140	18	3	0	0	32	36	34
140.5	18	3.25	0	0	-32	35	-34
141	18	3.5	0	25	-32	34	36
141.5	18	3.75	0	26	-32	33	-36
142	18	4	25	27	29	32	-36
142.5	18	4.25	-25	28	-29	33	-36
143	18	4.5	-25	29	-29	34	35
143.5	18	4.75	-25	30	-29	35	34
144	19	1	22	31	-29	36	33
145	19	1.5	-22	32	29	-36	-33
145.5	19	1.75	-22	-32	-29	-36	32
146	19	2	-22	-32	29	-36	33
147	19	2.5	-22	31	-29	-36	-33
148	19	3	25	32	29	36	34
150	19	4	25	-32	32	-36	-34
151	19	4.5	-25	25	-32	36	34
152	20	1	23	25	32	37	35
152.5	20	1.25	-23	-25	-32	38	-35
153	20	1.5	-23	-25	-32	39	34
153.5	20	1.75	-23	-25	-32	-39	35
154	20	2	22	29	33	-39	36
155	20	2.5	-22	-29	-33	38	36
156	20	3	25	29	34	39	36
157	20	3.5	25	29	34	39	36
158	20	4	21	28	35	39	37
160	21	1	25	29	34	39	36
161	21	1.5	-25	25	34	-39	36
162	21	2	0	28	33	0	37
163	21	2.5	0	30	32	39	35
164	21	3	0	29	33	38	-35
165	21	3.5	0	-29	-33	-38	34
165.5	21	3.75	0	-29	32	-38	33
166	21	4	0	-29	31	-38	34
168	22	1	0	28	32	37	35
170	22	2	0	-28	35	0	37
171	22	2.5	0	-28	35	0	37
171.5	22	2.75	0	-28	35	0	37
172	22	3	0	0	34	0	36
173	22	3.5	0	0	34	0	36
174	22	4	0	31	33	0	35
175	22	4.5	0	31	-33	0	-35
175.5	22	4.75	0	31	-33	0	-35
176	23	1	28	30	32	0	-35
177	23	1.5	28	30	33	0	-35
177.5	23	1.75	28	-30	-33	0	-35
178	23	2	27	29	-33	0	36
179	23	2.5	27	-29	32	0	-36
180	23	3	26	28	-32	35	0
181	23	3.5	-26	-28	31	35	0
181.5	23	3.75	-26	-28	-31	35	0
182	23	4	25	29	32	34	39
183	23	4.5	-25	-29	-32	34	39
183.5	23	4.75	-25	-29	-32	-34	39
184	24	1	22	-29	36	33	38
185	24	1.5	22	26	36	-33	38
185.5	24	1.75	-22	-26	36	-33	-38
186	24	2	23	28	35	32	37
187	24	2.5	-23	25	35	-32	-37
187.5	24	2.75	24	-25	-35	-32	-37
188	24	3	25	0	34	39	36
189	24	3.5	-25	0	-34	39	36
189.5	24	3.75	-25	0	-34	39	-36
190	24	4	22	29	33	38	-36
191	24	4.5	22	29	-33	38	33
191.5	24	4.75	-22	29	-33	-38	-33
192	25	1	23	28	0	37	35
193	25	1.5	-23	28	0	-37	32
193.5	25	1.75	24	-28	0	-37	-32
194	25	2	25	27	32	36	0
195	25	2.5	-25	-27	32	36	0
195.5	25	2.75	-25	-27	32	-36	0
196	25	3	22	26	31	-36	36
197	25	3.5	22	-26	31	33	36
197.5	25	3.75	-22	-26	-31	-33	36
198	25	4	23	28	30	37	35
198.5	25	4.25	-23	-28	-30	38	-35
199	25	4.5	-23	25	-30	39	35
199.5	25	4.75	24	-25	-30	-39	-35
200	26	1	25	25	29	-39	34
200.5	26	1.25	-25	26	-29	-39	-34
201	26	1.5	-25	27	-29	36	34
201.5	26	1.75	-25	28	-29	-36	-34
202	26	2	-25	29	32	34	34
203	26	2.5	24	-29	-32	-34	32
203.5	26	2.75	23	-29	-32	-34	-32
204	26	3	22	-29	31	36	33
205	26	3.5	-22	28	32	36	34
205.5	26	3.75	-22	27	-32	-36	35
206	26	4	-22	26	-32	36	36
207	26	4.5	-22	-26	31	-36	-36
207.5	26	4.75	-22	-26	-31	33	-36
208	27	1	25	25	32	34	36
*-	*-	*-	*-	*-	*-	*-	*-
