**absq	**bar	**beat	**b7	**b7	**b7
2	1	2	0	0	31
6	1	4	0	0	30
8	2	1	0	0	31
12	2	3	0	0	32
13	2	3.5	0	0	29
14	2	4	0	0	27
15	2	4.5	0	0	28
16	3	1	0	0	29
17	3	1.5	0	0	30
18	3	2	0	0	31
20	3	3	0	0	29
22	3	4	0	0	29
26	4	2	0	0	28
28	4	3	0	0	29
30	4	4	22	24	-29
32	5	1	-22	-24	26
34	5	2	21	23	-26
36	5	3	22	24	0
40	6	1	18	25	25
41	6	1.5	-18	29	-25
42	6	2	18	27	29
43	6	2.5	-18	26	28
44	6	3	27	25	27
45	6	3.5	26	26	28
46	6	4	25	27	29
47	6	4.5	24	-27	-29
48	7	1	23	-27	25
49	7	1.5	22	-27	-25
50	7	2	21	28	-25
52	7	3	-21	25	32
54	7	4	20	-25	34
55	7	4.5	-20	-25	33
56	8	1	0	-25	32
57	8	1.5	0	-25	31
58	8	2	21	-25	30
60	8	3	25	0	29
62	8	4	-25	25	-29
63	8	4.5	26	-25	-29
64	9	1	27	29	0
66	9	2	25	-29	0
67	9	2.5	-25	30	25
68	9	3	24	31	28
70	9	4	-24	29	-28
71	9	4.5	-24	-29	27
72	10	1	24	28	26
73	10	1.5	-24	-28	24
74	10	2	-24	28	31
75	10	2.5	-24	-28	30
75.5	10	2.75	-24	-28	29
76	10	3	0	0	30
78	10	4	0	24	31
80	11	1	0	28	0
82	11	2	21	-28	30
83	11	2.5	-21	27	-30
84	11	3	24	26	31
85	11	3.5	-24	25	-31
86	11	4	-24	26	31
87	11	4.5	23	-26	-31
88	12	1	22	-26	0
89	12	1.5	-22	22	0
90	12	2	25	27	29
92	12	3	22	26	31
93	12	3.5	23	-26	-31
94	12	4	24	-26	-31
95	12	4.5	25	-26	31
96	13	1	26	0	30
97	13	1.5	-26	0	29
98	13	2	19	0	30
100	13	3	22	0	31
102	13	4	-22	26	-31
104	14	1	0	25	0
106	14	2	25	-25	32
107	14	2.5	-25	26	-32
108	14	3	23	27	32
110	14	4	-23	27	-32
111	14	4.5	23	-27	32
112	15	1	23	27	32
114	15	2	20	27	31
116	15	3	21	23	30
119	15	4.5	22	-23	-30
120	16	1	23	-23	-30
124	16	3	19	23	30
126	16	4	-19	26	-30
128	17	1	0	24	0
130	17	2	24	-24	31
131	17	2.5	-24	25	-31
132	17	3	22	26	31
134	17	4	-22	26	-31
135	17	4.5	22	-26	31
136	18	1	22	26	31
138	18	2	19	-26	30
140	18	3	20	22	29
142	18	4	-20	29	-29
143	18	4.5	21	-29	-29
144	19	1	22	-29	-29
145	19	1.5	-22	28	-29
145.5	19	1.75	-22	27	-29
146	19	2	-22	26	-29
148	19	3	18	27	29
150	19	4	-18	0	34
152	20	1	0	0	33
153	20	1.5	0	0	33
154	20	2	0	0	32
155	20	2.5	0	0	32
156	20	3	0	0	31
157.5	20	3.75	0	0	30
158	20	4	0	0	31
159	20	4.5	0	0	32
160	21	1	0	0	31
161	21	1.5	0	0	32
163	21	2.5	0	0	31
164	21	3	0	0	32
166	21	4	25	27	29
168	22	1	24	26	0
169	22	1.5	24	26	0
170	22	2	23	25	0
171	22	2.5	23	25	0
172	22	3	22	24	0
173.5	22	3.75	21	23	0
174	22	4	22	24	0
175	22	4.5	23	25	0
176	23	1	24	26	0
177	23	1.5	-24	27	31
178	23	2	-24	-27	31
179	23	2.5	-24	26	-31
180	23	3	20	27	31
181	23	3.5	-20	29	-31
182	23	4	0	32	0
183	23	4.5	0	-32	34
183.5	23	4.75	0	31	-34
184	24	1	0	30	33
184.5	24	1.25	0	29	-33
185	24	1.5	26	30	-33
185.5	24	1.75	-26	-30	32
186	24	2	27	29	31
186.5	24	2.25	-27	-29	30
