**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	26	30	33	35
4	1	3	0	24	31	33	35
7	1	4.5	0	24	31	33	35
8	2	1	0	24	31	33	35
10	2	2	0	25	29	32	34
12	2	3	0	26	28	31	33
14	2	4	0	-26	29	30	-33
15	2	4.5	0	-26	-29	29	-33
16	3	1	0	-26	-29	30	-33
17	3	1.5	0	-26	28	-30	-33
17.5	3	1.75	0	-26	27	-30	-33
18	3	2	0	-26	28	-30	-33
20	3	3	0	22	29	31	33
22	3	4	22	29	29	33	33
24	4	1	20	-29	31	34	36
26	4	2	-20	29	-31	-34	-36
27	4	2.5	20	-29	31	34	36
28	4	3	20	-29	31	34	29
29	4	3.5	-20	29	-31	-34	-29
30	4	4	21	28	30	33	30
32	5	1	22	-28	29	-33	31
34	5	2	-22	27	-29	32	32
36	5	3	-22	26	-29	-32	33
37	5	3.5	-22	-26	-29	31	-33
37.5	5	3.75	-22	-26	-29	30	-33
38	5	4	-22	-26	-29	31	-33
40	6	1	18	25	29	32	34
42	6	2	-18	-25	32	-32	-34
44	6	3	0	0	-32	33	0
46	6	4	0	0	31	-33	0
48	7	1	0	0	-31	32	0
49	7	1.5	0	0	31	-32	0
50	7	2	0	0	30	-32	0
51	7	2.5	0	0	-30	32	0
52	7	3	0	0	-30	31	0
54	7	4	0	0	29	31	0
56	8	1	0	0	-29	30	0
58	8	2	0	0	28	-30	0
60	8	3	0	0	29	29	0
62	8	4	0	29	-29	-29	33
64	9	1	0	25	0	0	34
65	9	1.5	25	-25	0	0	34
66	9	2	24	26	0	0	33
67	9	2.5	22	26	0	0	-33
68	9	3	22	27	0	0	-33
69	9	3.5	23	-27	32	0	32
70	9	4	24	26	31	0	33
71	9	4.5	-24	-26	29	33	-33
72	10	1	0	25	29	34	0
73	10	1.5	0	25	30	34	0
74	10	2	22	24	31	33	0
75	10	2.5	-22	24	-31	-33	31
76	10	3	23	27	0	32	32
76.5	10	3.25	-23	-27	0	-32	33
77	10	3.5	23	25	0	-32	34
77.5	10	3.75	-23	-25	0	-32	32
78	10	4	22	29	0	31	33
78.5	10	4.25	-22	-29	0	-31	32
79	10	4.5	-22	-29	29	31	33
79.5	10	4.75	-22	-29	-29	-31	34
80	11	1	21	25	30	32	35
80.5	11	1.25	-21	-25	-30	31	-35
81	11	1.5	-21	-25	30	32	35
81.5	11	1.75	-21	-25	-30	33	-35
82	11	2	20	0	29	34	36
82.5	11	2.25	21	0	-29	-34	-36
83	11	2.5	22	0	-29	31	-36
83.5	11	2.75	23	0	-29	-31	-36
84	11	3	24	26	28	-31	33
84.5	11	3.25	-24	-26	-28	32	-33
85	11	3.5	17	-26	-28	33	-33
86	11	4	18	27	27	-33	0
87	11	4.5	18	27	29	32	0
88	12	1	22	26	29	-32	0
89	12	1.5	-22	-26	29	31	33
90	12	2	18	25	27	32	34
90.5	12	2.25	-18	-25	28	-32	-34
91	12	2.5	-18	-25	29	-32	34
91.5	12	2.75	-18	-25	30	-32	-34
92	12	3	0	24	31	0	33
93	12	3.5	0	22	-31	33	-33
94	12	4	0	25	30	34	32
95	12	4.5	0	25	29	34	-32
96	13	1	19	26	-29	33	30
97	13	1.5	-19	-26	28	-33	31
98	13	2	20	22	29	-33	31
99	13	2.5	20	-22	-29	32	29
100	13	3	19	23	0	33	-29
101	13	3.5	-19	-23	26	-33	28
102	13	4	18	25	27	36	29
103	13	4.5	-18	-25	27	-36	-29
104	14	1	22	-25	26	36	-29
105	14	1.5	22	24	-26	33	-29
106	14	2	19	23	-26	35	0
107	14	2.5	20	22	25	36	0
108	14	3	19	23	26	-36	0
109	14	3.5	-19	26	30	35	33
110	14	4	22	24	31	36	33
111	14	4.5	-22	24	29	-36	31
112	15	1	0	26	28	0	30
114	15	2	0	22	29	0	29
115	15	2.5	0	27	-29	36	-29
116	15	3	0	26	0	35	0
117	15	3.5	27	25	32	34	36
118	15	4	26	24	33	33	35
119	15	4.5	25	25	29	34	34
120	16	1	24	26	0	35	33
121	16	1.5	25	29	0	32	34
122	16	2	26	0	0	0	35
