**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	32	0	0
1	1	1.25	0	0	-32	34	36
2	1	1.5	0	0	32	-34	-36
2.5	1	1.625	0	0	-32	33	35
3	1	1.75	0	0	32	32	34
4	1	2	0	0	31	33	35
8	2	1	0	0	-31	33	-35
10	2	1.5	0	0	29	34	36
12	2	2	0	0	30	-34	32
13	2	2.25	0	0	-30	33	-32
14	2	2.5	0	0	-30	32	-32
15	2	2.75	0	0	-30	-32	33
16	3	1	0	0	29	-32	34
18	3	1.5	0	0	-29	31	33
20	3	2	0	0	0	0	0
21	3	2.25	0	0	29	33	31
22	3	2.5	0	0	29	33	31
23	3	2.75	0	0	29	34	31
24	4	1	0	0	28	35	32
26	4	1.5	0	0	27	36	34
28	4	2	0	0	31	35	33
29	4	2.25	0	0	-31	-35	32
30	4	2.5	0	0	-31	33	31
31	4	2.75	0	0	-31	-33	30
32	5	1	0	0	-31	-33	29
33	5	1.25	0	0	-31	-33	28
34	5	1.5	0	0	29	34	27
36	5	2	0	0	30	35	26
38	5	2.5	0	0	31	36	0
39	5	2.75	0	0	-31	-36	33
40	6	1	0	0	32	-36	34
42	6	1.5	0	0	-32	35	35
44	6	2	0	0	-32	-35	36
45	6	2.25	0	0	-32	34	-36
46	6	2.5	0	0	-32	34	-36
47	6	2.75	0	0	-32	-34	35
47.5	6	2.875	0	0	-32	-34	34
48	7	1	0	0	31	-34	35
49	7	1.25	0	0	-31	33	-35
49.5	7	1.375	0	0	-31	32	-35
50	7	1.5	0	0	-31	33	-35
52	7	2	0	0	0	34	34
53	7	2.25	0	0	32	-34	-34
54	7	2.5	0	0	32	0	0
54.5	7	2.625	0	0	31	0	0
55	7	2.75	0	0	32	34	32
55.5	7	2.875	0	0	33	-34	-32
56	8	1	0	0	34	34	32
56.5	8	1.125	0	0	-34	33	31
57	8	1.25	0	0	-34	34	32
57.5	8	1.375	0	0	-34	35	33
58	8	1.5	0	0	27	36	34
60	8	2	0	0	27	36	34
61	8	2.25	0	0	-27	29	31
62	8	2.5	0	0	-27	29	34
62.5	8	2.625	0	0	-27	28	33
63	8	2.75	0	0	-27	29	34
63.5	8	2.875	0	0	-27	30	35
64	9	1	0	0	-27	31	36
65	9	1.25	0	0	-27	31	36
66	9	1.5	0	0	27	31	36
67	9	1.75	0	0	-27	32	36
