**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	25	32	34
4	2	1	22	31	33
7	2	2.5	22	31	33
8	3	1	19	33	35
10	3	2	-19	30	-35
11	3	2.5	20	32	32
12	4	1	22	-32	34
13	4	1.5	-22	31	33
13.5	4	1.75	-22	30	-33
14	4	2	-22	31	-33
16	5	1	25	32	32
18	5	2	20	34	36
20	6	1	24	33	35
21	6	1.5	22	-33	-35
21.5	6	1.75	-22	34	36
22	6	2	25	32	34
23	6	2.5	18	-32	-34
23.5	6	2.75	-18	32	34
24	7	1	22	31	33
26	7	2	25	0	34
27	7	2.5	-25	36	-34
28	8	1	24	-36	33
29	8	1.5	24	35	33
30	8	2	23	-35	32
31	8	2.5	-23	34	-32
32	9	1	-23	34	-32
32.5	9	1.25	-23	33	-32
33.5	9	1.75	-23	32	-32
34	9	2	22	33	31
36	10	1	0	0	0
38	10	2	25	34	32
40	10	3	26	35	30
42	11	1	27	36	30
44	11	2	26	36	30
46	11	3	-26	35	-30
48	12	1	22	36	29
50	12	2	22	31	36
52	12	3	23	32	34
54	13	1	24	33	34
56	13	2	23	33	34
58	13	3	-23	32	-34
60	14	1	19	33	33
62	14	2	26	-33	-33
64	14	3	24	-33	-33
66	15	1	-24	0	36
68	15	2	25	0	34
70	15	3	18	32	-34
72	16	1	21	30	35
74	16	2	22	31	-35
76	16	3	23	32	34
78	17	1	21	32	33
80	17	2	22	32	33
82	17	3	-22	31	-33
84	18	1	18	32	32
*-	*-	*-	*-	*-	*-
