**absq	**bar	**beat	**b7	**b7	**b7
2	1	3	25	0	0
3	1	4	26	0	0
4	2	1	27	34	36
10	3	3	26	-34	-36
12	4	1	25	-34	-36
14	4	3	-25	33	35
15	4	4	-25	32	34
16	5	1	24	33	35
20	6	1	-24	33	0
21	6	2	-24	-33	33
22	6	3	22	0	34
23	6	4	-22	31	-34
24	7	1	23	32	-34
25	7	2	-23	-32	35
26	7	3	24	-32	36
27	7	4	-24	33	-36
28	8	1	25	34	-36
29	8	2	-25	-34	35
29.5	8	2.5	-25	-34	34
30	8	3	-25	-34	37
30.5	8	3.5	-25	-34	36
31	8	4	-25	33	36
31.5	8	4.5	-25	32	35
31.75	8	4.75	-25	-32	34
32	9	1	-25	35	33
32.5	9	1.5	-25	34	-33
33	9	2	-25	34	-33
33.5	9	2.5	-25	33	-33
33.75	9	2.75	-25	32	-33
34	9	3	24	33	36
36	10	1	23	-33	37
36.5	10	1.5	-23	-33	36
37	10	2	-23	32	36
37.5	10	2.5	-23	-32	35
37.75	10	2.75	-23	-32	34
38	10	3	-23	32	35
38.5	10	3.5	-23	-32	34
39	10	4	-23	-32	34
39.5	10	4.5	-23	-32	33
39.75	10	4.75	-23	-32	32
40	11	1	22	-32	33
42	11	3	-22	31	33
46	12	3	22	0	0
48	13	1	22	0	0
50	13	3	21	0	0
52	14	1	20	38	36
58	15	3	21	37	35
59	15	4	-21	36	34
60	16	1	22	35	33
62	16	3	23	34	32
64	17	1	24	34	35
66	17	3	-24	33	-35
67	17	4	-24	32	-35
68	18	1	24	33	-35
70	18	3	22	0	36
72	19	1	23	34	-36
74	19	3	24	-34	35
75	19	4	-24	-34	34
76	20	1	25	-34	34
76.5	20	1.5	-25	-34	31
77	20	2	-25	-34	32
77.5	20	2.5	-25	-34	33
78	20	3	-25	33	34
78.5	20	3.5	-25	-33	35
79	20	4	-25	32	36
79.5	20	4.5	-25	-32	36
80	21	1	23	32	0
80.5	21	1.5	-23	29	32
81	21	2	-23	30	33
81.5	21	2.5	-23	31	34
82	21	3	21	32	35
82.5	21	3.5	-21	33	36
83	21	4	-21	34	37
83.5	21	4.5	-21	35	37
84	22	1	22	31	0
84.5	22	1.5	-22	-31	34
85	22	2	-22	32	33
85.5	22	2.5	-22	-32	32
86	22	3	-22	-32	33
87	22	4	-22	31	-33
88	23	1	18	32	32
92	24	1	0	0	0
92	24	1	0	0	0
94	24	3	25	0	0
95	24	4	26	0	0
96	25	1	27	0	0
98	25	3	-27	0	34
101	26	2	-27	0	36
101.5	26	2.5	-27	0	37
102	26	3	26	0	38
102.25	26	3.25	-26	0	37
102.5	26	3.5	-26	0	36
102.75	26	3.75	-26	0	37
103	26	4	-26	0	38
103.25	26	4.25	-26	0	36
103.5	26	4.5	-26	0	37
103.75	26	4.75	-26	0	38
104	27	1	25	34	36
104.25	27	1.25	-25	-34	35
104.5	27	1.5	-25	-34	34
104.75	27	1.75	-25	-34	35
105	27	2	-25	-34	36
105.25	27	2.25	-25	-34	34
105.5	27	2.5	-25	-34	35
105.75	27	2.75	-25	-34	36
106	27	3	-25	-34	34
107	27	4	-25	36	-34
107.5	27	4.5	-25	37	-34
108	28	1	24	38	-34
108.25	28	1.25	-24	37	-34
108.5	28	1.5	-24	36	-34
108.75	28	1.75	-24	37	-34
109	28	2	-24	38	33
109.25	28	2.25	-24	36	-33
109.5	28	2.5	-24	37	-33
109.75	28	2.75	-24	38	-33
110	28	3	-24	36	0
110.25	28	3.25	-24	35	0
110.5	28	3.5	-24	34	0
110.75	28	3.75	-24	35	0
111	28	4	-24	36	33
111.25	28	4.25	-24	34	-33
111.5	28	4.5	-24	35	-33
111.75	28	4.75	-24	36	-33
112	29	1	-24	34	34
113	29	2	-24	-34	35
113.5	29	2.5	-24	33	-35
114	29	3	22	34	36
116	30	1	23	0	-36
117	30	2	-23	0	35
117.25	30	2.25	-23	0	34
117.5	30	2.5	-23	0	33
117.75	30	2.75	-23	0	32
118	30	3	24	0	33
118.25	30	3.25	-24	0	30
118.5	30	3.5	-24	0	31
118.75	30	3.75	-24	0	32
119	30	4	-24	33	33
119.25	30	4.25	-24	-33	34
119.5	30	4.5	-24	-33	35
119.75	30	4.75	-24	-33	36
120	31	1	25	34	37
121	31	2	-25	35	38
121.25	31	2.25	-25	-35	37
121.5	31	2.5	-25	-35	36
121.75	31	2.75	-25	-35	35
122	31	3	-25	36	34
122.25	31	3.25	-25	-36	33
122.5	31	3.5	-25	-36	34
125	32	2	-25	35	33
125.25	32	2.25	-25	34	-33
125.5	32	2.5	-25	33	-33
125.75	32	2.75	-25	32	-33
126	32	3	24	33	29
126.25	32	3.25	-24	30	-29
126.5	32	3.5	-24	31	-29
126.75	32	3.75	-24	32	-29
127	32	4	-24	33	-29
127.25	32	4.25	-24	34	-29
127.5	32	4.5	-24	35	-29
127.75	32	4.75	-24	36	-29
128	33	1	23	37	-29
130	33	3	-23	-37	28
131	33	4	-23	30	-28
131.25	33	4.25	-23	29	-28
131.5	33	4.5	-23	30	-28
131.75	33	4.75	-23	31	-28
132	34	1	22	33	29
133.5	34	2.5	-22	32	-29
134	34	3	-22	33	-29
138	35	3	22	0	0
139	35	4	-22	0	34
140	36	1	22	0	34
142	36	3	21	0	-34
143	36	4	-21	0	33
144	37	1	20	0	34
144.25	37	1.25	-20	0	31
144.5	37	1.5	-20	0	32
144.75	37	1.75	-20	0	31
145	37	2	-20	0	32
145.25	37	2.25	-20	0	33
145.5	37	2.5	-20	0	34
145.75	37	2.75	-20	0	33
146	37	3	-20	0	34
146.25	37	3.25	-20	0	35
146.5	37	3.5	-20	0	36
146.75	37	3.75	-20	0	33
147	37	4	-20	0	34
147.25	37	4.25	-20	0	33
147.5	37	4.5	-20	0	34
147.75	37	4.75	-20	0	35
148	38	1	-20	0	36
148.25	38	1.25	-20	0	35
148.5	38	1.5	-20	0	36
148.75	38	1.75	-20	0	34
149	38	2	-20	0	35
149.25	38	2.25	-20	0	34
149.5	38	2.5	-20	0	35
149.75	38	2.75	-20	0	36
150	38	3	21	0	37
150.25	38	3.25	-21	0	36
150.5	38	3.5	-21	0	37
150.75	38	3.75	-21	0	35
151	38	4	-21	34	36
151.25	38	4.25	-21	-34	35
151.5	38	4.5	-21	-34	36
151.75	38	4.75	-21	-34	37
152	39	1	22	34	38
154	39	3	23	-34	-38
155	39	4	-23	33	-38
156	40	1	24	33	35
156.25	40	1.25	-24	30	-35
156.5	40	1.5	-24	31	-35
156.75	40	1.75	-24	30	-35
157	40	2	-24	31	-35
157.25	40	2.25	-24	32	-35
157.5	40	2.5	-24	33	-35
157.75	40	2.75	-24	32	-35
158	40	3	-24	33	-35
158.25	40	3.25	-24	34	-35
158.5	40	3.5	-24	35	-35
158.75	40	3.75	-24	32	-35
159	40	4	-24	33	-35
159.25	40	4.25	-24	32	-35
159.5	40	4.5	-24	33	-35
159.75	40	4.75	-24	34	-35
160	41	1	-24	35	-35
160.25	41	1.25	-24	34	-35
160.5	41	1.5	-24	35	-35
160.75	41	1.75	-24	33	-35
161	41	2	-24	34	-35
161.25	41	2.25	-24	33	-35
161.5	41	2.5	-24	34	-35
161.75	41	2.75	-24	35	-35
162	41	3	22	36	34
163	41	4	-22	-36	34
164	42	1	23	-36	34
166	42	3	24	35	33
168	43	1	25	-35	36
170	43	3	-25	34	-36
170.25	43	3.25	-25	-34	32
170.5	43	3.5	-25	-34	33
170.75	43	3.75	-25	-34	34
171	43	4	-25	34	35
171.25	43	4.25	-25	-34	36
171.5	43	4.5	-25	-34	37
171.75	43	4.75	-25	-34	38
172	44	1	23	34	39
172.25	44	1.25	-23	32	-39
172.5	44	1.5	-23	33	-39
172.75	44	1.75	-23	34	-39
173	44	2	-23	35	-39
173.25	44	2.25	-23	36	-39
173.5	44	2.5	-23	37	-39
173.75	44	2.75	-23	38	-39
174	44	3	21	39	-39
175	44	4	-21	-39	34
175.25	44	4.25	-21	-39	33
175.5	44	4.5	-21	-39	34
175.75	44	4.75	-21	-39	35
176	45	1	22	-39	33
177	45	2	-22	34	32
177.25	45	2.25	-22	33	-32
177.5	45	2.5	-22	34	-32
177.75	45	2.75	-22	35	-32
178	45	3	-22	33	-32
179	45	4	-22	-33	31
180	46	1	18	32	32
186	47	3	25	0	0
187	47	4	26	0	0
188	48	1	27	0	0
194	49	3	26	0	38
196	50	1	25	0	38
198	50	3	-25	34	-38
199	50	4	-25	-34	37
200	51	1	24	34	37
200.5	51	1.5	-24	-34	36
201	51	2	-24	-34	36
201.5	51	2.5	-24	-34	35
201.75	51	2.75	-24	-34	34
202	51	3	-24	-34	34
202.5	51	3.5	-24	-34	33
203	51	4	-24	33	34
203.5	51	4.5	-24	-33	35
204	52	1	-24	33	36
204.5	52	1.5	-24	32	-36
205	52	2	-24	32	36
205.5	52	2.5	-24	31	-36
205.75	52	2.75	-24	30	-36
206	52	3	22	31	-36
206.5	52	3.5	-22	29	-36
207	52	4	-22	30	35
207.5	52	4.5	-22	31	34
208	53	1	23	32	35
208.5	53	1.5	-23	-32	36
208.75	53	1.75	-23	-32	35
209	53	2	-23	35	34
209.5	53	2.5	-23	-35	35
209.75	53	2.75	-23	-35	34
210	53	3	24	-35	33
211	53	4	-24	34	-33
211.5	53	4.5	-24	33	38
211.75	53	4.75	-24	-33	37
212	54	1	25	34	36
212.5	54	1.5	-25	35	37
212.75	54	1.75	-25	34	36
213	54	2	-25	33	35
213.5	54	2.5	-25	34	36
213.75	54	2.75	-25	33	35
214	54	3	-25	32	34
214.5	54	3.5	-25	-32	35
214.75	54	3.75	-25	-32	34
215	54	4	-25	-32	33
215.5	54	4.5	-25	37	34
215.75	54	4.75	-25	36	33
216	55	1	23	35	32
216.5	55	1.5	-23	36	-32
216.75	55	1.75	-23	35	-32
217	55	2	-23	34	-32
217.5	55	2.5	-23	35	37
217.75	55	2.75	-23	34	36
218	55	3	21	33	35
218.5	55	3.5	-21	36	34
218.75	55	3.75	-21	35	33
219	55	4	-21	34	32
219.5	55	4.5	-21	35	33
219.75	55	4.75	-21	34	32
220	56	1	22	33	31
220.5	56	1.5	-22	34	36
220.75	56	1.75	-22	33	35
221	56	2	-22	32	34
221.5	56	2.5	-22	-32	35
221.75	56	2.75	-22	-32	34
222	56	3	-22	-32	33
223	56	4	-22	31	-33
224	57	1	18	32	32
228	58	1	0	0	0
228	58	1	0	0	0
230	58	3	25	0	34
231	58	4	26	0	-34
232	59	1	27	0	-34
233	59	2	-27	0	31
234	59	3	-27	38	-31
236.5	60	1.5	-27	-38	26
237	60	2	-27	35	27
237.5	60	2.5	-27	-35	28
238	60	3	26	-35	29
238.5	60	3.5	-26	-35	30
239	60	4	-26	-35	31
239.5	60	4.5	-26	-35	30
240	61	1	25	0	32
240.5	61	1.5	-25	30	-32
241	61	2	-25	31	-32
241.5	61	2.5	-25	32	-32
242	61	3	-25	33	-32
242.5	61	3.5	-25	34	-32
243	61	4	-25	35	-32
243.5	61	4.5	-25	34	-32
244	62	1	24	35	0
248	63	1	-24	0	33
250	63	3	22	0	-33
251	63	4	-22	0	36
251.5	63	4.5	-22	0	35
252	64	1	23	35	35
252.25	64	1.25	-23	-35	32
252.5	64	1.5	-23	-35	33
252.75	64	1.75	-23	-35	34
253	64	2	-23	-35	35
253.25	64	2.25	-23	-35	30
253.5	64	2.5	-23	-35	31
253.75	64	2.75	-23	-35	32
254	64	3	24	-35	33
254.25	64	3.25	-24	-35	32
254.5	64	3.5	-24	-35	33
254.75	64	3.75	-24	-35	34
255	64	4	-24	38	32
255.25	64	4.25	-24	-38	31
255.5	64	4.5	-24	37	32
255.75	64	4.75	-24	-37	33
256	65	1	25	36	34
256.25	65	1.25	-25	34	32
256.5	65	1.5	-25	35	33
256.75	65	1.75	-25	36	34
257	65	2	-25	37	35
