**absq	**bar	**beat	**b7	**b7
0	1	1	0	31
2.66667	1	1.66667	0	31
5.33333	1	2.33333	0	31
8	2	1	24	33
10.6667	2	1.66667	24	-33
12	2	2	-24	34
13.3333	2	2.33333	24	35
14.6667	2	2.66667	-24	33
16	3	1	26	35
20	3	2	27	-35
21.3333	3	2.33333	28	35
22.6667	3	2.66667	26	-35
24	4	1	28	37
29.3333	4	2.33333	29	36
32	5	1	30	35
34.6667	5	1.66667	-30	35
36	5	2	29	-35
37.3333	5	2.33333	28	35
40	6	1	29	34
42.6667	6	1.66667	30	-34
44	6	2	-30	32
45.3333	6	2.33333	0	33
46.6667	6	2.66667	0	34
48	7	1	33	35
50.6667	7	1.66667	33	-35
53.3333	7	2.33333	33	35
56	8	1	32	37
60	8	2	31	-37
61.3333	8	2.33333	32	-37
62.6667	8	2.66667	30	-37
64	9	1	31	35
69.3333	9	2.33333	31	-35
72	10	1	30	0
77.3333	10	2.33333	30	0
80	11	1	26	0
82.6667	11	1.66667	26	0
85.3333	11	2.33333	26	0
88	12	1	28	35
90.6667	12	1.66667	-28	35
92	12	2	29	-35
93.3333	12	2.33333	30	35
94.6667	12	2.66667	31	-35
96	13	1	30	37
100	13	2	-30	36
101.333	13	2.33333	30	35
102.667	13	2.66667	-30	34
104	14	1	31	33
106.667	14	1.66667	31	-33
109.333	14	2.33333	31	35
112	15	1	30	35
114	15	1.5	28	-35
116	15	2	28	-35
120	16	1	28	33
124	16	2	0	0
126	16	2.5	0	35
128	17	1	0	34
129	17	1.25	0	35
130	17	1.5	0	36
131	17	1.75	0	37
132	17	2	0	35
133.5	17	2.375	0	35
134	17	2.5	0	35
135	17	2.75	0	35
136	18	1	0	36
138	18	1.5	0	37
139	18	1.75	30	-37
140	18	2	29	0
141	18	2.25	30	0
142	18	2.5	31	0
143	18	2.75	30	0
143.5	18	2.875	29	0
144	19	1	28	0
145	19	1.25	32	0
146	19	1.5	31	0
147.5	19	1.875	29	0
148	19	2	30	0
148.5	19	2.125	28	0
149	19	2.25	31	0
150.5	19	2.625	30	0
150.75	19	2.6875	29	0
151	19	2.75	30	0
152	20	1	28	0
154	20	1.5	-28	35
156	20	2	0	35
157	20	2.25	0	35
158	20	2.5	31	33
159	20	2.75	-31	35
160	21	1	31	-35
160.5	21	1.125	-31	34
161	21	1.25	31	33
161.5	21	1.375	-31	34
162	21	1.5	30	35
163	21	1.75	31	-35
164	21	2	-31	35
164.5	21	2.125	30	35
165	21	2.25	29	36
165.5	21	2.375	28	-36
166	21	2.5	27	-36
167	21	2.75	-27	36
168	22	1	26	35
168.5	22	1.125	24	-35
169	22	1.25	28	-35
171	22	1.75	26	-35
172	22	2	28	-35
174	22	2.5	26	-35
175	22	2.75	28	-35
175.5	22	2.875	29	-35
176	23	1	30	35
178	23	1.5	28	-35
180	23	2	27	0
180.5	23	2.125	26	0
181	23	2.25	27	0
181.5	23	2.375	28	0
182	23	2.5	29	0
182.5	23	2.625	30	0
183	23	2.75	31	0
183.5	23	2.875	29	0
184	24	1	30	0
186	24	1.5	30	0
187	24	1.75	-30	33
188	24	2	0	35
189	24	2.25	31	35
190	24	2.5	27	36
191.5	24	2.875	28	37
192	25	1	29	38
192.5	25	1.125	-29	36
193	25	1.25	26	38
194	25	1.5	27	-38
195	25	1.75	28	37
196	25	2	24	38
196.5	25	2.125	25	-38
