**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	25	0	0	0	0
1	1	2	-25	0	27	0	36
2	1	3	25	0	27	0	36
2.5	1	3.5	-25	0	28	0	37
3	1	4	-25	0	27	32	36
3.5	1	4.5	-25	0	28	-32	35
4	2	1	-25	0	29	32	34
4.5	2	1.5	-25	0	25	-32	35
4.75	2	1.75	-25	0	-25	-32	36
5	2	2	24	0	26	-32	35
5.5	2	2.5	-24	0	27	-32	-35
6	2	3	23	0	28	-32	-35
7	2	4	22	0	29	31	34
8	3	1	21	0	25	30	35
9	3	2	-21	21	-25	-30	-35
10	3	3	-21	21	0	-30	-35
11	3	4	20	20	25	-30	-35
12	4	1	19	19	26	0	0
13	4	2	18	18	27	30	32
14	4	3	17	17	28	31	33
15	4	4	-17	-17	-28	32	34
15.5	4	4.5	-17	17	-28	-32	-34
16	5	1	-17	17	24	33	35
16.5	5	1.5	-17	-17	-24	-33	35
17	5	2	-17	24	-24	-33	36
17.5	5	2.5	-17	-24	-24	34	-36
18	5	3	16	23	25	32	-36
19	5	4	-16	-23	-25	-32	35
20	6	1	15	22	26	-32	36
22	6	3	-15	-22	-26	31	-36
24	7	1	22	22	0	0	0
25	7	2	-22	-22	29	31	33
26	7	3	20	20	29	31	34
29	8	2	21	21	28	30	33
30	8	3	22	22	26	29	31
31	8	4	23	23	25	28	32
32	9	1	24	24	26	28	31
32.5	9	1.5	-24	-24	27	-28	32
33	9	2	-24	-24	26	-28	31
33.5	9	2.5	-24	-24	27	29	32
33.75	9	2.75	-24	-24	-27	30	-32
34	9	3	-24	-24	28	31	33
36	10	1	25	25	-28	29	32
37	10	2	-25	-25	27	-29	-32
38	10	3	21	21	28	30	32
39	10	4	-21	-21	-28	-30	33
39.5	10	4.5	-21	-21	-28	-30	34
40	11	1	-21	-21	-28	-30	33
41	11	2	-21	21	28	30	32
42	11	3	22	22	26	29	-32
43	11	4	-22	-22	-26	-29	31
44	12	1	18	18	25	29	32
45	12	2	25	-18	-25	-29	-32
47	12	4	24	24	26	0	0
47.5	12	4.5	-24	24	26	0	0
48	13	1	25	25	27	0	0
49	13	2	26	26	28	0	0
49.5	13	2.5	-26	26	28	0	0
50	13	3	27	27	29	0	0
50.5	13	3.5	-27	-27	30	0	0
51	13	4	-27	-27	29	0	0
51.5	13	4.5	-27	-27	30	0	0
52	14	1	-27	-27	31	0	0
53	14	2	26	26	24	0	33
53.5	14	2.5	-26	-26	-24	0	33
54	14	3	25	25	0	0	34
55	14	4	24	24	26	31	35
