**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	20	29	27	31	36
2	1	2	-20	-29	24	-31	-36
3	1	2.5	24	28	-24	31	33
4	1	3	24	28	26	31	33
6	1	4	21	30	25	32	35
8	2	1	0	0	0	0	0
9	2	1.5	0	30	28	32	35
11	2	2.5	0	28	24	31	35
12	2	3	0	28	26	30	35
14	2	4	0	29	25	32	34
15	2	4.5	25	29	-25	32	34
16	3	1	26	28	0	30	35
17	3	1.5	22	26	0	31	36
18	3	2	22	26	0	31	33
19.5	3	2.75	22	26	0	31	33
20	3	3	22	26	0	31	33
21	3	3.5	-22	-26	0	-31	32
21.5	3	3.75	-22	-26	0	-31	31
22	3	4	21	28	0	30	32
24	4	1	0	0	0	0	0
25	4	1.5	20	29	27	31	36
26.5	4	2.25	20	29	27	31	36
27	4	2.5	20	29	27	31	36
28	4	3	20	29	24	31	36
29	4	3.5	24	26	24	33	35
30	4	4	21	28	25	32	37
31	4	4.5	22	26	29	31	36
32	5	1	19	26	30	33	35
33	5	1.5	17	26	31	33	36
34	5	2	19	26	30	33	35
36	5	3	22	26	29	31	36
40	6	1	0	0	0	0	0
41	6	1.5	0	29	25	32	34
42.5	6	2.25	0	29	25	32	34
43	6	2.5	0	28	26	30	35
45	6	3.5	0	27	27	29	36
45.5	6	3.75	0	26	28	30	35
46	6	4	0	29	25	32	34
47	6	4.5	25	29	25	-32	34
47.5	6	4.75	25	-29	-25	-32	-34
48	7	1	25	0	0	-32	0
49	7	1.5	-25	29	27	-32	0
49.5	7	1.75	-25	29	27	-32	0
50	7	2	-25	29	27	32	0
51	7	2.5	24	-29	-27	-32	0
51.5	7	2.75	23	-29	-27	-32	0
52	7	3	24	-29	-27	0	0
53	7	3.5	-24	28	26	0	0
53.5	7	3.75	-24	27	25	0	0
54	7	4	24	28	26	0	0
55	7	4.5	-24	-28	-26	0	35
55.5	7	4.75	-24	-28	-26	0	35
56	8	1	0	26	24	0	35
57	8	1.5	0	-26	-24	33	-35
57.5	8	1.75	0	-26	-24	33	-35
58	8	2	0	-26	-24	33	-35
59	8	2.5	0	-26	-24	-33	34
59.5	8	2.75	0	-26	-24	-33	33
60	8	3	0	0	25	-33	34
