**absq	**bar	**beat	**b7	**b7
0	1	1	27	0
1	1	2	-27	38
1.5	1	2.5	-27	38
2	1	3	-27	38
4	2	1	26	-38
5	2	2	-26	35
5.5	2	2.5	-26	35
6	2	3	25	37
8	3	1	24	35
10	3	3	24	-35
11	3	4	24	-35
13	4	2	24	36
14	4	3	25	36
14.5	4	3.5	-25	37
15	4	4	-25	36
16	5	1	22	-36
16.5	5	1.5	-22	35
16.75	5	1.75	-22	34
17	5	2	-22	33
17.25	5	2.25	-22	32
17.5	5	2.5	-22	31
18	5	3	23	32
20	6	1	22	33
23	6	4	22	34
24	7	1	22	34
25	7	2	21	-34
25.5	7	2.5	-21	33
26	7	3	20	31
27.5	7	4.5	-20	36
28	8	1	-20	38
29	8	2	21	-38
30	8	3	22	-38
31	8	4	23	-38
32	9	1	24	0
33	9	2	-24	33
34	9	3	-24	35
36.5	10	1.5	-24	36
36.75	10	1.75	-24	37
37	10	2	-24	36
38	10	3	23	-36
39	10	4	-23	33
40	11	1	21	-33
41	11	2	-21	33
41.5	11	2.5	-21	33
42	11	3	22	33
44	12	1	18	32
45	12	2	25	-32
47	12	4	24	36
48	13	1	25	36
49	13	2	26	-36
49.5	13	2.5	-26	35
50	13	3	27	36
50.5	13	3.5	-27	35
51	13	4	-27	35
51.5	13	4.5	-27	34
51.75	13	4.75	-27	35
52	14	1	-27	36
52.5	14	1.5	-27	35
53	14	2	26	35
53.5	14	2.5	-26	34
53.75	14	2.75	-26	35
54	14	3	25	36
54.5	14	3.5	-25	35
55	14	4	-25	35
55.5	14	4.5	-25	34
56	15	1	24	35
56.5	15	1.5	-24	34
57	15	2	-24	34
57.5	15	2.5	-24	33
57.75	15	2.75	-24	34
58	15	3	-24	35
59	15	4	-24	38
60	16	1	24	-38
61	16	2	-24	37
62	16	3	23	-37
63	16	4	-23	36
64	17	1	21	-36
65	17	2	-21	33
65.5	17	2.5	-21	33
66	17	3	22	33
68	18	1	18	32
72	19	1	0	0
72	19	1	27	0
74	19	3	-27	36
76	20	1	26	38
78	20	3	25	-38
79	20	4	-25	34
80	21	1	24	35
82	21	3	24	-35
83	21	4	24	34
84	22	1	-24	34
85	22	2	24	-34
85.5	22	2.5	-24	33
86	22	3	25	33
88	23	1	22	-33
89	23	2	-22	33
90	23	3	23	33
91.5	23	4.5	-23	32
92	24	1	22	33
95	24	4	22	38
96	25	1	22	-38
97	25	2	21	37
97.75	25	2.75	-21	36
98	25	3	20	36
101	26	2	21	37
