**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
1	1	1.5	0	29	0	0	0
2	1	2	0	33	0	0	0
4	1	3	0	33	0	0	0
5	1	3.5	26	-33	0	0	0
6	1	4	29	0	0	0	0
7	1	4.5	-29	31	0	0	0
8	2	1	29	31	0	0	0
9	2	1.5	-29	31	0	0	0
10	2	2	0	31	0	0	0
11	2	2.5	26	31	28	0	0
12	2	3	26	-31	28	0	0
12.5	2	3.25	-26	31	-28	0	0
13	2	3.5	26	31	28	0	0
14	2	4	26	30	28	0	0
15	2	4.5	26	-30	28	0	0
16	3	1	-26	28	-28	0	0
16.5	3	1.25	26	-28	27	0	0
17	3	1.5	26	-28	26	33	0
18	3	2	25	0	27	36	0
19	3	2.5	-25	29	-27	-36	0
20	3	3	25	29	27	36	0
21	3	3.5	25	29	27	-36	0
21.5	3	3.75	25	-29	27	-36	0
22	3	4	25	29	27	0	0
23	3	4.5	25	29	27	0	36
23.5	3	4.75	25	-29	27	0	-36
24	4	1	24	-29	26	0	40
24.5	4	1.25	-24	29	-26	0	-40
25	4	1.5	-24	29	-26	33	-40
26	4	2	-24	28	-26	33	40
27	4	2.5	24	-28	26	33	-40
28	4	3	24	28	26	33	0
29	4	3.5	-24	-28	-26	33	0
30.5	4	4.25	-24	-28	-26	33	0
31	4	4.5	24	28	26	33	0
31.5	4	4.75	-24	28	-26	-33	0
32	5	1	23	28	30	32	0
33	5	1.5	-23	28	-30	-32	37
33.5	5	1.75	-23	28	-30	-32	-37
34	5	2	-23	27	-30	32	37
35	5	2.5	-23	-27	-30	-32	37
36	5	3	-23	27	30	-32	37
37	5	3.5	-23	27	-30	32	37
37.5	5	3.75	-23	-27	-30	32	-37
38	5	4	-23	-27	-30	32	-37
38.5	5	4.25	-23	-27	-30	-32	36
39	5	4.5	-23	30	-30	32	35
39.5	5	4.75	-23	-30	-30	32	-35
40	6	1	22	26	0	31	36
41	6	1.5	-22	-26	33	-31	-36
42	6	2	-22	26	33	-31	36
43	6	2.5	-22	-26	33	31	36
43.5	6	2.75	-22	-26	-33	-31	36
44	6	3	0	0	33	31	36
45	6	3.5	0	0	33	-31	36
45.5	6	3.75	0	0	-33	-31	36
46	6	4	0	0	-33	-31	35
46.5	6	4.25	0	0	33	-31	-35
47	6	4.5	0	0	33	31	-35
48	7	1	0	0	32	30	35
49	7	1.5	23	30	-32	-30	35
50	7	2	23	30	32	30	-35
51	7	2.5	23	30	-32	-30	35
52	7	3	23	30	-32	0	34
53	7	3.5	23	30	32	0	-34
53.5	7	3.75	-23	-30	32	0	-34
54	7	4	-23	-30	32	0	30
54.5	7	4.25	23	29	-32	0	-30
55	7	4.5	23	28	32	0	-30
55.5	7	4.75	-23	-28	32	0	-30
56	8	1	22	29	31	0	0
57	8	1.5	-22	-29	-31	0	33
58	8	2	22	29	31	0	33
59	8	2.5	22	-29	31	0	33
59.5	8	2.75	22	-29	-31	0	-33
60	8	3	22	-29	-31	0	33
61	8	3.5	22	26	31	0	33
61.5	8	3.75	22	26	-31	0	-33
62	8	4	21	26	30	0	-33
62.5	8	4.25	-21	-26	-30	0	33
63	8	4.5	-21	26	-30	0	33
63.5	8	4.75	-21	26	-30	0	-33
64	9	1	-21	28	30	0	32
65	9	1.5	21	-28	30	0	-32
65.5	9	1.75	-21	-28	30	0	-32
66	9	2	21	28	30	0	32
67	9	2.5	-21	28	30	0	32
67.5	9	2.75	-21	-28	30	0	32
68	9	3	-21	-28	30	0	32
69	9	3.5	-21	28	-30	0	32
69.5	9	3.75	-21	-28	30	0	32
70	9	4	21	25	30	0	32
71.5	9	4.75	-21	-25	-30	0	32
72	10	1	19	26	28	0	32
73	10	1.5	-19	-26	29	0	31
74	10	2	-19	0	-29	0	30
75	10	2.5	-19	33	28	0	-30
76	10	3	22	-33	29	0	29
76.5	10	3.25	-22	33	-29	0	-29
77	10	3.5	-22	33	-29	0	-29
78	10	4	-22	31	-29	0	0
79	10	4.5	-22	31	33	0	0
80	11	1	0	31	-33	0	0
80.5	11	1.25	0	-31	33	0	0
81	11	1.5	29	31	33	36	38
82	11	2	-29	31	29	-36	-38
82.5	11	2.25	29	-31	-29	36	38
83	11	2.5	29	29	29	36	38
84	11	3	25	32	29	34	36
85	11	3.5	25	-32	29	34	36
86	11	4	25	-32	29	34	36
87	11	4.5	29	31	29	33	36
88	12	1	28	0	30	35	39
89	12	1.5	27	0	32	36	-39
90	12	2	28	0	32	35	37
91	12	2.5	-28	28	33	-35	38
91.5	12	2.75	-28	28	-33	-35	-38
92	12	3	-28	28	32	-35	-38
93	12	3.5	-28	28	-32	-35	37
93.5	12	3.75	-28	28	-32	-35	-37
94	12	4	24	28	31	35	38
95	12	4.5	24	-28	-31	33	35
95.5	12	4.75	24	-28	-31	33	35
96	13	1	24	28	0	33	35
97	13	1.5	24	-28	0	33	35
97.5	13	1.75	24	-28	0	33	35
98	13	2	24	-28	0	33	35
99	13	2.5	-24	31	33	-33	-35
99.5	13	2.75	-24	31	33	-33	-35
100	13	3	24	31	33	33	35
101	13	3.5	-24	31	33	35	38
101.5	13	3.75	-24	31	33	35	38
102	13	4	0	31	33	35	38
103	13	4.5	0	-31	-33	35	38
103.5	13	4.75	0	-31	-33	35	38
104	14	1	0	33	33	35	38
105	14	1.5	0	-33	-33	-35	37
106	14	2	0	30	32	34	39
107	14	2.5	0	-30	-32	34	-39
108	14	3	0	-30	30	-34	-39
109	14	3.5	0	29	33	36	38
110	14	4	0	30	-33	34	37
111	14	4.5	0	-30	32	-34	-37
112	15	1	0	26	33	33	35
114	15	2	28	-26	30	33	-35
117	15	3.5	29	-26	31	33	0
118	15	4	28	-26	30	33	0
119	15	4.5	28	-26	30	33	0
120	16	1	28	0	-30	-33	0
121	16	1.5	29	0	29	31	0
122	16	2	26	0	28	30	0
124	16	3	29	0	29	31	0
126	16	4	28	0	30	32	0
127	16	4.5	26	0	31	33	0
128	17	1	25	0	32	34	0
130	17	2	25	0	32	34	0
132	17	3	23	0	32	34	0
134	17	4	23	0	32	34	0
135	17	4.5	26	0	33	35	0
136	18	1	22	0	31	33	0
137.5	18	1.75	22	0	31	33	0
138	18	2	22	0	31	33	0
139	18	2.5	23	0	30	32	0
140	18	3	24	0	29	31	0
141	18	3.5	-24	0	28	-31	0
141.5	18	3.75	-24	0	27	-31	0
142	18	4	-24	0	26	31	40
143	18	4.5	25	0	27	-31	-40
144	19	1	26	0	28	30	-40
145	19	1.5	-26	0	29	-30	39
145.5	19	1.75	-26	0	-29	-30	38
146	19	2	26	0	-29	-30	37
147	19	2.5	-26	0	28	-30	-37
148	19	3	0	33	29	31	36
150	19	4	0	-33	0	35	37
151	19	4.5	0	32	0	-35	-37
151.5	19	4.75	0	31	0	-35	-37
152	20	1	0	30	0	-35	-37
154	20	2	0	-30	0	34	36
155	20	2.5	0	-30	0	33	35
156	20	3	0	30	0	32	34
157	20	3.5	23	-30	30	-32	-34
158	20	4	24	0	28	33	33
159	20	4.5	24	0	28	-33	-33
160.5	21	1.25	24	0	28	0	-33
161	21	1.5	24	0	28	0	-33
162	21	2	24	0	28	38	40
163	21	2.5	24	0	28	-38	-40
164	21	3	24	0	28	-38	-40
164.5	21	3.25	24	0	28	-38	-40
165	21	3.5	24	0	28	-38	-40
166	21	4	25	0	27	37	39
167	21	4.5	25	0	29	36	38
168	22	1	26	0	26	35	37
169	22	1.5	-26	30	-26	-35	-37
170	22	2	22	31	26	36	36
171	22	2.5	-22	31	-26	-36	-36
172	22	3	27	-31	29	0	-36
172.5	22	3.25	-27	31	-29	0	-36
173	22	3.5	-27	31	-29	0	-36
174	22	4	-27	31	-29	0	0
175	22	4.5	-27	31	-29	0	0
176	23	1	-27	31	-29	0	0
176.5	23	1.25	-27	31	-29	0	0
177	23	1.5	-27	31	-29	0	0
178	23	2	26	31	28	0	0
179	23	2.5	25	32	27	0	34
180	23	3	24	33	26	0	35
181	23	3.5	-24	-33	-26	0	35
182	23	4	-24	33	-26	0	-35
182.5	23	4.25	-24	-33	-26	0	35
183	23	4.5	-24	-33	-26	0	35
184	24	1	24	31	26	0	35
185	24	1.5	-24	-31	-26	0	35
186	24	2	-24	-31	-26	33	35
186.5	24	2.25	-24	-31	-26	-33	35
187	24	2.5	-24	-31	-26	-33	35
188	24	3	26	-31	0	-33	35
189	24	3.5	-26	-31	0	-33	36
190	24	4	-26	30	35	32	37
191	24	4.5	-26	29	-35	31	-37
192	25	1	-26	28	-35	30	37
