**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	31
2	1	2	0	0	0	0	31
3	1	2.5	0	0	0	0	31
4	1	3	0	0	0	0	31
6	1	4	0	0	0	0	31
7	1	4.5	0	0	24	0	-31
8	2	1	0	0	27	0	31
9	2	1.5	0	24	28	0	-31
10	2	2	0	27	29	0	31
11	2	2.5	0	28	26	0	-31
12	2	3	0	29	27	0	31
13	2	3.5	0	26	28	0	-31
14	2	4	0	27	29	0	31
14.5	2	4.25	0	28	30	0	-31
15	2	4.5	0	29	31	0	-31
15.5	2	4.75	0	-29	29	0	-31
16	3	1	0	28	30	0	32
17.5	3	1.75	0	-28	29	0	31
18	3	2	0	-28	30	0	32
18.5	3	2.25	0	-28	29	0	31
19	3	2.5	0	-28	30	0	32
19.5	3	2.75	0	-28	31	0	33
20	3	3	0	-28	30	35	32
22	3	4	24	-28	31	35	33
23	3	4.5	-24	-28	-31	35	-33
24	4	1	24	0	28	35	33
25	4	1.5	24	0	-28	-35	-33
26	4	2	24	0	28	31	33
27	4	2.5	-24	0	28	-31	33
28	4	3	0	0	28	30	32
29	4	3.5	0	0	-28	31	31
30	4	4	0	0	28	32	30
31	4	4.5	0	21	-28	30	32
32	5	1	0	24	28	31	33
33	5	1.5	21	25	-28	30	32
34	5	2	24	26	28	0	31
35	5	2.5	25	23	-28	0	28
36	5	3	26	24	28	0	0
37	5	3.5	23	25	-28	0	0
38	5	4	24	26	28	0	0
38.5	5	4.25	25	27	-28	0	0
39	5	4.5	26	28	-28	0	0
39.5	5	4.75	-26	26	-28	0	0
40	6	1	25	27	29	0	0
41.5	6	1.75	-25	26	28	0	0
42	6	2	-25	27	29	0	0
42.5	6	2.25	-25	26	28	0	0
43	6	2.5	-25	27	29	0	0
43.5	6	2.75	-25	28	30	0	0
44	6	3	-25	27	29	0	0
46	6	4	-25	27	29	0	0
48	7	1	0	0	0	0	0
49	7	1.5	0	0	32	34	36
50.5	7	2.25	0	0	32	34	36
51	7	2.5	0	0	30	35	35
52	7	3	0	0	31	33	35
54	7	4	0	0	29	31	36
55	7	4.5	0	0	28	32	37
57	8	1.5	0	0	27	34	36
