**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	0	0	31
2	1	2	24	28	-31
4	2	1	24	-28	33
6	2	2	-24	31	-33
8	3	1	28	-31	32
10	3	2	-28	30	-32
11	3	2.5	-28	29	-32
12	4	1	28	30	32
13	4	1.5	-28	30	-32
14	4	2	26	31	33
15	4	2.5	25	32	34
16	5	1	24	33	35
17	5	1.5	31	33	-35
18	5	2	31	33	0
19	5	2.5	-31	-33	35
20	6	1	-31	-33	35
21	6	1.5	30	32	-35
21.5	6	1.75	29	31	-35
22	6	2	28	30	-35
23	6	2.5	-28	-30	34
23.5	6	2.75	-28	-30	33
24	7	1	-28	-30	32
25	7	1.5	27	29	33
25.5	7	1.75	26	28	-33
26	7	2	25	29	34
27	7	2.5	-25	30	35
28	8	1	-25	29	-35
29	8	1.5	-25	-29	34
30	8	2	28	30	35
32	9	1	0	0	0
33	9	1.5	28	32	35
34	9	2	29	31	33
35	9	2.5	27	31	34
36	10	1	28	30	32
38	10	2	24	33	35
40	11	1	27	34	36
44	12	1	24	33	35
46	12	2	24	33	35
47	12	2.5	25	32	34
48	13	1	22	-32	33
49	13	1.5	-22	31	-33
50	13	2	25	32	32
51	13	2.5	25	29	-32
52	14	1	28	30	0
53	14	1.5	27	29	32
54	14	2	28	30	32
55	14	2.5	-28	-30	33
56	15	1	25	29	34
57	15	1.5	-25	-29	34
58	15	2	29	31	33
59	15	2.5	-29	-31	29
60	16	1	-29	-31	34
62	16	2	28	30	33
64	17	1	27	29	32
65	17	1.5	-27	-29	31
66	17	2	-27	-29	31
67	17	2.5	26	28	-31
68	18	1	25	27	-31
69	18	1.5	-25	-27	30
69.5	18	1.75	-25	-27	29
70	18	2	-25	-27	30
72	19	1	24	28	31
74	19	2	24	28	-31
76	20	1	22	31	0
77	20	1.5	21	30	0
78	20	2	22	31	0
79	20	2.5	23	32	0
80	21	1	24	33	0
81	21	1.5	24	-33	31
82	21	2	27	0	29
83	21	2.5	26	0	28
84	22	1	27	0	29
85	22	1.5	28	35	30
86	22	2	29	33	31
87	22	2.5	-29	32	-31
88	23	1	-29	33	-31
89	23	1.5	29	34	31
90	23	2	30	35	32
91	23	2.5	31	35	33
92	24	1	28	-35	32
92.5	24	1.25	-28	34	-32
93	24	1.5	-28	33	31
94	24	2	-28	32	-31
95	24	2.5	-28	-32	30
96	25	1	24	33	31
98	25	2	-24	-33	35
100	26	1	-24	35	33
101	26	1.5	-24	-35	31
102	26	2	-24	33	33
103	26	2.5	-24	31	-33
103.5	26	2.75	-24	-31	34
104	27	1	0	33	35
104.5	27	1.25	0	-33	35
105	27	1.5	0	-33	35
105.5	27	1.75	0	34	34
106	27	2	31	35	33
107	27	2.5	-31	35	33
107.5	27	2.75	-31	-35	32
108	28	1	29	36	31
109	28	1.5	27	-36	31
109.5	28	1.75	-27	-36	29
110	28	2	29	-36	31
111	28	2.5	-29	36	-31
111.5	28	2.75	30	-36	32
112	29	1	31	35	33
