**absq	**bar	**beat	**b7	**b7
0	1	1	27	0
2	1	3	-27	38
4	2	1	26	-38
5	2	2	-26	35
5.5	2	2.5	-26	36
6	2	3	25	34
7.5	2	4.5	-25	33
8	3	1	24	35
8.5	3	1.5	-24	34
9	3	2	-24	34
9.5	3	2.5	-24	33
9.75	3	2.75	-24	32
10	3	3	24	33
10.5	3	3.5	-24	35
11	3	4	24	36
11.5	3	4.5	-24	37
12	4	1	-24	38
13	4	2	24	-38
14	4	3	25	-38
15	4	4	-25	37
15.75	4	4.75	-25	36
16	5	1	22	36
16.25	5	1.25	-22	35
16.5	5	1.5	-22	34
16.75	5	1.75	-22	33
17	5	2	-22	36
17.25	5	2.25	-22	35
17.5	5	2.5	-22	34
17.75	5	2.75	-22	33
18	5	3	23	35
18.25	5	3.25	-23	34
18.5	5	3.5	-23	33
18.75	5	3.75	-23	32
19	5	4	-23	35
19.25	5	4.25	-23	34
19.5	5	4.5	-23	33
19.75	5	4.75	-23	32
20	6	1	22	33
23	6	4	22	-33
24	7	1	22	0
25	7	2	21	0
26	7	3	20	0
27	7	4	-20	36
28	8	1	-20	36
29	8	2	19	-36
29.5	8	2.5	-19	35
30	8	3	18	37
31.5	8	4.5	-18	35
32	9	1	17	35
33	9	2	-17	36
33.5	9	2.5	-17	37
34	9	3	-17	38
36	10	1	24	-38
36.5	10	1.5	-24	35
37	10	2	-24	36
37.5	10	2.5	-24	37
38	10	3	25	34
38.5	10	3.5	-25	35
39	10	4	-25	36
39.5	10	4.5	-25	32
40	11	1	21	-32
40.5	11	1.5	-21	33
41	11	2	-21	34
41.5	11	2.5	-21	35
42	11	3	22	33
44	12	1	18	32
45	12	2	25	-32
47	12	4	24	0
48	13	1	25	0
49	13	2	26	0
50	13	3	27	0
51	13	4	-27	36
52	14	1	-27	37
53	14	2	26	-37
53.5	14	2.5	-26	35
54	14	3	25	35
55.5	14	4.5	-25	34
56	15	1	24	35
58.5	15	3.5	-24	33
59	15	4	-24	34
59.5	15	4.5	-24	35
60	16	1	-24	31
60.5	16	1.5	-24	32
61	16	2	-24	33
61.5	16	2.5	-24	34
62	16	3	23	32
62.5	16	3.5	-23	33
63	16	4	-23	34
63.5	16	4.5	-23	35
64	17	1	21	-35
64.5	17	1.5	-21	36
65	17	2	-21	37
65.5	17	2.5	-21	33
66	17	3	22	-33
68	18	1	18	32
72	19	1	0	0
72	19	1	27	0
74	19	3	-27	36
76	20	1	26	38
78	20	3	25	37
78.5	20	3.5	-25	36
79	20	4	-25	35
