**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	0	1	0	0	23	0	0
6	0	4	0	0	24	0	0
8	1	1	0	0	25	0	0
12	1	3	0	0	25	0	0
16	2	1	0	0	26	0	30
20	2	3	0	0	28	0	-30
22	2	4	0	0	-28	0	31
24	3	1	0	0	-28	0	32
26	3	2	0	0	27	0	-32
27	3	2.5	0	0	26	0	-32
28	3	3	0	0	27	0	32
30	3	4	0	0	27	0	-32
32	4	1	0	0	26	26	33
34	4	2	0	0	28	-26	-33
36	4	3	0	0	-28	-26	35
38	4	4	0	0	27	27	-35
40	5	1	0	0	26	28	-35
42	5	2	0	0	25	-28	34
44	5	3	0	0	24	29	33
48	6	1	0	23	25	30	32
52	6	3	0	-23	-25	32	0
54	6	4	0	24	24	-32	0
56	7	1	0	25	23	-32	32
58	7	2	0	-25	22	31	-32
60	7	3	0	25	21	30	-32
62	7	4	0	-25	-21	29	31
64	8	1	19	26	-21	28	30
68	8	3	-19	28	26	0	-30
70	8	4	20	-28	-26	0	-30
72	9	1	21	-28	25	28	30
74	9	2	-21	27	-25	-28	-30
76	9	3	21	26	23	-28	-30
78	9	4	-21	25	-23	27	-30
80	10	1	22	24	0	26	29
82	10	2	-22	-24	0	25	-29
84	10	3	0	0	22	24	31
88	11	1	24	26	-22	0	-31
90	11	2	-24	-26	23	0	32
92	11	3	-24	-26	24	22	33
94	11	4	23	25	25	-22	-33
96	12	1	22	24	26	-22	-33
98	12	2	21	23	-26	23	-33
100	12	3	20	22	29	24	0
102	12	4	-20	-22	-29	25	0
103	12	4.5	-20	23	-29	-25	0
104	13	1	19	24	28	26	0
106	13	2	-19	-24	-28	-26	35
108	13	3	19	23	0	30	-35
110	13	4	-19	-23	0	-30	34
112	14	1	-19	0	28	-30	33
116	14	3	21	23	-28	30	32
118	14	4	-21	-23	27	-30	-32
120	15	1	22	24	26	29	31
123	15	2.5	-22	-24	25	-29	-31
124	15	3	-22	22	24	-29	-31
126	15	4	-22	-22	26	-29	-31
128	16	1	19	23	-26	28	30
130	16	2	-19	-23	25	-28	-30
132	16	3	22	22	24	29	31
134	16	4	-22	26	-24	-29	-31
135	16	4.5	-22	-26	23	-29	-31
136	17	1	-22	-26	22	-29	-31
138	17	2	-22	24	-22	26	-31
140	17	3	21	25	23	28	30
142	17	4	-21	26	-23	-28	-30
144	18	1	22	-26	24	26	-30
145	18	1.5	-22	25	-24	-26	-30
146	18	2	-22	24	-24	-26	29
147	18	2.5	-22	23	25	-26	28
148	18	3	-22	24	26	-26	29
151	18	4.5	-22	-24	27	-26	-29
152	19	1	19	23	28	-26	30
160	20	1	0	0	0	0	0
160	20	1	0	0	26	30	33
164	20	3	0	0	29	31	33
168	21	1	0	26	-29	-31	-33
170	21	2	0	-26	28	30	33
172	21	3	22	29	29	31	33
174	21	4	-22	-29	26	-31	33
176	22	1	25	-29	27	0	32
178	22	2	-25	29	-27	0	-32
180	22	3	-25	29	26	0	33
182	22	4	24	-29	26	0	-33
183	22	4.5	-24	28	-26	0	-33
184	23	1	25	27	29	29	0
186	23	2	22	26	-29	-29	0
188	23	3	23	25	-29	32	0
190	23	4	-23	-25	28	-32	0
192	24	1	22	26	29	-32	33
194	24	2	-22	-26	26	31	-33
196	24	3	0	0	27	32	36
198	24	4	0	0	-27	29	-36
200	25	1	0	0	26	30	-36
202	25	2	0	26	-26	-30	35
204	25	3	22	29	-26	31	36
206	25	4	-22	-29	-26	-31	33
208	26	1	25	-29	0	0	34
210	26	2	-25	29	0	29	-34
212	26	3	-25	29	0	-29	33
213	26	3.5	-25	-29	0	30	-33
214	26	4	24	-29	0	31	-33
215	26	4.5	-24	28	0	-31	-33
216	27	1	25	27	0	30	0
218	27	2	22	26	0	29	0
220	27	3	23	25	0	-29	30
222	27	4	-23	-25	0	28	-30
224	28	1	22	26	0	29	31
226	28	2	-22	-26	26	-29	-31
228	28	3	19	-26	28	0	30
230	28	4	-19	-26	-28	0	28
232	29	1	0	25	27	0	29
234	29	2	23	-25	25	0	30
236	29	3	24	0	26	0	28
238	29	4	-24	0	28	0	-28
239	29	4.5	-24	0	-28	0	29
240	30	1	23	0	-28	30	30
241	30	1.5	-23	0	27	-30	31
241.5	30	1.75	-23	0	26	-30	-31
242	30	2	-23	27	25	-30	32
244	30	3	21	28	-25	-30	-32
245	30	3.5	-21	-28	-25	-30	31
246	30	4	-21	-28	25	-30	30
248	31	1	22	26	-25	31	29
250	31	2	-22	-26	24	-31	-29
252	31	3	23	25	25	30	27
254	31	4	-23	-25	23	-30	-27
255	31	4.5	-23	26	24	-30	-27
256	32	1	-23	27	25	0	-27
257	32	1.5	-23	-27	26	0	-27
258	32	2	23	25	27	30	-27
260	32	3	22	26	-27	31	0
261	32	3.5	-22	-26	26	-31	0
262	32	4	-22	-26	26	-31	0
263	32	4.5	21	-26	-26	-31	0
264	33	1	20	22	-26	29	34
266	33	2	-20	-22	25	-29	-34
268	33	3	19	23	26	28	35
270	33	4	-19	23	-26	-28	-35
272	34	1	0	24	-26	-28	33
274	34	2	0	-24	-26	29	-33
276	34	3	0	23	0	30	32
278	34	4	0	-23	27	-30	-32
280	35	1	0	21	28	30	-32
282	35	2	0	-21	-28	-30	33
284	35	3	0	22	27	29	34
286	35	4	0	23	25	32	-34
288	36	1	0	-23	-25	-32	35
290	36	2	0	24	26	31	-35
292	36	3	23	25	27	-31	34
293	36	3.5	-23	-25	-27	30	-34
294	36	4	-23	21	25	30	35
296	37	1	24	24	26	-30	-35
297	37	1.5	-24	25	-26	-30	34
298	37	2	-24	26	-26	29	33
299	37	2.5	-24	24	-26	-29	-33
300	37	3	23	25	27	30	32
302	37	4	21	-25	30	32	35
304	38	1	-21	23	-30	-32	-35
306	38	2	22	24	29	31	34
307	38	2.5	-22	-24	28	-31	33
308	38	3	23	25	27	30	32
310	38	4	21	23	30	32	35
312	39	1	22	24	29	-32	34
314	39	2	-22	-24	-29	31	33
