**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	0	1	22	0	0	0	0
4	0	3	-22	0	0	26	0
8	1	1	24	0	0	-26	0
12	1	3	23	0	0	28	0
14	1	4	21	0	0	-28	0
16	2	1	22	0	0	27	0
18	2	2	23	0	0	25	0
20	2	3	24	0	0	26	0
23	2	4.5	-24	0	0	27	0
24	3	1	0	0	26	28	0
26	3	2	24	0	-26	-28	0
30	3	4	23	0	-26	-28	0
31	3	4.5	22	0	-26	-28	0
32	4	1	21	0	28	0	0
34	4	2	19	0	-28	21	0
36	4	3	20	0	27	22	0
38	4	4	21	0	25	23	0
40	5	1	17	0	26	24	0
43	5	2.5	-17	0	27	23	0
43.5	5	2.75	-17	0	-27	22	0
44	5	3	-17	26	28	21	0
46	5	4	-17	-26	-28	24	0
48	6	1	17	-26	-28	-24	0
50	6	2	-17	-26	24	23	0
51	6	2.5	-17	-26	-24	22	0
52	6	3	0	28	25	21	0
54	6	4	0	-28	26	-21	0
56	7	1	0	27	27	25	29
58	7	2	0	25	-27	-25	-29
59	7	2.5	0	-25	-27	24	-29
60	7	3	0	26	0	22	-29
62	7	4	0	-26	24	-22	-29
63	7	4.5	0	27	-24	-22	-29
64	8	1	24	28	26	0	31
68	8	3	21	-28	25	0	30
70	8	4	24	-28	26	0	28
72	9	1	-24	0	-26	0	29
73	9	1.5	-24	0	27	0	-29
74	9	2	23	0	28	0	30
76	9	3	22	0	-28	0	31
78	9	4	-22	0	27	24	-31
80	10	1	21	0	28	26	0
82	10	2	-21	0	-28	25	0
84	10	3	17	0	-28	26	31
86	10	4	-17	24	-28	-26	-31
87	10	4.5	-17	-24	-28	27	-31
88	11	1	0	24	0	28	33
90	11	2	0	24	0	-28	-33
92	11	3	0	23	0	0	32
94	11	4	0	24	0	28	33
96	12	1	0	-24	0	28	-33
97	12	1.5	0	25	0	-28	34
98	12	2	0	26	0	-28	35
100	12	3	0	25	0	29	-35
102	12	4	0	-25	25	-29	34
104	13	1	0	21	25	28	35
108	13	3	21	0	26	-28	-35
110	13	4	-21	28	-26	-28	-35
112	14	1	21	-28	25	0	0
113	14	1.5	-21	27	-25	0	0
114	14	2	-21	26	28	0	0
115	14	2.5	-21	25	-28	0	0
116	14	3	22	24	-28	0	0
118	14	4	-22	-24	27	0	0
120	15	1	21	25	28	28	0
124	15	3	0	26	24	28	31
127	15	4.5	0	25	23	-28	-31
128	16	1	0	26	22	29	31
130	16	2	0	27	20	-29	-31
132	16	3	21	25	23	28	32
135	16	4.5	-21	26	-23	-28	-32
136	17	1	22	27	22	0	31
138	17	2	-22	26	24	0	-31
140	17	3	20	27	22	0	0
142	17	4	22	26	24	0	31
144	18	1	21	-26	23	0	32
145	18	1.5	-21	25	-23	0	-32
146	18	2	20	25	22	0	-32
148	18	3	19	-25	-22	28	33
150	18	4	-19	24	21	-28	-33
152	19	1	18	25	22	27	34
154	19	2	-18	-25	-22	25	-34
156	19	3	-18	-25	-22	29	-34
158	19	4	-18	-25	-22	-29	33
159	19	4.5	-18	-25	-22	-29	32
160	20	1	0	24	22	-29	33
162	20	2	0	-24	-22	-29	31
163	20	2.5	0	-24	-22	-29	32
164	20	3	0	24	24	28	33
165	20	3.5	0	-24	-24	-28	34
166	20	4	0	26	-24	-28	35
168	21	1	0	-26	-24	28	-35
