**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	0	1	0	0	0	0	26
8	1	1	0	0	0	0	26
12	1	3	0	0	0	26	28
18	2	2	0	0	0	-26	26
20	2	3	0	0	0	26	28
23	2	4.5	0	0	0	-26	29
24	3	1	19	0	0	28	30
26	3	2	-19	0	0	-28	26
28	3	3	-19	23	0	-28	26
30	3	4	-19	-23	0	26	28
32	4	1	19	-23	30	28	-28
33	4	1.5	-19	-23	-30	-28	27
34	4	2	-19	-23	-30	-28	26
35	4	2.5	-19	-23	-30	29	-26
36	4	3	21	23	-30	30	-26
38	4	4	-21	-23	-30	-30	25
40	5	1	-21	26	-30	23	28
42	5	2	19	-26	-30	-23	-28
44	5	3	21	-26	-30	-23	-28
46	5	4	-21	23	-30	-23	28
47	5	4.5	22	-23	-30	-23	-28
48	6	1	23	25	30	0	27
51	6	2.5	-23	26	-30	0	-27
52	6	3	-23	27	-30	0	25
54	6	4	-23	28	-30	0	-25
56	7	1	22	29	31	26	0
60	7	3	-22	-29	31	-26	26
62	7	4	22	-29	-31	27	-26
64	8	1	19	0	30	28	-26
66	8	2	-19	0	-30	-28	27
68	8	3	-19	0	-30	26	28
72	9	1	-19	0	-30	28	26
76	9	3	0	0	-30	-28	28
78	9	4	0	0	-30	27	-28
80	10	1	19	0	-30	26	-28
82	10	2	-19	0	-30	25	27
83	10	2.5	-19	0	-30	24	-27
84	10	3	-19	0	-30	23	26
86	10	4	20	0	-30	-23	-26
88	11	1	21	0	-30	-23	25
92	11	3	19	23	-30	0	0
96	12	1	21	-23	0	0	0
98	12	2	-21	24	0	0	0
100	12	3	-21	25	0	23	0
102	12	4	20	-25	0	-23	0
104	13	1	19	21	0	-23	0
106	13	2	-19	28	0	24	0
108	13	3	18	27	0	25	0
109	13	3.5	-18	26	0	-25	0
110	13	4	-18	27	0	-25	0
111	13	4.5	-18	28	0	-25	0
112	14	1	-18	29	0	22	27
115	14	2.5	-18	28	0	-22	-27
116	14	3	0	29	0	25	-27
118	14	4	0	30	0	-25	28
120	15	1	0	27	0	-25	29
122	15	2	0	29	0	24	-29
124	15	3	0	-29	32	23	25
126	15	4	0	28	-32	-23	-25
128	16	1	18	-28	32	22	29
130	16	2	-18	27	-32	-22	-29
132	16	3	21	25	30	0	28
134	16	4	-21	26	-30	0	-28
135	16	4.5	-21	-26	-30	0	27
136	17	1	22	-26	31	0	26
137	17	1.5	-22	25	-31	0	-26
138	17	2	-22	24	-31	0	-26
139	17	2.5	-22	23	-31	0	25
140	17	3	-22	22	-31	0	26
142	17	4	22	29	-31	22	-26
143	17	4.5	-22	28	-31	-22	-26
144	18	1	23	27	30	25	25
145	18	1.5	-23	26	-30	-25	-25
146	18	2	-23	25	-30	-25	25
147	18	2.5	22	24	-30	-25	-25
148	18	3	21	23	-30	26	28
150	18	4	19	-23	-30	-26	-28
152	19	1	22	0	0	-26	29
154	19	2	-22	22	0	-26	-29
156	19	3	18	-22	0	27	-29
158	19	4	18	25	0	-27	29
160	20	1	21	-25	0	28	30
162	20	2	-21	26	0	-28	-30
164	20	3	22	-26	31	0	29
166	20	4	-22	26	-31	0	-29
168	21	1	-22	27	-31	0	-29
170	21	2	23	-27	-31	0	-29
172	21	3	24	26	31	0	28
174	21	4	-24	-26	-31	24	-28
175	21	4.5	23	25	-31	-24	-28
176	22	1	22	26	-31	24	29
178	22	2	20	27	-31	-24	-29
179	22	2.5	-20	-27	-31	25	-29
180	22	3	24	26	31	26	28
181	22	3.5	-24	-26	-31	27	-28
182	22	4	-24	-26	-31	28	-28
183	22	4.5	23	25	-31	-28	-28
184	23	1	22	24	-31	-28	29
186	23	2	-22	-24	-31	27	-29
188	23	3	21	25	30	28	0
190	23	4	-21	-25	-30	27	0
191	23	4.5	-21	-25	-30	26	0
192	24	1	0	-25	29	27	0
196	24	3	22	0	-29	0	0
198	24	4	-22	24	-29	26	29
200	25	1	22	24	0	26	29
204	25	3	18	25	0	27	29
208	26	1	21	23	0	28	30
211	26	2.5	-21	24	0	-28	-30
212	26	3	21	25	0	28	30
214	26	4	-21	26	0	-28	-30
216	27	1	22	-26	0	26	29
217	27	1.5	-22	25	0	-26	-29
218	27	2	-22	24	0	-26	-29
219	27	2.5	-22	23	0	-26	-29
220	27	3	-22	24	0	-26	-29
224	28	1	19	23	0	26	28
228	28	3	0	0	31	0	0
230	28	4	22	24	-31	26	29
232	29	1	22	24	-31	26	29
236	29	3	18	25	29	27	29
240	30	1	21	23	30	25	28
243	30	2.5	-21	24	-30	-25	-28
244	30	3	21	25	-30	23	28
246	30	4	-21	26	-30	-23	28
248	31	1	22	-26	29	24	26
249	31	1.5	-22	25	-29	-24	-26
250	31	2	-22	24	-29	-24	-26
251	31	2.5	-22	23	-29	25	-26
252	31	3	-22	24	-29	26	0
256	32	1	19	23	28	-26	0
260	32	3	0	-23	-28	0	25
262	32	4	21	-23	-28	0	26
264	33	1	22	0	0	0	27
266	33	2	23	25	0	0	28
268	33	3	24	26	0	0	-28
270	33	4	22	27	0	0	24
272	34	1	23	28	0	0	25
274	34	2	24	-28	0	28	26
275	34	2.5	-24	27	0	-28	-26
276	34	3	-24	26	0	29	-26
277	34	3.5	23	-26	0	-29	27
278	34	4	21	25	0	30	28
280	35	1	22	24	0	31	-28
282	35	2	-22	-24	0	29	27
284	35	3	21	25	32	30	28
286	35	4	-21	-25	-32	28	30
288	36	1	0	0	32	-28	-30
289	36	1.5	0	0	-32	27	-30
290	36	2	0	0	-32	25	29
292	36	3	0	0	30	26	28
294	36	4	0	28	-30	-26	-28
295	36	4.5	0	-28	-30	-26	27
295.5	36	4.75	0	-28	-30	-26	26
296	37	1	0	29	32	25	27
298	37	2	0	-29	-32	-25	29
300	37	3	0	27	-32	0	29
302	37	4	0	-27	-32	29	-29
304	38	1	0	25	0	29	27
306	38	2	25	-25	0	-29	-27
308	38	3	25	0	0	27	25
310	38	4	-25	0	0	-27	32
312	39	1	23	0	32	25	32
316	39	3	21	0	32	28	30
320	40	1	24	0	33	-28	28
322	40	2	-24	24	-33	27	28
324	40	3	-24	-24	-33	26	29
326	40	4	23	25	32	28	30
328	41	1	22	26	31	-28	31
329	41	1.5	-22	-26	-31	27	-31
329.5	41	1.75	-22	-26	-31	26	-31
330	41	2	-22	24	-31	27	29
332	41	3	21	25	30	28	30
334	41	4	-21	26	-30	-28	-30
336	42	1	22	-26	31	26	29
337	42	1.5	-22	25	-31	-26	-29
338	42	2	-22	24	-31	-26	-29
339	42	2.5	-22	23	-31	-26	-29
340	42	3	22	24	-31	-26	0
342	42	4	-22	-24	-31	-26	29
344	43	1	18	25	29	27	29
346	43	2	-18	-25	-29	25	-29
348	43	3	-18	0	-29	25	27
350	43	4	-18	25	-29	-25	-27
352	44	1	0	25	30	23	25
354	44	2	25	-25	-30	-23	-25
356	44	3	25	23	-30	21	0
358	44	4	-25	-23	-30	28	32
360	45	1	23	21	-30	-28	32
362	45	2	-23	-21	-30	27	-32
364	45	3	21	28	-30	26	30
366	45	4	-21	-28	-30	25	-30
368	46	1	24	-28	26	24	28
370	46	2	-24	27	-26	24	28
