**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	0	0	32	0
4	0	3	0	0	34	32
7	0	4.5	0	0	33	-32
8	1	1	0	0	32	34
10	1	2	0	0	31	33
12	1	3	25	0	32	34
15	1	4.5	-25	0	-32	35
16	2	1	27	25	29	36
18	2	2	-27	-25	-29	36
19	2	2.5	26	-25	-29	-36
20	2	3	25	27	-29	0
22	2	4	24	26	-29	0
24	3	1	25	27	0	0
26	3	2	-25	-27	29	36
27	3	2.5	-25	28	-29	-36
28	3	3	22	29	31	36
30	3	4	-22	29	31	36
32	4	1	0	0	30	35
34	4	2	0	0	31	33
36	4	3	0	0	32	34
38	4	4	25	29	-32	-34
40	5	1	29	29	31	33
42	5	2	29	31	-31	-33
44	5	3	28	30	0	0
46	5	4	26	31	0	0
48	6	1	27	29	0	0
52	6	3	26	28	0	0
54	6	4	22	29	31	33
56	7	1	25	29	32	34
58	7	2	25	29	32	34
60	7	3	24	31	33	35
62	7	4	24	31	33	35
64	8	1	27	31	34	36
68	8	3	-27	31	-34	-36
70	8	4	24	-31	33	35
71	8	4.5	-24	30	-33	-35
72	9	1	25	29	32	34
74	9	2	26	28	30	33
76	9	3	24	-28	31	-33
77	9	3.5	-24	-28	30	-33
78	9	4	25	27	29	32
79	9	4.5	-25	-27	28	-32
80	10	1	22	26	29	-32
82	10	2	-22	-26	-29	31
84	10	3	25	25	29	32
86	10	4	-25	-25	32	-32
88	11	1	-25	-25	34	0
90	11	2	-25	-25	-34	32
91	11	2.5	-25	-25	33	-32
92	11	3	0	0	32	34
94	11	4	0	0	31	33
96	12	1	25	0	32	34
99	12	2.5	-25	0	-32	35
100	12	3	27	25	29	36
102	12	4	-27	-25	-29	36
103	12	4.5	26	-25	-29	-36
104	13	1	25	27	-29	0
106	13	2	24	26	-29	0
108	13	3	25	27	0	0
110	13	4	-25	-27	29	29
111	13	4.5	-25	28	-29	-29
112	14	1	22	29	31	36
114	14	2	-22	29	31	36
116	14	3	0	0	30	35
118	14	4	0	0	31	33
120	15	1	0	0	32	34
122	15	2	25	29	-32	-34
124	15	3	29	29	31	33
126	15	4	29	31	-31	-33
128	16	1	28	30	0	0
130	16	2	26	31	0	0
132	16	3	27	29	0	0
136	17	1	26	28	0	0
138	17	2	22	29	31	33
140	17	3	25	29	32	34
142	17	4	25	29	32	34
144	18	1	24	31	33	35
146	18	2	24	31	33	35
148	18	3	27	31	34	36
152	19	1	-27	31	-34	-36
154	19	2	24	-31	33	35
155	19	2.5	-24	30	-33	-35
156	19	3	25	29	32	34
158	19	4	26	28	30	33
160	20	1	24	-28	31	-33
161	20	1.5	-24	-28	30	-33
162	20	2	25	27	29	32
163	20	2.5	-25	-27	28	-32
164	20	3	22	26	29	-32
166	20	4	-22	-26	-29	31
168	21	1	25	25	29	32
172	21	3	0	0	0	0
174	21	4	22	29	31	33
176	22	1	24	28	31	33
178	22	2	24	28	31	33
180	22	3	24	29	31	33
182	22	4	24	28	31	33
184	23	1	25	27	29	32
188	23	3	22	26	29	31
192	24	1	0	0	0	0
194	24	2	22	29	31	33
196	24	3	22	29	31	33
198	24	4	22	29	31	33
200	25	1	25	29	32	34
202	25	2	25	29	32	34
204	25	3	24	31	33	35
208	26	1	24	28	31	33
212	26	3	25	27	30	32
214	26	4	22	26	29	31
216	27	1	23	-26	-29	32
218	27	2	-23	25	28	-32
220	27	3	22	26	29	31
224	28	1	24	0	33	35
226	28	2	-24	26	-33	-35
228	28	3	25	27	32	34
230	28	4	26	28	30	33
232	29	1	22	29	31	33
234	29	2	23	27	30	32
235	29	2.5	-23	-27	29	-32
236	29	3	24	26	28	33
238	29	4	-24	-26	-28	33
240	30	1	22	26	31	0
242	30	2	-22	-26	-31	33
244	30	3	0	0	0	35
248	31	1	0	0	0	33
250	31	2	26	28	31	-33
252	31	3	25	27	30	0
254	31	4	24	26	29	0
256	32	1	23	25	-29	0
258	32	2	-23	-25	28	0
260	32	3	22	26	29	0
264	33	1	0	0	0	0
266	33	2	22	31	33	36
268	33	3	26	30	33	35
270	33	4	27	29	31	36
272	34	1	25	30	32	34
274	34	2	26	30	30	35
276	34	3	22	29	31	36
277	34	3.5	-22	-29	-31	35
278	34	4	25	-29	32	34
279	34	4.5	24	-29	-32	33
280	35	1	23	30	-32	32
281	35	1.5	22	-30	31	-32
282	35	2	21	-30	30	35
283	35	2.5	-21	-30	29	34
284	35	3	24	31	28	33
285	35	3.5	23	-31	-28	32
286	35	4	22	-31	31	31
287	35	4.5	21	30	-31	-31
288	36	1	20	29	-31	34
289	36	1.5	-20	28	30	33
290	36	2	-20	27	29	32
291	36	2.5	-20	26	-29	31
292	36	3	21	25	28	30
293	36	3.5	-21	-25	-28	31
294	36	4	23	-25	-28	32
296	37	1	22	26	29	-32
298	37	2	-22	-26	-29	31
300	37	3	25	25	29	32
301	37	3.5	-25	26	-29	-32
302	37	4	25	27	-29	32
303	37	4.5	-25	28	-29	-32
304	38	1	0	29	0	0
305	38	1.5	0	30	0	0
306	38	2	22	31	33	36
308	38	3	26	30	33	35
310	38	4	27	29	31	36
312	39	1	25	30	32	34
314	39	2	26	30	30	35
316	39	3	22	29	31	36
317	39	3.5	-22	-29	-31	35
318	39	4	25	-29	32	34
319	39	4.5	24	-29	-32	33
320	40	1	23	30	-32	32
321	40	1.5	22	-30	31	-32
322	40	2	21	-30	30	35
323	40	2.5	-21	-30	29	34
324	40	3	24	31	28	33
325	40	3.5	23	-31	-28	32
326	40	4	22	-31	31	31
327	40	4.5	21	30	-31	-31
328	41	1	20	29	-31	34
329	41	1.5	-20	28	30	33
330	41	2	-20	27	29	32
331	41	2.5	-20	26	-29	31
332	41	3	21	25	28	30
333	41	3.5	-21	-25	-28	31
334	41	4	23	-25	-28	32
336	42	1	22	26	29	-32
338	42	2	-22	-26	-29	31
340	42	3	0	25	29	32
342	42	4	25	-25	-29	-32
343	42	4.5	-25	26	28	-32
344	43	1	-25	27	29	-32
346	43	2	21	28	30	-32
350	43	4	25	27	29	-32
351	43	4.5	-25	26	28	-32
352	44	1	-25	27	29	-32
354	44	2	21	28	30	-32
356	44	3	25	-28	-30	-32
358	44	4	-25	27	29	-32
360	45	1	21	28	30	-32
364	45	3	25	27	29	-32
*-	*-	*-	*-	*-	*-	*-
