**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	28	0	0
4	1	3	0	28	0	28	0	0
8	2	1	28	28	28	26	0	0
12	2	3	28	26	-28	24	0	35
16	3	1	26	24	-28	28	0	35
20	3	3	24	-24	-28	31	0	33
22	3	4	-24	31	-28	-31	0	-33
24	4	1	27	-31	29	-31	0	31
25	4	1.5	-27	30	-29	-31	0	-31
26	4	2	-27	29	-29	-31	0	-31
27	4	2.5	26	28	-29	-31	0	-31
28	4	3	25	27	-29	32	0	34
32	5	1	24	28	31	28	35	33
35	5	2.5	-24	-28	-31	-28	-35	31
36	5	3	-24	0	-31	-28	35	31
38	5	4	-24	28	-31	-28	-35	-31
40	6	1	-24	29	-31	0	33	0
42	6	2	-24	28	-31	0	-33	0
44	6	3	-24	26	-31	28	31	0
46	6	4	-24	28	-31	-28	-31	0
48	7	1	21	-28	30	-28	32	0
50	7	2	-21	27	-30	-28	-32	0
51	7	2.5	-21	26	-30	-28	-32	0
52	7	3	-21	25	-30	28	-32	0
56	8	1	24	24	31	26	33	31
58	8	2	-24	31	-31	-26	-33	-31
60	8	3	-24	-31	-31	-26	31	33
61	8	3.5	-24	30	-31	-26	-31	-33
62	8	4	-24	29	-31	-26	-31	-33
63	8	4.5	-24	-29	-31	-26	-31	34
64	9	1	-24	28	-31	26	33	35
66	9	2	-24	29	-31	-26	-33	31
67	9	2.5	-24	-29	-31	-26	34	-31
68	9	3	-24	26	-31	24	35	33
70	9	4	-24	-26	-31	31	31	-33
71	9	4.5	-24	-26	-31	-31	-31	34
72	10	1	0	0	-31	-31	33	35
73	10	1.5	0	0	-31	30	-33	-35
74	10	2	0	0	-31	29	-33	36
75	10	2.5	0	0	-31	-29	34	-36
76	10	3	24	31	-31	28	35	33
78	10	4	-24	-31	-31	27	36	-33
79	10	4.5	-24	-31	-31	-27	-36	34
80	11	1	-24	-31	-31	26	-36	35
82	11	2	23	-31	-31	25	35	-35
84	11	3	22	-31	-31	24	-35	36
86	11	4	-22	-31	-31	-24	34	-36
88	12	1	21	30	32	0	35	37
90	12	2	-21	28	-32	28	-35	39
92	12	3	25	29	-32	-28	0	-39
93	12	3.5	-25	-29	-32	-28	0	38
94	12	4	-25	-29	-32	27	0	36
96	13	1	21	28	-32	28	0	37
97	13	1.5	-21	-28	-32	29	0	-37
98	13	2	-21	-28	-32	30	0	-37
99	13	2.5	-21	-28	-32	31	0	-37
100	13	3	-21	-28	-32	32	0	0
102	13	4	-21	-28	-32	-32	0	37
