**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	0	25	32	0
8	1	1	0	26	30	0
12	1	3	0	26	30	0
16	2	1	25	27	29	0
24	3	1	23	-27	30	32
28	3	3	23	-27	32	-32
32	4	1	22	0	-32	33
34	4	2	-22	0	31	-33
35	4	2.5	-22	0	30	-33
36	4	3	-22	29	31	33
40	5	1	25	-29	32	34
42	5	2	-25	29	-32	-34
44	5	3	-25	29	-32	34
46	5	4	25	-29	29	-34
48	6	1	25	25	-29	-34
50	6	2	-25	-25	29	34
52	6	3	21	-25	30	35
56	7	1	24	26	28	-35
58	7	2	-24	-26	-28	34
60	7	3	-24	-26	29	33
64	8	1	23	27	30	32
68	8	3	21	28	0	-32
70	8	4	-21	-28	30	-32
71	8	4.5	22	-28	-30	-32
72	9	1	23	-28	-30	0
73	9	1.5	24	-28	-30	0
74	9	2	25	27	29	32
76	9	3	-25	26	30	33
78	9	4	24	-26	29	-33
80	10	1	25	25	-29	34
81	10	1.5	-25	-25	28	-34
82	10	2	-25	-25	27	-34
83	10	2.5	-25	26	26	-34
84	10	3	-25	27	25	-34
86	10	4	24	28	-25	32
87	10	4.5	23	-28	-25	-32
88	11	1	22	-28	0	36
89	11	1.5	-22	26	0	-36
90	11	2	23	27	0	-36
92	11	3	21	25	0	35
94	11	4	-21	32	28	-35
95	11	4.5	-21	-32	-28	34
96	12	1	0	-32	29	33
98	12	2	0	31	-29	-33
100	12	3	0	32	30	32
102	12	4	0	28	-30	-32
106	13	2	0	27	28	35
107	13	2.5	0	26	-28	-35
108	13	3	0	30	32	-35
110	13	4	0	-30	-32	34
112	14	1	0	29	31	-34
113	14	1.5	0	-29	-31	33
114	14	2	22	-29	-31	33
115	14	2.5	-22	28	-31	-33
116	14	3	23	27	30	-33
118	14	4	-23	-27	-30	32
119	14	4.5	-23	-27	29	-32
120	15	1	24	26	28	33
123	15	2.5	-24	-26	-28	34
124	15	3	-24	-26	0	35
126	15	4	22	-26	31	36
128	16	1	26	0	-31	-36
130	16	2	-26	0	30	35
132	16	3	25	0	-30	34
133	16	3.5	-25	0	29	-34
134	16	4	24	0	29	33
136	17	1	23	0	-29	-33
137	17	1.5	-23	0	-29	32
138	17	2	-23	25	28	32
140	17	3	22	26	29	-32
142	17	4	-22	-26	-29	31
144	18	1	25	27	-29	32
148	18	3	25	-27	29	0
150	18	4	27	25	-29	0
151	18	4.5	-27	-25	30	0
152	19	1	-27	29	31	0
154	19	2	26	-29	32	0
155	19	2.5	25	-29	-32	0
156	19	3	26	28	31	0
158	19	4	-26	-28	30	0
159	19	4.5	25	27	-30	0
160	20	1	24	26	-30	0
161	20	1.5	-24	-26	29	0
162	20	2	23	-26	29	0
163	20	2.5	22	-26	-29	0
164	20	3	23	25	-29	0
166	20	4	-23	-25	28	0
167	20	4.5	24	-25	-28	0
168	21	1	25	0	27	0
170	21	2	26	28	26	0
171	21	2.5	-26	-28	27	0
172	21	3	-26	-28	28	0
173	21	3.5	-26	-28	29	0
174	21	4	25	27	30	0
176	22	1	24	-27	-30	0
177	22	1.5	-24	26	29	0
178	22	2	22	26	29	0
180	22	3	23	-26	-29	0
182	22	4	23	25	28	0
184	23	1	22	26	29	0
187	23	2.5	-22	27	-29	0
188	23	3	0	28	26	0
190	23	4	22	29	-26	0
192	24	1	-22	-29	31	0
193	24	1.5	23	-29	-31	0
194	24	2	24	28	-31	0
195	24	2.5	-24	-28	30	0
196	24	3	25	27	29	0
197	24	3.5	-25	-27	28	0
198	24	4	24	26	29	0
200	25	1	23	-26	28	0
201	25	1.5	-23	25	27	0
202	25	2	-23	25	26	0
203	25	2.5	-23	-25	25	0
204	25	3	22	-25	26	0
206	25	4	-22	24	-26	36
208	26	1	23	25	0	-36
210	26	2	-23	-25	30	35
211	26	2.5	24	26	-30	-35
212	26	3	25	27	29	34
213	26	3.5	-25	28	-29	-34
214	26	4	22	29	31	33
216	27	1	24	28	-31	-33
217	27	1.5	-24	27	30	32
218	27	2	23	26	28	32
219	27	2.5	-23	25	-28	-32
220	27	3	22	26	29	-32
222	27	4	-22	-26	-29	31
224	28	1	0	25	-29	32
226	28	2	29	-25	27	-32
228	28	3	-29	-25	29	-32
230	28	4	27	-25	-29	-32
232	29	1	28	0	30	32
234	29	2	-28	32	-30	-32
235	29	2.5	27	-32	-30	-32
236	29	3	26	-32	28	33
238	29	4	-26	31	-28	-33
240	30	1	25	30	0	34
242	30	2	-25	29	29	-34
243	30	2.5	24	-29	-29	-34
244	30	3	23	-29	30	32
245	30	3.5	-23	28	-30	-32
246	30	4	22	28	30	-32
247	30	4.5	21	-28	-30	-32
248	31	1	22	-28	31	0
250	31	2	-22	27	-31	0
251	31	2.5	-22	-27	30	0
251.5	31	2.75	-22	-27	29	0
252	31	3	21	28	30	32
254	31	4	-21	30	32	-32
256	32	1	0	29	-32	33
258	32	2	0	-29	31	-33
260	32	3	25	-29	32	34
262	32	4	-25	-29	29	-34
263	32	4.5	26	-29	-29	-34
264	33	1	27	0	-29	32
266	33	2	28	0	30	-32
268	33	3	26	0	-30	0
270	33	4	24	0	31	33
272	34	1	25	0	29	34
274	34	2	-25	0	30	34
276	34	3	26	0	-30	35
277	34	3.5	-26	0	29	-35
278	34	4	-26	0	30	-35
279	34	4.5	-26	0	31	34
279.5	34	4.75	-26	0	-31	33
280	35	1	23	0	32	34
282	35	2	-23	0	31	35
283	35	2.5	-23	0	30	-35
284	35	3	0	0	29	-35
286	35	4	0	25	-29	34
288	36	1	21	-25	30	35
290	36	2	-21	26	-30	-35
292	36	3	22	-26	29	0
294	36	4	-22	27	-29	0
296	37	1	23	-27	25	0
298	37	2	-23	25	-25	0
300	37	3	21	-25	0	0
302	37	4	-21	26	0	0
304	38	1	0	27	0	0
306	38	2	25	27	0	0
308	38	3	23	28	0	0
310	38	4	24	-28	0	0
311	38	4.5	-24	27	0	0
311.5	38	4.75	-24	26	0	0
312	39	1	25	27	0	0
314	39	2	24	28	0	28
315	39	2.5	23	-28	0	-28
316	39	3	24	-28	0	29
318	39	4	25	27	0	29
320	40	1	21	28	0	30
322	40	2	-21	-28	32	-30
323	40	2.5	22	-28	-32	31
324	40	3	23	-28	30	32
326	40	4	24	26	28	33
328	41	1	22	-26	29	31
330	41	2	25	27	-29	32
332	41	3	23	-27	30	32
334	41	4	21	28	-30	31
335	41	4.5	-21	-28	-30	30
336	42	1	22	26	29	31
338	42	2	-22	27	-29	31
340	42	3	23	-27	25	30
341	42	3.5	-23	26	-25	31
342	42	4	-23	27	-25	32
343	42	4.5	-23	28	-25	30
344	43	1	22	29	0	31
346	43	2	-22	28	29	32
347	43	2.5	-22	27	-29	-32
348	43	3	-22	26	29	-32
350	43	4	-22	-26	29	31
352	44	1	25	27	30	32
354	44	2	-25	-27	29	-32
356	44	3	24	26	-29	0
358	44	4	-24	-26	28	33
359	44	4.5	-24	-26	27	-33
360	45	1	-24	-26	28	33
362	45	2	22	-26	29	33
364	45	3	25	0	-29	34
365	45	3.5	-25	0	30	-34
366	45	4	24	0	31	33
368	46	1	22	0	-31	-33
370	46	2	26	0	30	32
371	46	2.5	-26	0	29	31
372	46	3	26	0	28	30
373	46	3.5	-26	0	29	-30
374	46	4	26	0	30	33
375	46	4.5	-26	0	31	-33
376	47	1	27	0	29	32
378	47	2	26	0	30	35
380	47	3	-26	0	26	-35
382	47	4	25	0	-26	34
383	47	4.5	24	0	27	33
384	48	1	23	0	28	32
386	48	2	-23	30	27	-32
387	48	2.5	24	-30	-27	33
388	48	3	25	30	-27	34
389	48	3.5	-25	-30	25	-34
390	48	4	26	30	28	33
392	49	1	24	31	-28	-33
394	49	2	25	30	27	32
396	49	3	26	-30	28	-32
398	49	4	-26	29	-28	31
399	49	4.5	-26	28	-28	-31
400	50	1	25	27	0	32
402	50	2	-25	-27	29	-32
403	50	2.5	24	-27	-29	-32
404	50	3	23	0	28	0
406	50	4	22	29	31	0
408	51	1	24	28	-31	0
410	51	2	-24	31	30	0
411	51	2.5	25	-31	29	0
412	51	3	26	-31	28	0
413	51	3.5	27	-31	-28	0
414	51	4	28	30	-28	0
415	51	4.5	-28	29	29	0
416	52	1	-28	28	30	32
418	52	2	27	29	29	-32
420	52	3	28	30	-29	-32
421	52	3.5	-28	-30	28	-32
422	52	4	24	31	28	33
424	53	1	25	29	-28	34
426	53	2	-25	-29	27	32
427	53	2.5	-25	30	-27	-32
428	53	3	24	31	28	33
430	53	4	-24	-31	-28	35
432	54	1	-24	28	0	-35
433	54	1.5	-24	-28	0	34
434	54	2	23	-28	28	32
436	54	3	24	0	-28	33
438	54	4	-24	0	29	-33
440	55	1	21	0	30	32
442	55	2	-21	0	28	-32
443	55	2.5	-21	0	-28	33
444	55	3	0	0	29	34
446	55	4	0	29	31	33
449	56	1.5	0	-29	30	32
450	56	2	0	30	28	35
452	56	3	0	31	29	-35
454	56	4	0	29	-29	34
456	57	1	0	30	28	35
458	57	2	0	32	30	-35
460	57	3	25	-32	-30	0
461	57	3.5	-25	31	29	0
462	57	4	-25	29	29	0
464	58	1	-25	30	-29	0
466	58	2	26	-30	28	0
468	58	3	27	29	29	0
470	58	4	25	-29	-29	0
471	58	4.5	-25	30	-29	0
472	59	1	26	31	0	0
474	59	2	28	30	0	32
477	59	3.5	27	29	0	-32
478	59	4	25	32	0	34
480	60	1	26	-32	28	35
482	60	2	-26	31	-28	33
484	60	3	25	32	30	34
486	60	4	-25	-32	29	-34
488	61	1	24	0	-29	33
489	61	1.5	-24	0	28	-33
490	61	2	-24	28	31	-33
492	61	3	21	-28	-31	32
494	61	4	-21	30	30	-32
495	61	4.5	-21	-30	-30	33
496	62	1	22	29	31	34
498	62	2	-22	31	-31	33
499	62	2.5	23	-31	30	-33
500	62	3	24	-31	28	-33
501	62	3.5	-24	28	-28	32
502	62	4	21	30	32	35
504	63	1	25	29	-32	-35
506	63	2	-25	-29	32	34
507	63	2.5	-25	30	-32	-34
508	63	3	26	31	28	33
510	63	4	-26	30	-28	-33
511	63	4.5	27	-30	29	-33
512	64	1	28	-30	30	32
513	64	1.5	-28	29	-30	-32
514	64	2	27	32	29	-32
516	64	3	26	-32	30	35
518	64	4	-26	31	28	-35
520	65	1	25	32	29	-35
522	65	2	-25	-32	-29	34
523	65	2.5	-25	-32	-29	33
524	65	3	-25	0	29	34
526	65	4	-25	0	-29	32
527	65	4.5	-25	0	-29	33
528	66	1	0	25	-29	34
529	66	1.5	0	-25	-29	35
530	66	2	0	-25	29	36
532	66	3	0	-25	30	-36
534	66	4	0	26	-30	35
536	67	1	25	27	29	36
539	67	2.5	-25	28	30	-36
540	67	3	24	29	31	0
542	67	4	23	25	32	0
544	68	1	-23	27	-32	0
546	68	2	22	28	31	0
547	68	2.5	21	-28	30	0
548	68	3	22	26	31	0
550	68	4	21	30	32	0
552	69	1	23	-30	-32	0
553	69	1.5	-23	29	31	0
554	69	2	-23	28	30	0
555	69	2.5	24	-28	-30	0
556	69	3	25	-28	-30	32
558	69	4	-25	27	29	-32
560	70	1	21	28	30	-32
562	70	2	-21	-28	-30	32
563	70	2.5	-21	27	-30	-32
564	70	3	0	28	26	33
565	70	3.5	0	29	-26	-33
566	70	4	28	30	-26	-33
568	71	1	-28	-30	0	32
570	71	2	27	29	0	-32
571	71	2.5	26	28	0	33
572	71	3	25	29	0	34
574	71	4	26	28	0	35
576	72	1	-26	26	0	-35
578	72	2	25	30	0	34
579	72	2.5	24	-30	0	33
580	72	3	25	-30	0	34
581	72	3.5	-25	29	0	-34
582	72	4	26	28	0	35
583	72	4.5	-26	27	0	-35
584	73	1	24	26	0	-35
585	73	1.5	-24	-26	0	34
586	73	2	-24	-26	0	33
588	73	3	23	27	30	-33
590	73	4	-23	-27	-30	32
592	74	1	26	26	30	33
594	74	2	-26	-26	30	-33
596	74	3	22	0	29	-33
598	74	4	-22	31	-29	-33
600	75	1	26	-31	28	-33
602	75	2	-26	30	-28	-33
603	75	2.5	-26	-30	29	-33
604	75	3	-26	28	30	-33
606	75	4	22	29	31	-33
608	76	1	26	-29	-31	0
610	76	2	-26	28	30	0
611	76	2.5	-26	27	29	0
612	76	3	26	28	30	33
614	76	4	22	29	31	-33
616	77	1	24	-29	31	33
617	77	1.5	-24	-29	30	-33
618	77	2	-24	26	29	33
620	77	3	23	27	-29	32
