**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	0	1	0	0	0	0	31
6	0	4	0	0	0	0	31
8	1	1	0	0	0	0	33
12	1	3	0	0	0	0	32
16	2	1	0	0	28	0	-32
20	2	3	0	0	-28	0	30
22	2	4	0	0	28	0	-30
24	3	1	0	0	29	0	31
28	3	3	0	0	28	0	32
32	4	1	0	0	-28	0	30
36	4	3	0	0	26	0	30
38	4	4	0	0	-26	0	31
40	5	1	0	0	27	0	-31
42	5	2	0	0	-27	0	29
44	5	3	0	0	28	0	30
48	6	1	0	24	0	0	28
50	6	2	0	-24	26	0	35
52	6	3	0	-24	26	31	-35
53	6	3.5	0	-24	-26	-31	34
54	6	4	0	24	28	-31	33
56	7	1	0	26	-28	-31	-33
57	7	1.5	0	-26	-28	-31	32
58	7	2	0	-26	28	31	35
60	7	3	0	25	29	32	-35
62	7	4	0	-25	-29	-32	34
64	8	1	21	-25	28	30	35
67	8	2.5	-21	-25	27	-30	-35
67.5	8	2.75	-21	-25	26	-30	-35
68	8	3	-21	23	25	32	-35
70	8	4	21	-23	28	-32	-35
72	9	1	22	24	28	31	0
73	9	1.5	-22	-24	27	-31	0
74	9	2	-22	-24	27	-31	0
75	9	2.5	-22	-24	26	-31	0
75.5	9	2.75	-22	-24	27	-31	0
76	9	3	21	25	28	30	0
78	9	4	-21	-25	-28	-30	32
80	10	1	-21	23	-28	0	-32
82	10	2	-21	-23	-28	28	32
84	10	3	19	23	0	-28	33
86	10	4	-19	24	0	28	33
88	11	1	20	-24	0	29	31
90	11	2	-20	22	0	29	-31
92	11	3	21	23	25	28	30
96	12	1	0	21	25	-28	-30
98	12	2	19	-21	26	-28	-30
100	12	3	19	0	-26	28	-30
102	12	4	21	28	25	-28	-30
103	12	4.5	-21	-28	-25	27	-30
104	13	1	-21	28	23	25	-30
106	13	2	21	28	-23	26	-30
108	13	3	22	26	24	-26	0
109	13	3.5	-22	-26	-24	24	0
110	13	4	-22	27	-24	31	0
112	14	1	21	28	25	-31	0
114	14	2	-21	-28	-25	30	32
115	14	2.5	-21	-28	-25	29	-32
116	14	3	-21	25	28	30	32
118	14	4	-21	28	-28	-30	32
119	14	4.5	-21	-28	27	-30	-32
120	15	1	0	28	26	-30	33
122	15	2	0	27	25	-30	34
124	15	3	0	26	24	0	35
126	15	4	24	-26	-24	0	-35
127	15	4.5	-24	27	-24	0	34
128	16	1	24	28	0	0	33
129	16	1.5	-24	-28	0	0	32
130	16	2	24	28	0	31	33
132	16	3	22	27	0	31	-33
133	16	3.5	-22	-27	0	-31	32
133.5	16	3.75	-22	-27	0	-31	31
134	16	4	23	-27	0	30	32
136	17	1	24	26	0	28	33
138	17	2	-24	-26	28	31	-33
140	17	3	21	25	28	30	0
142	17	4	-21	-25	28	-30	35
144	18	1	0	25	29	29	34
146	18	2	0	25	30	27	32
148	18	3	0	24	31	28	33
150	18	4	0	-24	-31	28	33
151	18	4.5	0	-24	30	-28	-33
152	19	1	0	25	29	32	34
153	19	1.5	0	-25	28	-32	-34
154	19	2	0	-25	29	-32	-34
156	19	3	0	26	-29	30	33
157	19	3.5	0	-26	28	-30	-33
157.5	19	3.75	0	-26	27	-30	-33
158	19	4	0	-26	28	-30	-33
160	20	1	22	0	29	31	-33
162	20	2	-22	26	-29	-31	-33
164	20	3	24	26	0	31	33
166	20	4	24	26	28	31	-33
168	21	1	25	27	27	29	32
170	21	2	23	28	25	30	32
172	21	3	22	29	26	26	31
174	21	4	-22	29	26	31	33
176	22	1	25	-29	27	-31	-33
177	22	1.5	-25	-29	-27	30	32
177.5	22	1.75	-25	-29	-27	29	31
178	22	2	-25	28	-27	30	32
179	22	2.5	-25	27	-27	-30	-32
