**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	0	0	0	31
6	0	4	0	0	0	31
8	1	1	0	0	0	33
12	1	3	0	0	0	34
16	2	1	0	0	28	32
20	2	3	0	0	-28	35
22	2	4	0	0	28	-35
24	3	1	0	0	30	35
26	3	2	0	0	-30	34
28	3	3	0	0	31	33
32	4	1	0	0	28	32
34	4	2	0	0	-28	35
36	4	3	0	0	31	35
38	4	4	0	0	-31	36
40	5	1	0	0	31	-36
41	5	1.5	0	0	-31	35
42	5	2	0	0	30	35
44	5	3	0	0	29	-35
46	5	4	0	0	-29	34
48	6	1	0	24	28	35
50	6	2	0	-24	-28	33
52	6	3	0	-24	28	-33
54	6	4	0	24	-28	32
55	6	4.5	0	-24	-28	31
56	7	1	0	26	-28	30
58	7	2	0	-26	28	-30
59	7	2.5	0	-26	-28	31
60	7	3	0	27	29	32
62	7	4	0	-27	29	31
64	8	1	21	25	28	-31
66	8	2	-21	-25	-28	30
67	8	2.5	-21	-25	-28	29
68	8	3	-21	28	-28	30
70	8	4	21	-28	27	-30
71	8	4.5	-21	-28	26	31
72	9	1	23	28	25	32
74	9	2	-23	27	-25	-32
76	9	3	24	26	0	28
80	10	1	21	25	0	0
82	10	2	-21	28	0	0
84	10	3	24	28	0	0
86	10	4	-24	29	0	0
88	11	1	24	-29	0	0
89	11	1.5	-24	28	0	0
90	11	2	23	28	0	0
92	11	3	22	-28	0	0
94	11	4	-22	27	0	0
96	12	1	21	28	0	0
98	12	2	-21	-28	25	0
100	12	3	21	-28	25	30
102	12	4	-21	-28	26	-30
105	13	1.5	-21	0	25	-30
106	13	2	21	0	25	30
108	13	3	22	26	-25	31
110	13	4	22	-26	24	29
112	14	1	21	28	25	30
116	14	3	21	-28	-25	-30
118	14	4	-21	28	-25	-30
120	15	1	25	27	0	0
123	15	2.5	-25	26	0	0
124	15	3	-25	27	0	29
125	15	3.5	-25	28	0	-29
126	15	4	25	29	27	-29
128	16	1	24	-29	26	31
129	16	1.5	-24	28	-26	-31
130	16	2	-24	28	-26	-31
131	16	2.5	23	-28	-26	-31
132	16	3	22	-28	24	-31
134	16	4	22	27	-24	31
136	17	1	21	28	25	30
139	17	2.5	-21	-28	-25	29
140	17	3	-21	-28	-25	30
141	17	3.5	-21	-28	-25	31
142	17	4	-21	-28	24	32
143	17	4.5	-21	-28	23	-32
144	18	1	0	-28	24	-32
145	18	1.5	0	-28	-24	31
146	18	2	0	-28	26	31
148	18	3	21	-28	25	-31
150	18	4	-21	-28	25	30
152	19	1	24	0	26	31
154	19	2	-24	0	-26	33
156	19	3	26	24	28	-33
158	19	4	-26	-24	-28	32
159	19	4.5	-26	-24	-28	31
160	20	1	-26	28	-28	30
162	20	2	26	-28	27	31
163	20	2.5	-26	-28	26	-31
164	20	3	25	29	27	32
166	20	4	-25	-29	27	-32
168	21	1	22	-29	26	31
170	21	2	-22	29	-26	-31
171	21	2.5	-22	-29	25	-31
171.5	21	2.75	-22	-29	24	-31
172	21	3	23	28	25	0
174	21	4	24	-28	26	0
176	22	1	-24	26	24	0
177	22	1.5	23	-26	-24	0
178	22	2	22	-26	-24	0
179	22	2.5	21	-26	-24	0
180	22	3	22	27	0	0
182	22	4	23	28	0	0
184	23	1	24	-28	0	0
185	23	1.5	-24	27	0	0
186	23	2	-24	26	0	0
187	23	2.5	23	25	0	0
188	23	3	24	26	0	0
190	23	4	25	27	0	0
192	24	1	26	28	24	0
195	24	2.5	25	27	-24	0
196	24	3	24	26	28	0
198	24	4	23	25	-28	0
200	25	1	22	27	29	0
202	25	2	-22	26	-29	0
203	25	2.5	21	-26	-29	0
204	25	3	20	-26	-29	0
206	25	4	-20	25	29	0
208	26	1	19	26	28	0
211	26	2.5	-19	25	-28	0
211.5	26	2.75	-19	24	-28	0
212	26	3	-19	23	26	28
214	26	4	-19	24	-26	-28
216	27	1	0	-24	27	32
218	27	2	0	23	28	-32
220	27	3	0	24	-28	33
221	27	3.5	0	-24	27	-33
222	27	4	0	-24	26	-33
223	27	4.5	0	-24	25	-33
224	28	1	0	0	24	-33
226	28	2	0	26	31	33
228	28	3	0	27	-31	32
230	28	4	21	28	30	-32
232	29	1	24	-28	31	33
233	29	1.5	-24	27	-31	-33
234	29	2	-24	26	28	-33
235	29	2.5	23	25	-28	-33
236	29	3	22	24	29	34
238	29	4	21	25	30	35
240	30	1	24	26	28	-35
241	30	1.5	-24	-26	-28	34
242	30	2	-24	-26	31	33
243	30	2.5	-24	-26	-31	32
244	30	3	22	24	-31	33
246	30	4	-22	-24	30	34
247	30	4.5	-22	-24	29	-34
248	31	1	21	25	30	35
251	31	2.5	-21	-25	-30	34
252	31	3	0	28	-30	33
254	31	4	0	-28	-30	32
256	32	1	0	29	31	34
258	32	2	24	-29	-31	33
259	32	2.5	-24	28	-31	-33
260	32	3	25	27	29	-33
262	32	4	25	-27	-29	32
263	32	4.5	-25	-27	30	-32
264	33	1	24	26	31	33
266	33	2	24	-26	-31	-33
268	33	3	-24	28	-31	0
270	33	4	24	-28	-31	33
272	34	1	22	29	-31	33
274	34	2	20	29	-31	34
276	34	3	24	28	-31	33
278	34	4	-24	28	-31	-33
280	35	1	21	-28	0	0
282	35	2	-21	28	30	32
284	35	3	0	26	30	33
286	35	4	0	24	31	33
288	36	1	0	28	30	32
290	36	2	0	-28	-30	32
291	36	2.5	0	27	-30	-32
291.5	36	2.75	0	26	-30	-32
292	36	3	0	27	0	-32
294	36	4	0	28	0	32
296	37	1	0	-28	0	30
298	37	2	0	27	0	28
299	37	2.5	0	26	0	-28
300	37	3	0	25	0	32
302	37	4	0	28	0	-32
303	37	4.5	0	-28	0	31
303.5	37	4.75	0	-28	0	30
304	38	1	0	29	0	31
306	38	2	0	30	0	32
309	38	3.5	0	29	0	-32
310	38	4	0	28	0	31
311	38	4.5	0	-28	0	30
312	39	1	0	-28	0	29
314	39	2	0	27	0	32
316	39	3	0	28	0	32
318	39	4	0	-28	0	33
320	40	1	24	-28	0	-33
321	40	1.5	-24	-28	0	32
322	40	2	-24	29	0	31
324	40	3	25	-29	0	-31
326	40	4	25	28	0	30
327	40	4.5	-25	27	0	-30
328	41	1	24	26	0	31
330	41	2	24	-26	0	-31
332	41	3	-24	0	28	-31
334	41	4	24	26	-28	-31
336	42	1	22	26	29	-31
338	42	2	20	27	29	-31
340	42	3	24	26	28	-31
342	42	4	-24	-26	28	-31
343	42	4.5	23	-26	-28	-31
343.5	42	4.75	22	-26	-28	-31
344	43	1	23	0	-28	0
346	43	2	24	0	28	0
348	43	3	-24	0	26	0
350	43	4	23	0	24	0
351	43	4.5	22	0	-24	0
352	44	1	21	0	28	0
354	44	2	24	0	-28	0
355	44	2.5	-24	0	27	0
355.5	44	2.75	-24	0	26	0
356	44	3	25	0	27	0
358	44	4	26	0	28	0
361	45	1.5	25	0	-28	0
362	45	2	24	0	27	0
363	45	2.5	-24	0	26	0
364	45	3	-24	0	25	32
366	45	4	23	0	28	-32
368	46	1	24	28	-28	33
370	46	2	-24	-28	31	33
372	46	3	21	-28	30	32
374	46	4	-21	-28	28	-32
376	47	1	25	29	-28	0
378	47	2	25	29	27	32
380	47	3	21	28	28	-32
381	47	3.5	-21	-28	29	-32
382	47	4	-21	-28	30	32
383	47	4.5	-21	-28	31	-32
384	48	1	21	0	32	30
386	48	2	-21	28	30	28
388	48	3	-21	-28	-30	32
390	48	4	21	28	30	-32
391	48	4.5	-21	-28	-30	31
391.5	48	4.75	-21	-28	-30	30
392	49	1	22	26	29	31
394	49	2	18	27	29	32
396	49	3	21	28	30	-32
397	49	3.5	22	-28	-30	-32
398	49	4	23	-28	32	31
399	49	4.5	24	-28	-32	30
400	50	1	25	27	-32	29
401	50	1.5	-25	-27	31	-29
402	50	2	21	28	30	32
403	50	2.5	-21	-28	29	-32
404	50	3	-21	-28	30	32
405	50	3.5	-21	27	-30	-32
406	50	4	24	26	28	33
407	50	4.5	-24	25	-28	-33
408	51	1	-24	26	-28	-33
409	51	1.5	-24	-26	-28	32
410	51	2	20	27	29	31
412	51	3	21	25	28	-31
414	51	4	-21	-25	-28	30
416	52	1	17	24	28	31
432	53	1	0	0	0	0
432	53	1	24	26	0	0
440	54	1	22	27	0	0
444	54	3	23	25	28	0
448	55	1	24	26	-28	31
452	55	3	20	0	29	-31
456	56	1	0	0	27	32
460	56	3	0	26	28	30
464	57	1	24	-26	-28	31
468	57	3	22	27	0	-31
472	58	1	23	25	0	0
476	58	3	24	26	0	0
478	58	4	-24	28	0	0
480	59	1	24	-28	31	33
482	59	2	-24	28	-31	-33
484	59	3	22	29	-31	-33
488	60	1	25	-29	29	34
490	60	2	-25	27	-29	-34
492	60	3	21	28	30	32
496	61	1	0	24	31	33
498	61	2	0	-24	-31	35
499	61	2.5	0	25	-31	-35
500	61	3	0	26	0	35
502	61	4	0	27	31	36
504	62	1	0	-27	31	-36
506	62	2	0	26	32	34
507	62	2.5	0	25	-32	-34
508	62	3	0	26	30	35
510	62	4	24	-26	31	-35
511	62	4.5	-24	27	-31	34
512	63	1	24	28	-31	33
513	63	1.5	-24	-28	30	32
514	63	2	25	27	29	34
515	63	2.5	-25	-27	28	-34
516	63	3	-25	25	29	-34
518	63	4	23	-25	30	33
519	63	4.5	-23	-25	-30	32
520	64	1	24	0	28	33
522	64	2	-24	0	31	-33
524	64	3	21	0	-31	32
526	64	4	21	28	30	-32
528	65	1	24	28	31	33
530	65	2	24	29	-31	-33
532	65	3	25	27	0	34
534	65	4	23	28	0	32
536	66	1	24	-28	28	33
537	66	1.5	-24	27	-28	-33
538	66	2	-24	26	-28	-33
539	66	2.5	23	25	-28	-33
540	66	3	24	26	29	0
542	66	4	25	27	29	0
544	67	1	21	25	30	0
546	67	2	-21	28	-30	0
548	67	3	22	-28	31	0
550	67	4	-22	27	-31	0
552	68	1	21	28	30	0
554	68	2	-21	-28	-30	32
555	68	2.5	22	-28	-30	-32
556	68	3	23	-28	0	32
558	68	4	24	-28	26	33
560	69	1	22	0	27	31
562	69	2	23	0	27	32
564	69	3	-23	0	28	-32
565	69	3.5	22	0	-28	31
566	69	4	21	0	-28	30
567	69	4.5	20	0	-28	29
568	70	1	21	0	26	30
570	70	2	22	24	-26	31
572	70	3	18	25	27	29
574	70	4	-18	25	-27	32
576	71	1	0	26	28	-32
578	71	2	22	-26	29	31
580	71	3	25	27	-29	32
581	71	3.5	-25	-27	28	-32
582	71	4	25	-27	29	-32
583	71	4.5	-25	-27	27	-32
584	72	1	24	26	28	0
586	72	2	-24	-26	31	28
587	72	2.5	23	25	-31	-28
588	72	3	22	26	-31	29
589	72	3.5	-22	-26	30	-29
590	72	4	21	27	29	29
591	72	4.5	20	-27	-29	-29
592	73	1	21	25	-29	30
593	73	1.5	-21	-25	28	-30
594	73	2	-21	26	28	-30
596	73	3	22	-26	-28	31
598	73	4	-22	25	27	-31
599	73	4.5	-22	24	-27	-31
600	74	1	21	25	28	30
606	74	4	-21	25	28	-30
608	75	1	0	29	27	0
610	75	2	0	29	27	31
612	75	3	21	30	25	32
614	75	4	-21	-30	28	32
616	76	1	24	28	-28	33
617	76	1.5	-24	-28	24	-33
618	76	2	24	29	31	-33
620	76	3	25	-29	-31	34
622	76	4	-25	28	30	-34
623	76	4.5	-25	27	-30	-34
624	77	1	24	29	31	33
626	77	2	24	28	-31	-33
628	77	3	-24	26	0	31
630	77	4	23	27	24	-31
631	77	4.5	22	-27	-24	-31
632	78	1	23	-27	28	0
634	78	2	24	26	28	0
636	78	3	20	27	29	0
638	78	4	24	26	-29	0
640	79	1	-24	-26	28	0
641	79	1.5	25	27	-28	0
642	79	2	26	28	-28	0
643	79	2.5	-26	26	-28	0
644	79	3	25	27	0	0
646	79	4	24	26	0	0
649	80	1.5	23	25	0	0
650	80	2	23	28	25	0
652	80	3	24	-28	29	0
654	80	4	25	27	29	0
656	81	1	21	28	30	0
658	81	2	-21	-28	-30	32
660	81	3	-21	0	28	32
662	81	4	-21	0	28	32
664	82	1	0	0	-28	33
666	82	2	0	0	27	-33
667	82	2.5	0	0	26	-33
668	82	3	0	0	27	32
670	82	4	0	0	28	32
672	83	1	0	0	25	-32
674	83	2	0	0	28	31
675	83	2.5	0	0	-28	30
676	83	3	0	0	29	31
678	83	4	0	0	30	32
680	84	1	0	0	-30	28
681	84	1.5	0	0	29	-28
682	84	2	0	0	30	35
683	84	2.5	0	0	31	-35
684	84	3	0	0	32	34
686	84	4	0	0	33	35
688	85	1	24	0	-33	-35
689	85	1.5	-24	0	32	-35
690	85	2	-24	0	31	34
691	85	2.5	-24	0	-31	33
692	85	3	25	0	-31	34
694	85	4	25	0	30	-34
696	86	1	24	0	31	33
698	86	2	24	0	-31	-33
700	86	3	-24	28	-31	0
702	86	4	24	-28	-31	33
704	87	1	22	29	-31	33
706	87	2	20	29	-31	34
708	87	3	24	28	-31	33
710	87	4	-24	28	-31	-33
712	88	1	21	-28	0	0
714	88	2	-21	28	30	32
716	88	3	0	26	30	33
718	88	4	0	24	31	33
720	89	1	0	28	30	32
722	89	2	0	-28	-30	32
723	89	2.5	0	27	-30	-32
723.5	89	2.75	0	26	-30	-32
724	89	3	0	27	0	-32
726	89	4	0	28	0	32
728	90	1	0	-28	0	30
730	90	2	0	27	0	28
731	90	2.5	0	26	0	-28
732	90	3	0	25	0	32
734	90	4	0	28	0	-32
735	90	4.5	0	-28	0	31
735.5	90	4.75	0	-28	0	30
736	91	1	0	29	0	31
738	91	2	0	30	0	32
741	91	3.5	0	29	0	-32
742	91	4	0	28	0	31
743	91	4.5	0	-28	0	30
744	92	1	0	-28	0	29
746	92	2	0	27	0	32
748	92	3	0	28	0	32
750	92	4	0	-28	0	33
752	93	1	24	-28	0	-33
753	93	1.5	-24	-28	0	32
754	93	2	-24	29	0	31
756	93	3	25	-29	0	-31
758	93	4	25	28	0	30
759	93	4.5	-25	27	0	-30
760	94	1	24	26	0	31
762	94	2	24	-26	0	-31
764	94	3	-24	0	28	-31
766	94	4	24	26	-28	-31
768	95	1	22	26	29	-31
770	95	2	20	27	29	-31
772	95	3	24	26	28	-31
774	95	4	-24	-26	28	-31
775	95	4.5	23	-26	-28	-31
775.5	95	4.75	22	-26	-28	-31
776	96	1	23	0	-28	0
778	96	2	24	0	28	0
780	96	3	-24	0	26	0
782	96	4	23	0	24	0
783	96	4.5	22	0	-24	0
784	97	1	21	0	28	0
786	97	2	24	0	-28	0
787	97	2.5	-24	0	27	0
787.5	97	2.75	-24	0	26	0
788	97	3	25	0	27	0
790	97	4	26	0	28	0
793	98	1.5	25	0	-28	0
794	98	2	24	0	27	0
795	98	2.5	-24	0	26	0
796	98	3	-24	0	25	32
798	98	4	23	0	28	-32
800	99	1	24	28	-28	33
802	99	2	-24	-28	31	33
804	99	3	21	-28	30	32
806	99	4	-21	-28	28	-32
808	100	1	25	29	-28	0
810	100	2	25	29	27	32
812	100	3	21	28	28	-32
813	100	3.5	-21	-28	29	-32
814	100	4	-21	-28	30	32
815	100	4.5	-21	-28	31	-32
816	101	1	21	0	32	30
818	101	2	-21	28	30	28
820	101	3	-21	-28	-30	32
822	101	4	21	28	30	-32
823	101	4.5	-21	-28	-30	31
823.5	101	4.75	-21	-28	-30	30
824	102	1	22	26	29	31
826	102	2	18	27	29	32
828	102	3	21	28	30	-32
829	102	3.5	22	-28	-30	-32
830	102	4	23	-28	32	31
831	102	4.5	24	-28	-32	30
