**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	24	0	0	0
4	0	3	-24	0	28	0
8	1	1	26	0	-28	0
12	1	3	28	0	30	0
15	1	4.5	-28	0	31	0
16	2	1	-28	0	32	0
18	2	2	24	0	33	0
20	2	3	26	0	-33	0
22	2	4	-26	0	32	0
23	2	4.5	-26	0	31	0
24	3	1	25	29	34	0
26	3	2	-25	-29	34	0
28	3	3	24	31	33	0
34	4	2	-24	28	-33	0
36	4	3	0	30	32	0
38	4	4	21	-30	-32	0
40	5	1	22	29	31	0
42	5	2	24	-29	-31	0
44	5	3	24	28	0	0
46	5	4	23	-28	0	0
48	6	1	24	-28	0	0
50	6	2	26	-28	0	0
52	6	3	25	0	0	0
54	6	4	26	28	0	0
56	7	1	-26	30	0	0
58	7	2	25	31	0	0
59	7	2.5	24	-31	0	0
60	7	3	25	31	0	0
62	7	4	-25	30	0	0
64	8	1	24	31	28	0
66	8	2	-24	33	-28	0
68	8	3	0	32	-28	35
70	8	4	24	33	-28	-35
72	9	1	24	-33	-28	-35
74	9	2	-24	32	-28	-35
75	9	2.5	-24	31	-28	-35
76	9	3	28	32	30	-35
78	9	4	-28	33	-30	-35
80	10	1	27	29	31	36
84	10	3	27	-29	-31	38
86	10	4	27	-29	31	-38
88	11	1	24	28	33	-38
90	11	2	-24	-28	-33	35
92	11	3	28	0	32	37
94	11	4	-28	28	-32	-37
96	12	1	0	29	31	36
98	12	2	0	27	-31	-36
99	12	2.5	0	-27	32	-36
100	12	3	0	31	33	35
101	12	3.5	0	-31	34	-35
102	12	4	24	-31	33	-35
104	13	1	26	30	-33	-35
106	13	2	28	-30	32	-35
108	13	3	28	0	33	0
110	13	4	27	29	32	0
112	14	1	28	30	32	0
113	14	1.5	-28	-30	31	0
114	14	2	-28	32	30	32
115	14	2.5	27	-32	29	-32
116	14	3	26	32	28	33
118	14	4	-26	31	-28	35
119	14	4.5	-26	-31	29	-35
120	15	1	25	32	30	35
122	15	2	-25	-32	29	34
123	15	2.5	-25	31	-29	-34
124	15	3	26	30	33	35
126	15	4	24	31	-33	-35
128	16	1	27	-31	31	36
130	16	2	-27	29	32	-36
132	16	3	26	30	33	35
134	16	4	24	31	-33	36
136	17	1	25	-31	34	-36
137	17	1.5	-25	30	-34	-36
138	17	2	-25	30	-34	35
139	17	2.5	-25	29	-34	34
140	17	3	24	31	33	35
142	17	4	22	-31	-33	36
144	18	1	26	30	-33	-36
145	18	1.5	-26	-30	-33	35
146	18	2	-26	28	31	35
148	18	3	25	29	32	-35
150	18	4	-25	-29	-32	34
152	19	1	21	28	0	35
154	19	2	-21	-28	30	-35
155	19	2.5	-21	-28	-30	34
156	19	3	-21	-28	30	33
158	19	4	-21	-28	30	32
160	20	1	24	-28	31	33
163	20	2.5	-24	-28	32	34
164	20	3	24	0	33	35
166	20	4	24	28	-33	-35
167	20	4.5	-24	-28	32	-35
167.5	20	4.75	-24	-28	31	-35
168	21	1	26	28	30	-35
170	21	2	-26	28	33	-35
171	21	2.5	27	-28	-33	-35
172	21	3	28	30	-33	-35
174	21	4	-28	30	32	-35
176	22	1	24	31	33	-35
179	22	2.5	25	30	32	-35
179.5	22	2.75	-25	29	-32	-35
180	22	3	26	28	31	0
181	22	3.5	-26	-28	30	0
182	22	4	27	31	29	31
184	23	1	25	-31	-29	32
186	23	2	-25	30	28	32
187	23	2.5	-25	-30	27	-32
188	23	3	24	31	28	33
191	23	4.5	-24	-31	-28	34
192	24	1	24	31	26	35
194	24	2	-24	-31	-26	36
196	24	3	25	30	0	-36
198	24	4	26	-30	0	35
200	25	1	27	29	0	36
202	25	2	25	32	0	-36
204	25	3	28	-32	0	0
205	25	3.5	-28	31	0	0
206	25	4	-28	30	0	35
207	25	4.5	27	29	0	-35
208	26	1	26	31	0	35
209	26	1.5	25	-31	0	-35
210	26	2	28	30	0	35
212	26	3	-28	29	0	36
214	26	4	27	32	0	36
216	27	1	28	-32	0	37
218	27	2	-28	30	32	-37
220	27	3	28	30	32	0
222	27	4	-28	-30	32	35
224	28	1	24	0	33	35
226	28	2	-24	28	-33	-35
227	28	2.5	-24	-28	34	36
228	28	3	0	28	35	37
230	28	4	0	28	-35	37
232	29	1	0	29	31	38
235	29	2.5	0	30	32	37
235.5	29	2.75	0	-30	-32	36
236	29	3	0	31	33	35
238	29	4	0	27	34	38
240	30	1	0	28	32	-38
242	30	2	0	-28	-32	37
244	30	3	0	31	31	38
246	30	4	0	-31	-31	35
248	31	1	0	0	31	-35
250	31	2	0	0	-31	36
252	31	3	0	0	32	37
254	31	4	0	0	33	38
256	32	1	0	0	34	36
258	32	2	0	0	32	39
260	32	3	28	0	35	-39
261	32	3.5	-28	0	-35	38
262	32	4	-28	0	-35	37
263	32	4.5	-28	0	34	36
264	33	1	28	0	33	35
265	33	1.5	-28	0	32	-35
266	33	2	-28	0	35	37
268	33	3	25	32	-35	36
270	33	4	-25	-32	34	-36
272	34	1	28	32	35	37
275	34	2.5	27	-32	-35	-37
276	34	3	26	28	-35	-37
277	34	3.5	25	-28	-35	-37
