**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	0	0	0	34
4	0	3	0	0	0	35
8	1	1	0	0	0	33
12	1	3	0	34	0	34
16	2	1	0	35	30	32
20	2	3	0	33	31	31
24	3	1	0	34	29	-31
28	3	3	23	32	30	34
32	4	1	24	31	28	33
36	4	3	22	-31	27	0
40	5	1	23	0	-27	0
42	5	2	-23	0	-27	32
44	5	3	21	0	30	35
46	5	4	-21	0	-30	35
48	6	1	20	0	29	36
52	6	3	-20	31	0	0
54	6	4	-20	-31	0	38
56	7	1	0	35	0	37
57	7	1.5	0	-35	0	36
58	7	2	0	35	28	35
59	7	2.5	0	-35	-28	34
60	7	3	0	36	31	33
62	7	4	0	38	31	36
64	8	1	0	37	32	-36
65	8	1.5	0	-37	-32	35
66	8	2	0	36	-32	35
67	8	2.5	0	35	-32	-35
68	8	3	20	36	0	-35
70	8	4	-20	-36	34	34
72	9	1	24	35	33	35
73	9	1.5	-24	-35	32	-35
74	9	2	24	-35	31	-35
75	9	2.5	-24	-35	30	-35
76	9	3	25	0	29	0
78	9	4	27	0	32	32
80	10	1	26	0	-32	35
81	10	1.5	-26	0	31	-35
82	10	2	25	0	31	-35
83	10	2.5	24	0	-31	-35
84	10	3	25	0	-31	34
86	10	4	-25	0	30	-34
88	11	1	24	0	31	33
90	11	2	-24	0	-31	35
93	11	3.5	0	0	0	36
94	11	4	0	0	28	37
96	12	1	0	0	31	-37
97	12	1.5	0	0	-31	36
98	12	2	0	0	-31	36
100	12	3	0	0	30	-36
102	12	4	0	0	-30	35
104	13	1	0	36	29	38
106	13	2	0	-36	31	-38
107	13	2.5	0	-36	-31	37
108	13	3	0	38	-31	36
109	13	3.5	0	-38	32	-36
110	13	4	0	-38	33	35
112	14	1	0	37	-33	-35
113	14	1.5	0	-37	32	34
114	14	2	0	-37	32	33
115	14	2.5	0	-37	-32	32
116	14	3	0	36	-32	33
118	14	4	0	-36	31	-33
120	15	1	25	0	34	0
123	15	2.5	-25	0	33	0
124	15	3	27	36	32	0
126	15	4	-27	-36	31	0
128	16	1	26	35	-31	0
129	16	1.5	-26	-35	30	0
130	16	2	-26	34	29	0
131	16	2.5	-26	33	28	0
132	16	3	25	34	29	36
136	17	1	0	33	0	35
138	17	2	0	-33	0	34
139	17	2.5	0	-33	0	33
140	17	3	25	0	0	34
144	18	1	24	0	0	33
146	18	2	23	0	0	36
147	18	2.5	22	0	0	-36
148	18	3	23	0	32	-36
150	18	4	-23	0	-32	35
152	19	1	22	36	31	33
154	19	2	-22	-36	30	34
155	19	2.5	-22	-36	29	-34
156	19	3	0	35	30	-34
157	19	3.5	0	-35	-30	33
158	19	4	0	34	-30	33
159	19	4.5	0	33	-30	-33
160	20	1	0	34	29	-33
162	20	2	0	-34	32	32
164	20	3	0	33	-32	33
166	20	4	0	-33	31	35
168	21	1	25	0	29	34
170	21	2	-25	34	30	33
171	21	2.5	-25	-34	-30	32
172	21	3	24	35	-30	33
173	21	3.5	-24	-35	29	-33
174	21	4	23	36	29	-33
175	21	4.5	22	-36	-29	-33
176	22	1	23	32	-29	32
178	22	2	-23	-32	28	-32
180	22	3	22	33	29	0
182	22	4	-22	-33	31	0
184	23	1	0	0	30	0
186	23	2	23	0	29	0
187	23	2.5	-23	0	28	0
188	23	3	24	0	29	0
190	23	4	25	0	-29	34
192	24	1	21	0	28	35
196	24	3	22	0	0	33
200	25	1	0	34	0	34
204	25	3	0	35	0	32
206	25	4	0	-35	30	-32
208	26	1	0	33	31	31
212	26	3	0	34	29	-31
214	26	4	0	-34	-29	34
216	27	1	23	32	30	-34
218	27	2	-23	-32	-30	33
219	27	2.5	-23	-32	-30	32
220	27	3	24	31	28	33
224	28	1	22	0	27	0
226	28	2	-22	0	-27	31
228	28	3	23	0	-27	32
230	28	4	-23	35	30	-32
231	28	4.5	-23	-35	-30	31
232	29	1	21	35	-30	32
234	29	2	-21	33	29	33
235	29	2.5	-21	-33	28	-33
236	29	3	20	34	29	32
238	29	4	-20	-34	-29	31
239	29	4.5	-20	33	-29	-31
240	30	1	0	32	0	-31
242	30	2	0	-32	27	30
244	30	3	0	31	28	31
246	30	4	24	-31	-28	33
247	30	4.5	-24	32	27	-33
248	31	1	24	33	28	33
250	31	2	22	-33	29	31
252	31	3	23	32	28	32
254	31	4	-23	-32	27	32
255	31	4.5	22	-32	-27	-32
256	32	1	21	35	-27	30
258	32	2	-21	-35	26	-30
259	32	2.5	-21	-35	-26	31
260	32	3	20	36	27	32
261	32	3.5	-20	-36	-27	33
262	32	4	-20	34	29	32
263	32	4.5	21	-34	-29	-32
264	33	1	22	-34	29	-32
265	33	1.5	-22	33	-29	31
266	33	2	-22	32	27	31
267	33	2.5	-22	31	-27	-31
268	33	3	21	32	28	-31
270	33	4	-21	-32	28	30
272	34	1	24	31	26	31
*-	*-	*-	*-	*-	*-	*-
