**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	0	25	0	32
2	0	2	25	-25	0	-32
4	0	3	22	26	0	31
6	0	4	25	27	0	32
8	1	1	24	28	0	33
11	1	2.5	25	27	0	32
11.5	1	2.75	-25	-27	0	31
12	1	3	26	28	0	30
14	1	4	22	29	0	31
16	2	1	23	28	0	32
18	2	2	24	28	31	33
20	2	3	20	27	31	29
22	2	4	24	28	31	33
24	3	1	24	26	28	33
26	3	2	24	24	-28	33
27	3	2.5	-24	-24	29	-33
28	3	3	21	28	30	32
30	3	4	-21	-28	30	-32
31	3	4.5	-21	-28	-30	33
32	4	1	25	27	29	34
34	4	2	-25	29	-29	34
35	4	2.5	-25	-29	30	-34
36	4	3	24	-29	31	33
37	4	3.5	-24	28	30	-33
38	4	4	25	27	29	34
39	4	4.5	-25	26	28	-34
40	5	1	-25	25	27	-34
41	5	1.5	24	-25	-27	33
42	5	2	23	-25	29	32
43	5	2.5	22	-25	-29	31
44	5	3	23	25	-29	32
46	5	4	-23	-25	28	-32
48	6	1	22	26	29	31
54	6	4	22	-26	29	-31
56	7	1	24	0	28	0
58	7	2	25	0	27	29
60	7	3	23	0	28	32
62	7	4	-23	25	-28	32
64	8	1	22	26	29	31
66	8	2	-22	27	29	31
68	8	3	0	25	-29	34
70	8	4	0	-25	28	34
71	8	4.5	0	-25	27	-34
72	9	1	0	24	28	33
73	9	1.5	0	-24	-28	32
74	9	2	24	31	28	33
75	9	2.5	-24	-31	-28	34
76	9	3	26	-31	24	35
77	9	3.5	-26	30	-24	-35
78	9	4	27	29	31	31
80	10	1	25	-29	-31	32
82	10	2	25	28	30	34
83	10	2.5	-25	27	-30	-34
84	10	3	24	28	31	-34
86	10	4	24	-28	-31	33
88	11	1	20	27	29	34
90	11	2	20	-27	-29	-34
92	11	3	27	0	0	0
94	11	4	26	24	28	0
96	12	1	25	27	29	0
98	12	2	-25	-27	25	0
99	12	2.5	24	26	-25	0
100	12	3	23	25	27	0
102	12	4	22	24	-27	0
104	13	1	21	23	26	0
106	13	2	20	22	25	0
108	13	3	19	-22	-25	0
110	13	4	-19	21	24	33
112	14	1	18	22	25	34
114	14	2	-18	25	29	-34
115	14	2.5	-18	-25	-29	33
116	14	3	-18	27	-29	32
118	14	4	20	-27	29	31
119	14	4.5	-20	26	-29	-31
120	15	1	21	25	28	30
122	15	2	22	24	27	29
124	15	3	19	23	26	-29
126	15	4	-19	-23	-26	28
128	16	1	0	22	24	29
130	16	2	22	26	-24	-29
132	16	3	22	27	0	0
134	16	4	-22	26	31	36
