**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	0	0	29	0
2	0	1.5	0	0	29	0
4	0	2	0	0	31	29
6	0	2.5	0	0	-31	29
7	0	2.75	0	0	30	-29
8	1	1	0	0	29	31
10	1	1.5	0	0	29	31
12	1	2	0	0	28	32
14	1	2.5	0	0	-28	32
16	2	1	0	0	0	33
20	2	2	0	0	29	-33
21	2	2.25	0	0	30	-33
22	2	2.5	0	0	31	-33
24	3	1	0	0	30	0
26	3	1.5	0	0	29	0
28	3	2	0	0	29	33
29	3	2.25	0	0	-29	34
30	3	2.5	0	0	28	35
32	4	1	0	0	29	34
34	4	1.5	0	0	26	33
36	4	2	0	0	27	33
38	4	2.5	0	0	-27	32
40	5	1	22	0	26	33
42	5	1.5	22	0	-26	-33
44	5	2	24	22	-26	-33
46	5	2.5	-24	22	-26	-33
47	5	2.75	23	-22	-26	-33
48	6	1	22	24	0	0
50	6	1.5	22	24	0	0
52	6	2	21	25	0	0
54	6	2.5	-21	25	0	0
56	7	1	0	26	0	0
60	7	2	22	-26	0	0
61	7	2.25	23	-26	0	0
62	7	2.5	24	-26	0	0
64	8	1	23	0	0	0
66	8	1.5	22	0	0	0
68	8	2	22	26	23	0
69	8	2.25	-22	27	24	0
70	8	2.5	21	28	25	0
72	9	1	22	27	24	0
74	9	1.5	19	26	23	0
76	9	2	20	26	23	0
78	9	2.5	-20	25	22	0
80	10	1	19	26	23	0
82	10	1.5	-19	-26	-23	30
83	10	1.75	-19	-26	-23	31
84	10	2	0	0	27	32
85	10	2.25	0	0	28	-32
86	10	2.5	0	0	29	31
88	11	1	23	0	28	30
89	11	1.25	24	0	-28	-30
90	11	1.5	25	0	27	30
92	11	2	24	26	0	29
93	11	2.25	-24	27	0	-29
94	11	2.5	23	28	25	30
96	12	1	23	27	-25	-30
98	12	1.5	22	29	24	33
100	12	2	23	28	23	-33
102	12	2.5	-23	27	30	32
104	13	1	0	26	-30	33
105	13	1.25	0	-26	29	-33
106	13	1.5	0	-26	28	-33
107	13	1.75	0	-26	27	-33
108	13	2	26	28	26	-33
111	13	2.75	26	28	-26	-33
112	14	1	26	28	30	0
114	14	1.5	26	26	-30	0
115	14	1.75	-26	-26	30	0
116	14	2	25	27	30	0
118	14	2.5	26	28	30	0
120	15	1	22	29	29	33
122	15	1.5	26	28	30	-33
123	15	1.75	-26	-28	-30	33
124	15	2	-26	-28	28	33
125	15	2.25	25	27	30	-33
126	15	2.5	24	26	29	33
128	16	1	23	27	30	32
130	16	1.5	24	26	28	33
132	16	2	-24	28	0	31
134	16	2.5	22	29	31	0
135	16	2.75	-22	-29	-31	33
136	17	1	23	27	30	32
138	17	1.5	19	26	28	33
140	17	2	0	29	29	31
142	17	2.5	24	-29	31	33
143	17	2.75	-24	28	-31	-33
144	18	1	25	27	30	32
146	18	1.5	26	26	28	30
148	18	2	22	26	29	31
151	18	2.75	-22	-26	28	-31
151.5	18	2.875	-22	-26	27	-31
152	19	1	-22	24	26	-31
153	19	1.25	-22	25	-26	-31
154	19	1.5	-22	26	-26	-31
156	19	2	0	26	0	31
157	19	2.25	0	-26	0	32
158	19	2.5	0	-26	0	33
159	19	2.75	0	25	0	-33
160	20	1	0	24	0	33
162	20	1.5	0	23	0	-33
163	20	1.75	0	-23	0	32
164	20	2	0	22	0	31
166	20	2.5	0	21	0	30
168	21	1	24	0	26	29
169	21	1.25	25	0	27	-29
170	21	1.5	26	0	28	28
172	21	2	26	26	28	31
173	21	2.25	-26	27	-28	32
174	21	2.5	-26	28	24	33
175	21	2.75	25	-28	-24	-33
176	22	1	24	-28	-24	33
178	22	1.5	23	28	25	-33
179	22	1.75	-23	-28	-25	32
180	22	2	22	29	26	31
182	22	2.5	21	25	23	30
184	23	1	22	27	0	29
185	23	1.25	-22	-27	0	30
186	23	1.5	22	26	24	31
187	23	1.75	22	-26	-24	32
188	23	2	18	25	27	30
190	23	2.5	20	24	26	29
191	23	2.75	-20	-24	25	-29
192	24	1	19	-24	26	-29
193	24	1.25	-19	23	-26	-29
193.5	24	1.375	-19	22	-26	-29
194	24	1.5	19	23	-26	28
196	24	2	22	22	26	29
200	25	1	-22	-22	31	29
203	25	1.75	-22	-22	30	29
204	25	2	0	0	29	31
206	25	2.5	0	0	29	31
208	26	1	0	0	28	32
210	26	1.5	0	0	27	32
212	26	2	28	26	26	33
213	26	2.25	-28	-26	27	-33
214	26	2.5	-28	26	28	-33
215	26	2.75	27	-26	29	-33
216	27	1	26	28	30	33
217	27	1.25	-26	-28	-30	34
218	27	1.5	26	28	-30	35
220	27	2	25	29	0	34
222	27	2.5	24	29	29	33
224	28	1	23	30	28	33
226	28	1.5	-23	-30	27	32
228	28	2	0	0	26	33
230	28	2.5	22	0	-26	-33
231	28	2.75	23	0	-26	-33
232	29	1	24	26	0	0
233	29	1.25	-24	27	0	0
234	29	1.5	23	28	0	0
236	29	2	22	27	0	0
238	29	2.5	21	26	0	0
240	30	1	20	26	0	0
242	30	1.5	-20	25	29	0
243	30	1.75	-20	-25	30	0
244	30	2	19	26	31	33
245	30	2.25	-19	-26	-31	34
246	30	2.5	-19	-26	30	35
248	31	1	0	0	29	34
250	31	1.5	0	0	28	33
252	31	2	0	0	27	33
254	31	2.5	0	0	-27	32
256	32	1	0	0	26	33
260	32	2	24	26	28	33
262.667	32	2.66667	24	26	28	33
264	33	1	24	28	31	33
266.667	33	1.66667	22	29	31	33
268	33	2	23	27	30	32
270.667	33	2.66667	19	28	30	33
272	34	1	22	26	29	31
274.667	34	1.66667	22	29	31	33
276	34	2	23	27	30	32
278.667	34	2.66667	19	28	30	33
280	35	1	22	26	29	31
282.667	35	1.66667	22	29	31	33
284	35	2	23	27	30	32
286.667	35	2.66667	19	28	30	30
288	36	1	22	26	29	31
292	36	2	-22	24	-29	-31
293	36	2.25	-22	25	-29	-31
294	36	2.5	-22	26	-29	-31
296	37	1	0	26	0	31
297	37	1.25	0	-26	0	32
298	37	1.5	0	-26	0	33
299	37	1.75	0	25	0	-33
300	37	2	0	24	0	33
302	37	2.5	0	23	0	-33
303	37	2.75	0	-23	0	32
304	38	1	0	22	0	31
306	38	1.5	0	21	0	30
308	38	2	24	0	26	29
309	38	2.25	25	0	27	-29
310	38	2.5	26	0	28	28
312	39	1	26	26	28	31
313	39	1.25	-26	27	-28	32
314	39	1.5	-26	28	24	33
315	39	1.75	25	-28	-24	-33
316	39	2	24	-28	24	33
318	39	2.5	23	28	25	-33
319	39	2.75	-23	-28	-25	32
320	40	1	22	29	26	31
322	40	1.5	21	25	23	30
324	40	2	22	27	0	29
325	40	2.25	-22	-27	0	30
326	40	2.5	22	26	26	31
327	40	2.75	22	-26	-26	32
328	41	1	18	25	27	30
330	41	1.5	20	24	26	29
331	41	1.75	-20	-24	25	-29
332	41	2	19	-24	26	-29
333	41	2.25	-19	23	-26	-29
333.5	41	2.375	-19	22	-26	-29
334	41	2.5	19	23	-26	28
336	42	1	22	22	26	29
340	42	2	-22	24	-26	-29
341	42	2.25	-22	25	-26	-29
342	42	2.5	-22	26	-26	-29
344	43	1	0	26	0	31
345	43	1.25	0	-26	0	32
346	43	1.5	0	-26	0	33
347	43	1.75	0	25	0	-33
348	43	2	0	24	0	33
350	43	2.5	0	23	0	-33
351	43	2.75	0	-23	0	32
352	44	1	0	22	0	31
354	44	1.5	0	21	0	30
356	44	2	24	0	26	29
357	44	2.25	25	0	27	-29
358	44	2.5	26	0	28	28
360	45	1	26	26	28	31
361	45	1.25	-26	27	-28	32
362	45	1.5	-26	28	24	33
363	45	1.75	25	-28	-24	-33
364	45	2	24	-28	24	33
366	45	2.5	23	28	25	-33
367	45	2.75	-23	-28	-25	32
368	46	1	22	29	26	31
370	46	1.5	21	25	23	30
372	46	2	22	27	0	29
373	46	2.25	-22	-27	0	30
374	46	2.5	22	26	26	31
375	46	2.75	22	-26	-26	32
376	47	1	18	25	27	30
378	47	1.5	20	24	26	29
379	47	1.75	-20	-24	25	-29
380	47	2	19	-24	26	-29
381	47	2.25	-19	23	-26	-29
381.5	47	2.375	-19	22	-26	-29
382	47	2.5	19	23	-26	28
384	48	1	22	22	26	29
*-	*-	*-	*-	*-	*-	*-
