**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	0	0	25
4	1	3	0	0	29
6	1	4	0	0	29
10	2	2	0	0	28
12	2	3	22	0	29
14	2	4	-22	0	31
16	3	1	26	0	30
18	3	2	26	0	-30
22	3	4	25	0	30
24	4	1	26	0	-30
26	4	2	24	0	29
28	4	3	23	0	32
30	4	4	25	0	-32
31	4	4.5	-25	0	31
32	5	1	-25	0	29
33	5	1.5	-25	0	30
34	5	2	24	0	31
36	5	3	22	0	-31
37	5	3.5	-22	0	30
38	5	4	-22	0	29
39	5	4.5	23	0	-29
40	6	1	24	0	-29
42	6	2	25	0	28
43	6	2.5	-25	0	27
44	6	3	23	25	28
46	6	4	-23	-25	27
48	7	1	22	29	-27
49	7	1.5	-22	-29	26
50	7	2	-22	29	24
51	7	2.5	21	-29	-24
52	7	3	20	-29	25
54	7	4	19	28	26
56	8	1	20	29	-26
57	8	1.5	-20	-29	25
58	8	2	18	27	25
60	8	3	19	26	-25
62	8	4	-19	28	24
64	9	1	18	-28	25
66	9	2	-18	27	-25
67	9	2.5	19	-27	-25
68	9	3	20	25	0
70	9	4	21	-25	0
71	9	4.5	-21	26	0
72	10	1	18	27	25
74	10	2	21	28	-25
76	10	3	22	26	29
78	10	4	24	-26	29
80	11	1	23	25	-29
82	11	2	-23	-25	28
84	11	3	22	0	29
86	11	4	-22	0	27
88	12	1	0	22	26
90	12	2	24	-22	-26
92	12	3	-24	26	0
94	12	4	21	26	0
96	13	1	22	-26	0
98	13	2	23	25	28
100	13	3	24	26	-28
102	13	4	20	24	27
104	14	1	21	23	25
106	14	2	25	-23	-25
107	14	2.5	-25	-23	26
108	14	3	-25	0	27
109	14	3.5	24	0	-27
110	14	4	23	25	28
111	14	4.5	22	-25	-28
112	15	1	21	-25	26
114	15	2	22	24	-26
116	15	3	18	22	25
118	15	4	21	23	-25
119	15	4.5	-21	-23	26
120	16	1	20	24	27
121	16	1.5	-20	-24	28
122	16	2	18	25	27
124	16	3	-18	23	-27
126	16	4	19	-23	26
128	17	1	20	22	-26
129	17	1.5	-20	-22	25
130	17	2	-20	-22	25
131	17	2.5	21	-22	-25
132	17	3	19	0	-25
134	17	4	-19	28	24
136	18	1	18	-28	25
138	18	2	25	27	-25
139	18	2.5	-25	-27	26
140	18	3	-25	25	27
141	18	3.5	23	-25	28
142	18	4	24	26	29
144	19	1	25	27	-29
145	19	1.5	-25	-27	27
146	19	2	21	28	30
148	19	3	22	26	-30
149	19	3.5	-22	-26	29
150	19	4	-22	-26	29
151	19	4.5	24	-26	-29
152	20	1	23	25	-29
154	20	2	-23	-25	28
156	20	3	22	0	29
160	21	1	0	25	-29
162	21	2	18	-25	-29
164	21	3	-18	25	0
166	21	4	18	27	0
168	22	1	22	-27	24
170	22	2	22	26	-24
172	22	3	20	27	24
174	22	4	-20	25	27
175	22	4.5	21	-25	-27
176	23	1	22	24	-27
178	23	2	-22	24	26
180	23	3	18	25	27
182	23	4	18	27	25
184	24	1	22	-27	24
186	24	2	22	26	31
188	24	3	20	27	32
190	24	4	-20	27	31
192	25	1	21	25	-31
194	25	2	-21	-25	30
196	25	3	22	0	31
198	25	4	-22	24	31
200	26	1	18	25	29
202	26	2	22	26	-29
204	26	3	22	27	0
206	26	4	21	26	0
208	27	1	22	-26	0
210	27	2	20	25	0
212	27	3	19	26	0
214	27	4	21	-26	0
215	27	4.5	-21	25	0
215.5	27	4.75	-21	24	0
216	28	1	-21	23	25
218	28	2	20	22	29
220	28	3	18	23	29
222	28	4	19	-23	28
224	29	1	20	22	29
226	29	2	-20	-22	27
227	29	2.5	21	-22	-27
228	29	3	22	0	26
230	29	4	23	0	28
232	30	1	24	0	-28
234	30	2	25	0	27
236	30	3	23	0	25
238	30	4	22	0	26
240	31	1	-22	0	27
242	31	2	25	0	-27
243	31	2.5	-25	0	28
244	31	3	-25	0	26
246	31	4	24	0	-26
248	32	1	25	0	25
250	32	2	-25	25	-25
251	32	2.5	-25	-25	26
252	32	3	-25	29	27
253	32	3.5	-25	-29	28
254	32	4	-25	29	27
257	33	1.5	0	-29	25
258	33	2	0	28	26
260	33	3	0	29	27
262	33	4	22	27	31
264	34	1	-22	26	-31
265	34	1.5	-22	-26	29
266	34	2	21	28	30
268	34	3	19	-28	31
270	34	4	20	27	32
272	35	1	21	25	-32
273	35	1.5	-21	-25	31
274	35	2	-21	26	30
275	35	2.5	21	-26	-30
276	35	3	20	27	29
278	35	4	18	-27	32
279	35	4.5	-18	28	-32
280	36	1	22	26	-32
282	36	2	-22	-26	31
284	36	3	0	25	32
286	36	4	21	-25	-32
290	37	2	20	25	0
292	37	3	18	-25	0
294	37	4	19	24	0
296	38	1	20	22	25
298	38	2	21	23	-25
300	38	3	20	24	29
302	38	4	-20	25	29
303	38	4.5	18	-25	-29
304	39	1	19	23	-29
306	39	2	-19	-23	28
308	39	3	0	22	29
310	39	4	22	-22	31
312	40	1	26	0	30
314	40	2	26	0	-30
318	40	4	25	0	30
320	41	1	26	0	-30
322	41	2	24	0	29
324	41	3	23	0	32
326	41	4	25	0	-32
327	41	4.5	-25	0	31
328	42	1	-25	0	29
329	42	1.5	-25	0	30
330	42	2	24	0	31
332	42	3	22	0	-31
333	42	3.5	-22	0	30
334	42	4	-22	0	29
335	42	4.5	23	0	-29
336	43	1	24	0	-29
338	43	2	25	0	28
339	43	2.5	-25	0	27
340	43	3	23	25	28
342	43	4	-23	-25	27
344	44	1	22	29	-27
345	44	1.5	-22	-29	26
346	44	2	-22	29	24
348	44	3	0	-29	25
350	44	4	19	28	26
352	45	1	20	29	-26
353	45	1.5	-20	-29	25
354	45	2	18	27	25
356	45	3	19	26	-25
358	45	4	-19	28	24
360	46	1	18	-28	25
362	46	2	-18	27	-25
363	46	2.5	19	-27	-25
364	46	3	20	25	0
366	46	4	21	-25	0
367	46	4.5	-21	26	0
368	47	1	22	27	0
370	47	2	23	28	25
372	47	3	24	26	29
374	47	4	-24	-26	29
375	47	4.5	22	-26	-29
376	48	1	23	25	-29
378	48	2	-23	-25	28
380	48	3	22	0	29
382	48	4	-22	0	27
384	49	1	0	22	26
386	49	2	24	-22	-26
388	49	3	-24	26	0
390	49	4	21	26	0
392	50	1	22	-26	0
394	50	2	23	25	28
396	50	3	24	26	-28
398	50	4	20	24	27
400	51	1	21	23	25
402	51	2	25	-23	-25
403	51	2.5	-25	-23	26
404	51	3	-25	0	27
405	51	3.5	24	0	-27
406	51	4	23	25	28
407	51	4.5	22	-25	-28
408	52	1	21	-25	26
410	52	2	22	24	-26
412	52	3	18	22	25
414	52	4	21	23	-25
415	52	4.5	-21	-23	26
416	53	1	20	24	27
417	53	1.5	-20	-24	28
418	53	2	18	25	27
420	53	3	-18	23	-27
422	53	4	19	-23	26
423	53	4.5	-19	-23	25
424	54	1	20	22	24
426	54	2	-20	-22	25
427	54	2.5	21	-22	-25
428	54	3	19	0	-25
430	54	4	-19	28	24
432	55	1	18	-28	25
434	55	2	25	27	-25
435	55	2.5	-25	-27	26
436	55	3	-25	25	27
437	55	3.5	23	-25	28
438	55	4	24	26	29
440	56	1	25	27	-29
441	56	1.5	-25	-27	25
442	56	2	21	28	32
444	56	3	22	26	-32
446	56	4	-22	-26	31
448	57	1	18	25	32
*-	*-	*-	*-	*-	*-
