**absq	**bar	**beat	**b7	**b7	**b7
8	1	3	25	32	32
12	2	1	27	31	36
20	2	3	28	30	32
24	3	1	27	29	36
28	3	2	27	31	-36
32	3	3	24	-31	35
36	4	1	26	28	35
40	4	2	25	29	34
44	4	3	-25	30	-34
48	5	1	24	31	33
52	5	2	28	-31	32
54	5	2.5	-28	30	-32
55	5	2.75	-28	29	-32
56	5	3	-28	30	-32
60	6	1	0	31	31
64	6	2	29	0	-31
68	6	3	-29	29	0
70	6	3.5	27	-29	0
72	7	1	27	-29	32
74	7	1.5	-27	29	-32
76	7	2	28	30	-32
78	7	2.5	-28	-30	32
80	7	3	24	31	33
84	8	1	25	29	34
88	8	2	28	30	32
92	8	3	26	31	35
96	9	1	25	32	34
100	9	2	29	-32	33
102	9	2.5	-29	31	-33
104	9	3	-29	31	33
106	9	3.5	-29	30	-33
107	9	3.75	-29	31	-33
108	9	1	0	32	32
110	9	2	25	-32	34
113	9	3.5	25	0	34
114	9	4	26	0	33
116	10	1	27	0	31
118	10	2	25	0	34
120	10	3	28	0	33
122	10	4	27	0	32
124	11	1	26	0	32
126	11	2	26	0	31
128	11	3	25	29	32
130	11	4	-25	-29	34
131	11	4.5	-25	29	-34
132	12	1	0	30	-34
133	12	1.5	0	-30	34
134	12	2	22	31	33
136	12	3	-22	29	31
137	12	3.5	22	-29	-31
138	12	4	23	28	32
140	13	1	24	-28	33
141	13	1.5	-24	-28	32
142	13	2	22	29	31
143	13	2.5	-22	-29	30
144	13	3	25	27	29
146	13	4	24	28	33
148	14	1	23	-28	-33
149	14	1.5	-23	27	32
150	14	2	23	26	32
151	14	2.5	-23	25	-32
152	14	3	22	26	-32
154	14	4	-22	-26	31
156	15	1	0	25	32
160	15	3	25	0	-32
162	15	4	-25	29	-32
163	15	4.5	26	-29	-32
164	16	1	27	-29	0
166	16	2	28	30	32
168	16	3	27	31	36
170	16	4	-27	32	36
172	17	1	-27	31	36
174	17	2	26	-31	35
175	17	2.5	-26	32	-35
176	17	3	24	33	-35
178	17	4	28	32	37
181	18	1.5	29	31	36
182	18	2	27	30	36
183	18	2.5	-27	29	-36
184	18	3	26	30	-36
186	18	4	-26	-30	35
188	19	1	0	29	36
190	19	2	25	-29	34
194	19	4	23	25	33
195	19	4.5	-23	-25	32
196	20	1	24	29	33
198	20	2	25	29	34
200	20	3	24	29	33
202	20	4	-24	28	-33
203	20	4.5	25	-28	-33
204	21	1	26	-28	0
206	21	2	25	30	0
209	21	3.5	24	29	0
210	21	4	23	29	0
211	21	4.5	22	-29	0
212	22	1	23	-29	0
214	22	2	-23	28	0
216	22	3	22	29	0
218	22	4	-22	31	33
222	23	2	0	29	34
224	23	3	0	30	35
226	23	4	22	31	36
228	24	1	26	30	35
230	24	2	26	28	33
231	24	2.5	-26	29	34
232	24	3	26	30	35
233	24	3.5	-26	31	33
234	24	4	25	32	34
236	25	1	27	-32	-34
237	25	1.5	-27	31	35
238	25	2	-27	30	36
239	25	2.5	-27	29	-36
240	25	3	26	30	-36
242	25	4	26	-30	35
244	26	1	27	0	36
246	26	2	27	31	-36
248	26	3	28	30	32
250	26	4	27	29	36
252	27	1	-27	31	36
254	27	2	27	32	36
256	27	3	24	33	35
